NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPN13	5635	-0.03628316894173622	-0.5358655	No	
row_1	TYRO3	5770	-0.059829119592905045	-0.546558	No	
row_2	PIK3R1	5826	-0.06818898022174835	-0.5494296	No	
row_3	AXL	7343	-0.43378695845603943	-0.6788513	No	
row_4	CBL	8029	-0.7041577100753784	-0.7196613	No	
row_5	INSR	8390	-0.906408965587616	-0.7224599	Yes	
row_6	CALM3	8575	-1.0138546228408813	-0.70474625	Yes	
row_7	LCK	8866	-1.2135862112045288	-0.6901917	Yes	
row_8	BECN1	8924	-1.2545688152313232	-0.65200263	Yes	
row_9	HCST	9159	-1.4695992469787598	-0.6232084	Yes	
row_10	CORO1A	9252	-1.5723302364349365	-0.57730675	Yes	
row_11	PIK3IP1	9532	-1.918428897857666	-0.53719574	Yes	
row_12	IRS2	9533	-1.9209437370300293	-0.4704031	Yes	
row_13	IGF1R	9651	-2.1253538131713867	-0.40765536	Yes	
row_14	DNM2	9942	-2.750030279159546	-0.3396775	Yes	
row_15	NLRC3	10106	-3.273564577102661	-0.24139035	Yes	
row_16	JAK2	10109	-3.28725528717041	-0.12728065	Yes	
row_17	GSN	10360	-4.751636028289795	0.014107328	Yes	
