NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMEM38B	1496	1.457044005393982	-0.1107955	No	
row_1	ATP1A1	1843	1.190119981765747	-0.11769579	No	
row_2	KCNQ5	2906	0.6254032850265503	-0.2053244	No	
row_3	KCNK6	2930	0.6185716986656189	-0.19394279	No	
row_4	SLC9A6	3161	0.5382868051528931	-0.20407899	No	
row_5	SLC12A2	3754	0.35549870133399963	-0.25277567	No	
row_6	FXYD4	4085	0.2672038972377777	-0.27840552	No	
row_7	SLC9A7	4741	0.11558695882558823	-0.33838052	No	
row_8	KCNMB4	6041	-0.10406672209501266	-0.46007043	No	
row_9	KCNMB1	6233	-0.14184235036373138	-0.4751859	No	
row_10	TMEM175	6527	-0.20603618025779724	-0.49862707	No	
row_11	KCNIP2	6687	-0.24700841307640076	-0.5083803	No	
row_12	CCDC51	6892	-0.29927030205726624	-0.5212811	No	
row_13	KCNK5	7167	-0.37573927640914917	-0.5391843	No	
row_14	GRIK5	8043	-0.7116596102714539	-0.6070728	No	
row_15	KCNN4	8362	-0.8791665434837341	-0.61812574	Yes	
row_16	SLC9A8	8464	-0.9484387040138245	-0.6069482	Yes	
row_17	SLC9A1	8519	-0.9789230227470398	-0.59061605	Yes	
row_18	KCNA3	8692	-1.0831354856491089	-0.5832583	Yes	
row_19	KCNB1	8931	-1.2575767040252686	-0.5783707	Yes	
row_20	SLC12A4	9294	-1.6121716499328613	-0.5775346	Yes	
row_21	KCNAB2	9354	-1.67844557762146	-0.5463262	Yes	
row_22	KCNH2	9399	-1.7291674613952637	-0.51257294	Yes	
row_23	ATP1B1	9674	-2.1709156036376953	-0.49107477	Yes	
row_24	SLC12A8	9681	-2.1889941692352295	-0.4436024	Yes	
row_25	SLC12A9	9761	-2.35166072845459	-0.39952675	Yes	
row_26	SLC12A6	9879	-2.568972110748291	-0.35430807	Yes	
row_27	ATP1A3	10138	-3.410696029663086	-0.30407166	Yes	
row_28	KCNA2	10141	-3.4292373657226562	-0.22899613	Yes	
row_29	SLC12A7	10319	-4.440528392791748	-0.14842601	Yes	
row_30	SLC9A9	10495	-7.579963207244873	0.0012406643	Yes	
