NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	METTL1	65	5.024819850921631	0.056600273	Yes	
row_1	NOP2	91	4.713138580322266	0.11312968	Yes	
row_2	FBL	99	4.607914924621582	0.17006515	Yes	
row_3	FTSJ3	124	4.435980796813965	0.22322537	Yes	
row_4	TRMT61A	148	4.282327175140381	0.27456036	Yes	
row_5	METTL16	221	3.7860822677612305	0.31500533	Yes	
row_6	NSUN2	226	3.771775007247925	0.36177486	Yes	
row_7	DIMT1	243	3.689640522003174	0.40636995	Yes	
row_8	WDR4	246	3.6724400520324707	0.45208898	Yes	
row_9	TRMT5	377	3.1571292877197266	0.47912416	Yes	
row_10	TRMT11	545	2.7660491466522217	0.4977317	Yes	
row_11	TRMT1	602	2.619614839553833	0.5251245	Yes	
row_12	TRMT2A	611	2.5909223556518555	0.5567493	Yes	
row_13	TRMT10A	686	2.443743944168091	0.580222	Yes	
row_14	METTL5	794	2.2651941776275635	0.59830654	Yes	
row_15	TRMT10C	891	2.133017063140869	0.6157907	Yes	
row_16	NSUN5	950	2.0657243728637695	0.6360679	Yes	
row_17	TGS1	1033	1.9362365007400513	0.652431	Yes	
row_18	TYW3	1170	1.7553842067718506	0.6613687	Yes	
row_19	MRM1	2019	1.0616743564605713	0.59353924	No	
row_20	ALKBH8	2177	0.9703547358512878	0.5906547	No	
row_21	TFB1M	2247	0.9265493750572205	0.59563863	No	
row_22	METTL8	2274	0.9103381633758545	0.6045325	No	
row_23	METTL4	2289	0.900791585445404	0.61445457	No	
row_24	FTSJ1	2527	0.7876542210578918	0.60163486	No	
row_25	CMTR2	2719	0.708085298538208	0.5922198	No	
row_26	TRMT13	2776	0.6826492547988892	0.59539807	No	
row_27	TRMT44	2833	0.6571670174598694	0.5982577	No	
row_28	THUMPD3	2927	0.6187943816184998	0.59709907	No	
row_29	FDXACB1	3045	0.5804686546325684	0.59316593	No	
row_30	METTL14	3104	0.559180498123169	0.5946094	No	
row_31	METTL6	3208	0.5214971303939819	0.59127796	No	
row_32	EMG1	3521	0.4217608571052551	0.5667112	No	
row_33	NSUN4	3534	0.41932061314582825	0.57080555	No	
row_34	LCMT2	3603	0.39784738421440125	0.56927574	No	
row_35	TRMT1L	3619	0.391577810049057	0.5727364	No	
row_36	TRMT10B	3648	0.3835357129573822	0.5748532	No	
row_37	CMTR1	3747	0.35829636454582214	0.56995976	No	
row_38	ZCCHC4	3773	0.350791871547699	0.57195413	No	
row_39	TFB2M	4147	0.2526855170726776	0.53943974	No	
row_40	METTL3	4170	0.2477288842201233	0.54043263	No	
row_41	TRMT61B	4419	0.1874253749847412	0.5190573	No	
row_42	TRMT2B	4743	0.11547058820724487	0.48960942	No	
row_43	MEPCE	4957	0.07811824977397919	0.47021493	No	
row_44	RNMT	5328	0.014369888231158257	0.4350082	No	
row_45	TRMT12	5340	0.011854113079607487	0.43410435	No	
row_46	NSUN6	5856	-0.07215705513954163	0.38575238	No	
row_47	METTL15	6794	-0.2717399597167969	0.29953587	No	
row_48	BCDIN3D	6929	-0.3089165687561035	0.29058212	No	
row_49	NSUN3	7346	-0.4343094527721405	0.2562258	No	
row_50	TRDMT1	7638	-0.5475849509239197	0.23524041	No	
row_51	THUMPD2	8605	-1.0309782028198242	0.15574184	No	
row_52	PCIF1	9635	-2.092867374420166	0.08349301	No	
