NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LARP1	26	5.96330451965332	0.03642323	Yes	
row_1	EIF2S2	60	5.300622940063477	0.067850254	Yes	
row_2	DENR	104	4.5703301429748535	0.09355207	Yes	
row_3	SHMT1	115	4.489349365234375	0.121890865	Yes	
row_4	EEF1G	117	4.479089736938477	0.15102601	Yes	
row_5	EIF4A1	149	4.282050132751465	0.17599756	Yes	
row_6	EIF3G	151	4.25984525680542	0.20370188	Yes	
row_7	TUFM	208	3.905212640762329	0.22381607	Yes	
row_8	EEF1D	231	3.7551968097686768	0.24621262	Yes	
row_9	EIF5	248	3.664923667907715	0.26859558	Yes	
row_10	EIF5A	271	3.5260114669799805	0.28949642	Yes	
row_11	EIF4E	284	3.4708878993988037	0.31099677	Yes	
row_12	EIF3A	293	3.449751377105713	0.33274287	Yes	
row_13	PURA	332	3.2944719791412354	0.3505979	Yes	
row_14	EIF3I	348	3.246763229370117	0.37034783	Yes	
row_15	EIF2S1	356	3.221670627593994	0.39070135	Yes	
row_16	EIF2B1	373	3.171718120574951	0.4098656	Yes	
row_17	EIF1AX	404	3.0654656887054443	0.4269935	Yes	
row_18	EIF3M	431	2.977630615234375	0.44393185	Yes	
row_19	SHMT2	458	2.9282169342041016	0.46054775	Yes	
row_20	ETF1	489	2.8532042503356934	0.47629037	Yes	
row_21	EIF3E	532	2.785694122314453	0.49044138	Yes	
row_22	EIF2B3	551	2.750967025756836	0.5066679	Yes	
row_23	EIF3D	583	2.6590957641601562	0.52104783	Yes	
row_24	RARA	589	2.6405277252197266	0.5378006	Yes	
row_25	EIF4B	594	2.6312215328216553	0.5545886	Yes	
row_26	EIF5B	627	2.5491981506347656	0.5681554	Yes	
row_27	DHX29	744	2.336890459060669	0.57227916	Yes	
row_28	EIF2A	773	2.2922065258026123	0.5845525	Yes	
row_29	COPS5	775	2.2900633811950684	0.59940183	Yes	
row_30	EIF6	834	2.214841842651367	0.6082926	Yes	
row_31	RPS27L	866	2.179076671600342	0.61953986	Yes	
row_32	EEF1B2	980	2.0136618614196777	0.62184197	Yes	
row_33	TSFM	1046	1.9171292781829834	0.62811834	Yes	
row_34	EIF2B4	1061	1.888022780418396	0.63909686	Yes	
row_35	EIF3B	1080	1.85782790184021	0.64949465	Yes	
row_36	GSPT1	1246	1.6815073490142822	0.64464104	Yes	
row_37	EIF3C	1253	1.6730848550796509	0.65498424	Yes	
row_38	EIF4G1	1271	1.6568982601165771	0.6641667	Yes	
row_39	CELF1	1304	1.6210192441940308	0.6716761	Yes	
row_40	PABPC1	1432	1.5094395875930786	0.6693446	Yes	
row_41	EIF4A2	1503	1.453824758529663	0.6721178	Yes	
row_42	EIF3L	1579	1.3921047449111938	0.6740086	Yes	
row_43	ABCF1	1701	1.3001607656478882	0.67088693	Yes	
row_44	GFM1	1755	1.2618484497070312	0.67403793	Yes	
row_45	EIF4G2	1760	1.2585585117340088	0.6818678	Yes	
row_46	EIF4H	1918	1.1369547843933105	0.6742277	No	
row_47	EIF1	2010	1.0731416940689087	0.67250216	No	
row_48	AGO2	2040	1.0491586923599243	0.6765673	No	
row_49	EIF2B5	2179	0.9691480994224548	0.66965467	No	
row_50	MTIF2	2519	0.7916451692581177	0.64230305	No	
row_51	TYMS	3053	0.5777892470359802	0.5949467	No	
row_52	DHFR	3183	0.5319992303848267	0.58604443	No	
row_53	EIF2D	3294	0.4933800995349884	0.57871276	No	
row_54	MTRF1	3789	0.34546709060668945	0.5335812	No	
row_55	EEF1A1	3909	0.314325213432312	0.52421767	No	
row_56	GFM2	4018	0.28348204493522644	0.515708	No	
row_57	MCTS1	4168	0.2485852837562561	0.50303775	No	
row_58	PAIP2B	4177	0.2468334138393402	0.5038812	No	
row_59	EIF4E2	4256	0.2250879853963852	0.49786815	No	
row_60	EEFSEC	4327	0.21217630803585052	0.4925382	No	
row_61	EEF2	4596	0.14475612342357635	0.46777546	No	
row_62	PAIP1	4629	0.13980869948863983	0.46561834	No	
row_63	EIF1AD	4797	0.10569916665554047	0.45028895	No	
row_64	EEF2K	5113	0.049050651490688324	0.42039323	No	
row_65	MTRF1L	5224	0.03154610097408295	0.41004756	No	
row_66	EIF4E3	5318	0.01587275229394436	0.40123028	No	
row_67	EIF1B	5555	-0.02337203547358513	0.3787449	No	
row_68	EIF2B2	5608	-0.03361482545733452	0.37397626	No	
row_69	EIF3F	5734	-0.05281037464737892	0.36233053	No	
row_70	EIF3K	5810	-0.06567170470952988	0.35556486	No	
row_71	EIF3H	5982	-0.09359408915042877	0.3397728	No	
row_72	EIF4G3	5994	-0.09581960737705231	0.33934295	No	
row_73	CPEB4	6005	-0.09792041033506393	0.33902276	No	
row_74	HBS1L	6157	-0.1250276416540146	0.32535428	No	
row_75	EIF5A2	6714	-0.2520831823348999	0.27366608	No	
row_76	GTPBP1	7042	-0.3393389582633972	0.24451374	No	
row_77	MTIF3	7457	-0.47387993335723877	0.2078941	No	
row_78	MIF4GD	8435	-0.9349538683891296	0.1202787	No	
row_79	PAIP2	8854	-1.2047653198242188	0.08804522	No	
row_80	CPEB2	8929	-1.2569295167922974	0.089149766	No	
row_81	GTPBP2	9007	-1.3238801956176758	0.090403475	No	
row_82	ABTB1	10031	-2.9858779907226562	0.011760169	No	
row_83	CPEB1	10400	-5.194387912750244	0.010359599	No	
