NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPM1	10	7.208190441131592	0.046625394	Yes	
row_1	HSPE1	29	5.861594200134277	0.08359353	Yes	
row_2	HSPD1	42	5.5952887535095215	0.11937941	Yes	
row_3	HEATR3	73	4.9117655754089355	0.1489257	Yes	
row_4	HSPA9	100	4.595105171203613	0.17676543	Yes	
row_5	CCT4	103	4.571254730224609	0.20675072	Yes	
row_6	PTGES3	131	4.389127731323242	0.2331347	Yes	
row_7	HSP90AB1	138	4.3175764083862305	0.2610615	Yes	
row_8	CCT3	166	4.142268180847168	0.28581583	Yes	
row_9	CCT6A	207	3.906320571899414	0.30776507	Yes	
row_10	CCT5	233	3.7453911304473877	0.33009133	Yes	
row_11	PFDN2	244	3.683461904525757	0.35344818	Yes	
row_12	CCT8	276	3.504429817199707	0.37360796	Yes	
row_13	RUVBL2	278	3.501028060913086	0.39662412	Yes	
row_14	NACA	327	3.307138442993164	0.41385016	Yes	
row_15	TCP1	425	3.0090830326080322	0.42440656	Yes	
row_16	PFDN1	440	2.9633116722106934	0.44262546	Yes	
row_17	HSP90AA1	459	2.9273252487182617	0.46022296	Yes	
row_18	CCT7	472	2.9042680263519287	0.47824404	Yes	
row_19	NUDC	564	2.70238995552063	0.48735154	Yes	
row_20	TOMM20	796	2.2638473510742188	0.48012957	Yes	
row_21	HSPA8	818	2.2368874549865723	0.49288127	Yes	
row_22	MKKS	836	2.213735580444336	0.50586396	Yes	
row_23	LMAN1	893	2.132596254348755	0.51456857	Yes	
row_24	TRAP1	897	2.1300103664398193	0.528342	Yes	
row_25	SRSF10	931	2.084455728530884	0.5389359	Yes	
row_26	CDC37	1017	1.9629452228546143	0.5437377	Yes	
row_27	TTC1	1041	1.9297778606414795	0.5542701	Yes	
row_28	DNAJA3	1048	1.9157612323760986	0.5663412	Yes	
row_29	DNAJA1	1099	1.832223653793335	0.5736387	Yes	
row_30	HSPA5	1134	1.7982889413833618	0.5822475	Yes	
row_31	SHQ1	1135	1.7969648838043213	0.5941102	Yes	
row_32	SIL1	1141	1.7933932542800903	0.6054695	Yes	
row_33	CCT2	1144	1.7901852130889893	0.61709553	Yes	
row_34	HTRA2	1189	1.7420440912246704	0.62437344	Yes	
row_35	GRPEL1	1198	1.7302039861679077	0.6350277	Yes	
row_36	HSP90B1	1207	1.7213530540466309	0.64562356	Yes	
row_37	VBP1	1212	1.7156537771224976	0.65656567	Yes	
row_38	PPIA	1314	1.6134892702102661	0.6575252	Yes	
row_39	CALR	1422	1.518169641494751	0.6572797	No	
row_40	NUDCD2	1597	1.3749452829360962	0.64965934	No	
row_41	SCAP	1818	1.2099286317825317	0.63653547	No	
row_42	HYOU1	1833	1.1988779306411743	0.64310646	No	
row_43	PFDN4	1834	1.1969703435897827	0.65100825	No	
row_44	PDRG1	1928	1.1289219856262207	0.64953655	No	
row_45	CANX	1998	1.0800354480743408	0.6500452	No	
row_46	CCDC115	2017	1.0621628761291504	0.6553298	No	
row_47	DNAJA2	2181	0.9688131809234619	0.64608395	No	
row_48	NDUFAF1	2218	0.9463885426521301	0.64887697	No	
row_49	GRPEL2	2318	0.8866848349571228	0.6452304	No	
row_50	HSPA14	2467	0.8183649778366089	0.63643074	No	
row_51	HSPA13	2929	0.6186221241950989	0.596277	No	
row_52	DNAJB4	3149	0.5446807146072388	0.5788575	No	
row_53	TIMM10B	3261	0.5059758424758911	0.57154614	No	
row_54	CHAF1B	3342	0.4774821400642395	0.5670214	No	
row_55	DNAJB2	3891	0.31874722242355347	0.5165395	No	
row_56	DNAJB5	3934	0.30857014656066895	0.5145462	No	
row_57	CDC37L1	3993	0.2902902066707611	0.51089686	No	
row_58	TUBB4B	4136	0.25573819875717163	0.49895883	No	
row_59	CHAF1A	4377	0.1997745782136917	0.4772472	No	
row_60	AFG3L2	4422	0.1869170069694519	0.4742589	No	
row_61	SCG5	4460	0.17836998403072357	0.4718859	No	
row_62	DNAJB1	4714	0.12124504894018173	0.4484084	No	
row_63	TMEM67	5054	0.06062540411949158	0.41627815	No	
row_64	HSPB6	5197	0.03493024408817291	0.4028824	No	
row_65	PFDN6	5514	-0.017652664333581924	0.37267557	No	
row_66	NUDCD3	5633	-0.03620760887861252	0.3615913	No	
row_67	CLPX	5675	-0.04271102324128151	0.3579389	No	
row_68	TOR1A	5799	-0.06416302919387817	0.34655938	No	
row_69	DNAJB11	6102	-0.11552237719297409	0.31834206	No	
row_70	HSPA1B	6104	-0.11560181528329849	0.31900924	No	
row_71	SPG7	6378	-0.1718483716249466	0.2939466	No	
row_72	PFDN5	6485	-0.19639867544174194	0.28507137	No	
row_73	HSPA1A	6850	-0.28759294748306274	0.25204045	No	
row_74	DNAJB6	7519	-0.4986439347267151	0.19123091	No	
row_75	DNAJC4	7900	-0.6536805629730225	0.15908137	No	
row_76	ERLEC1	8167	-0.7694961428642273	0.13863583	No	
row_77	HSPA2	8209	-0.7945796847343445	0.1399469	No	
row_78	AIP	8308	-0.8426184058189392	0.13610537	No	
row_79	UGGT1	8380	-0.893191933631897	0.13518862	No	
row_80	PPIB	8555	-1.0055898427963257	0.12513	No	
row_81	SYVN1	8613	-1.0367505550384521	0.12650439	No	
row_82	PET100	8863	-1.2109534740447998	0.110604465	No	
row_83	DNAJB13	8934	-1.2603670358657837	0.11220759	No	
row_84	TAPBP	8956	-1.2785625457763672	0.11863289	No	
row_85	DNAJA4	9176	-1.4933487176895142	0.107475996	No	
row_86	ERN1	9177	-1.4952419996261597	0.11734686	No	
row_87	NAP1L4	9233	-1.5572173595428467	0.12234905	No	
