NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFAF4	30	5.845912456512451	0.054717537	Yes	
row_1	MRPL12	40	5.616093158721924	0.10918523	Yes	
row_2	PTCD3	195	3.9644830226898193	0.13347203	Yes	
row_3	MRPS25	223	3.7808709144592285	0.16813208	Yes	
row_4	TXN2	232	3.7528345584869385	0.20433846	Yes	
row_5	TRMT5	377	3.1571292877197266	0.22163025	Yes	
row_6	NDUFAF6	406	3.0600149631500244	0.24909234	Yes	
row_7	TIMM50	496	2.8457443714141846	0.2685921	Yes	
row_8	SDHD	577	2.670950412750244	0.28723302	Yes	
row_9	ACAD9	595	2.6249969005584717	0.3114644	Yes	
row_10	NDUFA12	603	2.6164188385009766	0.33657047	Yes	
row_11	NDUFS7	700	2.4227633476257324	0.35123143	Yes	
row_12	NDUFA9	764	2.3019936084747314	0.36786804	Yes	
row_13	LRPPRC	949	2.0660817623138428	0.37057364	Yes	
row_14	NDUFAF5	1016	1.9645626544952393	0.38359803	Yes	
row_15	TSFM	1046	1.9171292781829834	0.39970425	Yes	
row_16	GATC	1085	1.8522752523422241	0.4143082	Yes	
row_17	NFU1	1188	1.742322564125061	0.42168975	Yes	
row_18	NDUFA10	1258	1.6689893007278442	0.4315143	Yes	
row_19	EARS2	1287	1.6401481628417969	0.44498757	Yes	
row_20	NDUFB10	1324	1.602718710899353	0.45732465	Yes	
row_21	LIPT1	1350	1.5858666896820068	0.4705509	Yes	
row_22	COA3	1359	1.575156569480896	0.4853023	Yes	
row_23	NDUFS3	1387	1.5548985004425049	0.4980316	Yes	
row_24	NDUFAF2	1426	1.5161062479019165	0.50932354	Yes	
row_25	CARS2	1456	1.4913911819458008	0.5212353	Yes	
row_26	NUBPL	1457	1.49113929271698	0.5359263	Yes	
row_27	NDUFV2	1602	1.3719242811203003	0.53562987	Yes	
row_28	SDHA	1660	1.3275562524795532	0.5432416	Yes	
row_29	NDUFC2	1688	1.3103126287460327	0.55356115	Yes	
row_30	MRPS14	1689	1.3089572191238403	0.56645733	Yes	
row_31	GFM1	1755	1.2618484497070312	0.5726543	Yes	
row_32	SUCLG1	1788	1.236041784286499	0.58176255	Yes	
row_33	SDHB	1845	1.1883832216262817	0.58809906	Yes	
row_34	COX5A	1872	1.1703475713729858	0.59713554	Yes	
row_35	NDUFA4	2083	1.0191713571548462	0.5870328	Yes	
row_36	ISCU	2160	0.9774832725524902	0.589373	Yes	
row_37	NDUFAF1	2218	0.9463885426521301	0.5932294	Yes	
row_38	BOLA3	2255	0.9231515526771545	0.5988713	Yes	
row_39	COA6	2332	0.8806727528572083	0.6002577	Yes	
row_40	NDUFA8	2399	0.8538303971290588	0.60233885	Yes	
row_41	GFER	2451	0.8317919969558716	0.6056418	Yes	
row_42	TMEM126B	2662	0.7335144877433777	0.5927246	No	
row_43	PDHA1	2707	0.7125114798545837	0.59552383	No	
row_44	NDUFS8	2727	0.7031208276748657	0.6006286	No	
row_45	COX16	2789	0.6772266030311584	0.6014495	No	
row_46	COX20	2972	0.6045542359352112	0.58994764	No	
row_47	MTFMT	3057	0.5769469141960144	0.5875743	No	
row_48	NDUFA6	3102	0.5593410730361938	0.58886445	No	
row_49	TIMMDC1	3190	0.5279896259307861	0.58572096	No	
row_50	NDUFV1	3200	0.5252190828323364	0.5900322	No	
row_51	NDUFS1	3267	0.502350926399231	0.5886506	No	
row_52	SURF1	3421	0.4551877975463867	0.57845896	No	
row_53	NDUFB3	3476	0.43626272678375244	0.57757723	No	
row_54	NDUFS6	3483	0.43470489978790283	0.5812845	No	
row_55	TRMU	3783	0.3462536931037903	0.55601484	No	
row_56	NDUFA2	3854	0.3293665945529938	0.5525452	No	
row_57	MRPS23	3957	0.3006562888622284	0.54572314	No	
row_58	COX4I1	4118	0.25969168543815613	0.53293395	No	
row_59	FOXRED1	4234	0.2312730997800827	0.52418137	No	
row_60	SUCLA2	4337	0.21001486480236053	0.51646626	No	
row_61	NDUFB9	4395	0.19485169649124146	0.51291835	No	
row_62	TACO1	4468	0.17644478380680084	0.5077503	No	
row_63	SLC25A10	4662	0.13211439549922943	0.49053872	No	
row_64	NFS1	4848	0.09695128351449966	0.4737481	No	
row_65	NDUFA11	5004	0.06847769767045975	0.45955464	No	
row_66	NDUFA13	5027	0.06463421136140823	0.45808113	No	
row_67	IBA57	5433	-0.005661922972649336	0.41928798	No	
row_68	NDUFS4	5845	-0.0706983432173729	0.38056007	No	
row_69	NDUFS2	5978	-0.09296979755163193	0.36881414	No	
row_70	DGUOK	6047	-0.10499795526266098	0.36332583	No	
row_71	COX15	6190	-0.13204771280288696	0.35100567	No	
row_72	ECHS1	6262	-0.14711636304855347	0.34564456	No	
row_73	TIMM22	6284	-0.15064585208892822	0.34511438	No	
row_74	QRSL1	6409	-0.18199926614761353	0.33501297	No	
row_75	SLC39A8	6622	-0.2293640375137329	0.316937	No	
row_76	SLC25A26	6685	-0.24671505391597748	0.31342044	No	
row_77	GTPBP3	6735	-0.2580142319202423	0.31126222	No	
row_78	NDUFB11	6787	-0.269718736410141	0.30902746	No	
row_79	NDUFA1	7419	-0.4585697650909424	0.2530178	No	
row_80	MIEF2	8015	-0.7001369595527649	0.20284137	No	
row_81	NDUFAF3	8359	-0.8775787353515625	0.1785858	No	
row_82	PET100	8863	-1.2109534740447998	0.14226697	No	
row_83	TK2	9243	-1.5662506818771362	0.12134311	No	
