© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules	
Th1 and Th2 Activation Pathway	4.96E00	7.56E-02	NaN	CD86,CXCR3,HLA-A,HLA-DOB,ICOS,IFNG,IL18,IL2RA,JUN,LTA,S1PR1,SOCS3,TBX21	
Neuroinflammation Signaling Pathway	4.48E00	5.05E-02	-0.832	CD86,FASLG,GABBR1,GABRR2,HLA-A,HLA-DOB,HMOX1,IFNG,IL18,IL1R1,IRF7,JUN,KLK3,NCF1,TGFB3,VCAM1	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	4.48E00	1.05E-01	-1.000	DDX58,IFIT3,IFNG,IL18,IRF7,OAS1,OAS2,RSAD2,S1PR1	
Th1 Pathway	4.27E00	8.2E-02	1.000	CD86,CXCR3,HLA-A,HLA-DOB,ICOS,IFNG,IL18,LTA,SOCS3,TBX21	
Cardiac Hypertrophy Signaling (Enhanced)	4.15E00	3.69E-02	-0.775	ADCY6,CACNA2D4,CACNB1,FASLG,GNA15,IFNG,IL17RE,IL18,IL1R1,IL1R2,IL21,IL2RA,ITGA7,JUN,LTA,PLCB4,RYR1,TG,TGFB3,WNT10A	
Th2 Pathway	3.98E00	7.3E-02	0.000	CD86,HLA-A,HLA-DOB,ICOS,IFNG,IL2RA,JUN,S1PR1,SOCS3,TBX21	
Hepatic Cholestasis	3.6E00	5.76E-02	NaN	ADCY6,FASLG,IFNG,IL18,IL1R1,IL1R2,IL21,JUN,LTA,RXRA,TGFB3	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	3.6E00	6.41E-02	NaN	DDX58,FASLG,IFNG,IL18,IL21,IRF7,LTA,OAS1,OAS2,TGFB3	
Circadian Rhythm Signaling	3E00	4.48E-02	NaN	ADCY6,BHLHE40,CACNA2D4,CACNB1,CIART,FGR,GNA15,KLK3,PER2,PLCB4,RORC,RYR1	
Interferon Signaling	2.89E00	1.39E-01	-0.447	IFIT1,IFIT3,IFITM2,IFNG,OAS1	
Crosstalk between Dendritic Cells and Natural Killer Cells	2.81E00	7.69E-02	2.236	CD83,CD86,FASLG,HLA-A,IFNG,IL18,LTA	
HMGB1 Signaling	2.7E00	5.39E-02	1.134	FASLG,IFNG,IL18,IL1R1,IL21,JUN,LTA,TGFB3,VCAM1	
IL-10 Signaling	2.52E00	8.33E-02	NaN	HMOX1,IL18,IL1R1,IL1R2,JUN,SOCS3	
IL-17 Signaling	2.39E00	4.81E-02	0.333	FASLG,IFNG,IL17RE,IL18,IL21,JUN,LTA,RGS16,TGFB3	
PPARα/RXRα Activation	2.29E00	4.62E-02	1.134	ADCY6,BCL3,GNA15,IL1R1,IL1R2,JUN,PLCB4,RXRA,TGFB3	
LPS/IL-1 Mediated Inhibition of RXR Function	2.11E00	3.94E-02	-2.000	ACSBG1,ACSF2,CHST10,CHST15,CYP2S1,IL18,IL1R1,IL1R2,JUN,RXRA	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.84E00	3.35E-02	NaN	F2RL1,IL18,IL1R1,IL1R2,JUN,LTA,PLCB4,SOCS3,TCF4,VCAM1,WNT10A	
Antigen Presentation Pathway	1.82E00	1.03E-01	NaN	CD74,HLA-A,HLA-DOB,IFNG	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.71E00	4.12E-02	NaN	CXCR3,FASLG,IFNG,IL1R1,IL1R2,TGFB3,TIMP2,VCAM1	
Wound Healing Signaling Pathway	1.63E00	3.57E-02	-0.333	FASLG,IFNG,IL18,IL1R1,IL1R2,IL21,JUN,LTA,TGFB3	
Coronavirus Pathogenesis Pathway	1.63E00	3.94E-02	1.414	BCL2L11,DDX58,FASLG,IFNG,IRF7,JUN,OAS1,OAS2	
Airway Pathology in Chronic Obstructive Pulmonary Disease	1.6E00	5.08E-02	NaN	FASLG,IFNG,IL18,IL21,LTA,TGFB3	
Hepatic Fibrosis Signaling Pathway	1.6E00	2.85E-02	0.333	CACNA2D4,CACNB1,IL18,IL1R1,IL1R2,ITGA7,JUN,NCF1,TCF4,TGFB3,VCAM1,WNT10A	
Human Embryonic Stem Cell Pluripotency	1.55E00	4.22E-02	NaN	GNA15,KLK3,S1PR1,S1PR3,TCF4,TGFB3,WNT10A	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.44E00	3.57E-02	NaN	IFNG,IL18,IL1R1,IL1R2,JUN,RUNX2,TCF4,WNT10A	
