"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"1323"	"C1qbp"	1165	2.44703418150889	7.03058905909242	580.112864149485	5.27164466284264e-13	2.96740878071412e-09
"3065"	"Faah"	5155	-2.21466519518027	7.70909513176156	612.312929167168	3.6093357078554e-13	2.96740878071412e-09
"8669"	"Slc26a11"	3862	-2.89221026358945	5.29576288670379	457.176725087072	2.7841310733644e-12	6.40995593226308e-09
"3482"	"Gemin6"	1386	2.02372676272401	5.16654969150617	443.938628416461	3.41621385624254e-12	6.40995593226308e-09
"9283"	"Syt11"	5783	-1.74206635411102	6.80594671064716	477.785164670738	2.04748297031079e-12	6.40995593226308e-09
"8000"	"Rnf19a"	4276	-1.47987959431193	7.79694099515516	454.592083850093	2.89627640950319e-12	6.40995593226308e-09
"6402"	"Npm1"	3519	1.42085880862339	10.0755218354379	415.661254692855	5.39869309599909e-12	7.59731085934472e-09
"7514"	"Ptma"	1389	1.33748898433682	10.2921590007969	418.398971059429	5.15801737669106e-12	7.59731085934472e-09
"8786"	"Slfn5"	6354	-2.71240637678183	5.77590881166614	397.672374086724	7.33936582876141e-12	8.3702473779704e-09
"8776"	"Slc9a9"	3492	-2.38879986733856	6.35309657673156	385.879473228063	9.04267836383125e-12	8.3702473779704e-09
"1703"	"Cdt1"	2191	2.14176489490011	5.84411808610648	396.167163752287	7.53497034638205e-12	8.3702473779704e-09
"10368"	"Uck2"	5104	2.03267428213589	6.84062224447973	382.18795839531	9.66541267664018e-12	8.3702473779704e-09
"2055"	"Coq7"	1658	1.90988177472539	5.01289936892055	384.659289742715	9.24331233149182e-12	8.3702473779704e-09
"2683"	"Dut"	2512	2.25643365264611	7.92072538124741	367.793477428246	1.26078370260879e-11	9.39800755168587e-09
"4509"	"Hspd1"	2588	2.04819492206114	8.55142082718162	370.8314615427	1.19102865515291e-11	9.39800755168587e-09
"8509"	"Sgsh"	4324	-1.64762160489131	6.29269670186384	363.433796324665	1.36917591155325e-11	9.39800755168587e-09
"7229"	"Ppid"	2804	1.47235171738407	7.11908161858935	361.554966031104	1.41913420126719e-11	9.39800755168587e-09
"8767"	"Slc7a5"	3513	3.38149475412225	5.77393061888286	339.441376042867	2.19436602476259e-11	9.73289904165854e-09
"5530"	"Matk"	3076	-3.37638011338928	4.49657783465521	325.345639022618	2.93940813125236e-11	9.73289904165854e-09
"8858"	"Smpdl3a"	1791	-2.32559401073433	7.38978053556463	325.990361551829	2.89960574829409e-11	9.73289904165854e-09
"8429"	"Septin11"	14410	2.24432927125059	6.80054814985958	330.242541708858	2.65196433813494e-11	9.73289904165854e-09
"6822"	"Pear1"	4715	-2.08684238129874	5.22913848175013	351.458602184511	1.72591971522387e-11	9.73289904165854e-09
"10394"	"Umps"	3484	1.93433062769334	7.23494826678322	344.829388261187	1.96842170877991e-11	9.73289904165854e-09
"5387"	"Lyar"	1938	1.91286810529916	6.03878702074858	341.803606634155	2.09185400394188e-11	9.73289904165854e-09
"10489"	"Utrn"	22621	-1.69997440101777	7.35693490095349	348.200124268689	1.84058174759401e-11	9.73289904165854e-09
"6721"	"Pbxip1"	4705	-1.63922518179069	7.17320697310235	326.212779152896	2.88601739462835e-11	9.73289904165854e-09
"4228"	"H2-K1"	2182	-1.59510042963201	11.0732958212637	335.222549903313	2.39202360665457e-11	9.73289904165854e-09
"5193"	"Lax1"	2972	-1.594701673866	7.82643038953714	353.437127623614	1.66027646386329e-11	9.73289904165854e-09
"8054"	"Rpf2"	1890	1.58537943176551	6.19467222244941	325.643323914818	2.92095349762314e-11	9.73289904165854e-09
"7122"	"Pno1"	1565	1.52333492462362	5.82357056201519	342.272729443358	2.07215153152489e-11	9.73289904165854e-09
"3518"	"Gimap3"	2145	-1.34415122591687	9.633337957981	338.71439523131	2.2270575772494e-11	9.73289904165854e-09
"6120"	"Nap1l1"	4269	1.27523702184525	7.92421769706623	336.507196471122	2.32976481418712e-11	9.73289904165854e-09
"7056"	"Pld3"	2997	-1.23285062095016	6.6808784419076	331.326990143234	2.5927251587926e-11	9.73289904165854e-09
"8933"	"Snu13"	1257	1.1962968364819	7.55876176979584	334.260877283221	2.43987172731901e-11	9.73289904165854e-09
"5734"	"Mipep"	3679	2.03607801401828	4.57345764814544	316.208292454366	3.57608655241675e-11	1.08716974364265e-08
"4166"	"Gstp3"	1152	-1.65109052654138	7.0135340209145	318.304705703446	3.41716032755422e-11	1.08716974364265e-08
"5859"	"Mrpl12"	981	1.34024213958649	6.85036685210308	315.023661724548	3.66960830151188e-11	1.08716974364265e-08
"5621"	"Med30"	871	1.32678034195239	6.2119552702774	315.852870660598	3.60385740994585e-11	1.08716974364265e-08
"4418"	"Hmga1"	2046	2.54427774902155	5.86890483806097	313.616723800683	3.78432157111004e-11	1.0924074935271e-08
"4795"	"Itm2c"	2024	-1.6115094440784	7.90060020053957	310.438856745325	4.05878570763363e-11	1.09619352570115e-08
"8119"	"Rpp30"	1183	1.53371504696096	5.69693291724579	310.098011050672	4.0895477064708e-11	1.09619352570115e-08
"7506"	"Ptges3"	1954	1.40520568012822	7.83686225967014	312.234792851316	3.90099018227295e-11	1.09619352570115e-08
"1448"	"Cbx5"	9119	2.10378406141203	6.79892316706414	299.598027158856	5.18109778396275e-11	1.35648369422913e-08
"2945"	"Ephx1"	1739	-2.82000172203018	7.34371978614626	296.847953971014	5.51953073387749e-11	1.36941243111037e-08
