"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"1703"	"Cdt1"	2191	2.41629847311142	5.84411808610648	490.366051151725	1.70791648054425e-12	1.92277237379672e-08
"5530"	"Matk"	3076	-3.43808009731723	4.49657783465521	390.87578456726	8.27129654657942e-12	2.35439468695761e-08
"11243"	"Zwilch"	3050	3.15070536553278	4.09991709327671	353.045324502459	1.67304649988106e-11	2.35439468695761e-08
"1167"	"Bcl2l11"	9973	-3.1439426142047	5.57760231886066	390.387939124128	8.34321535638936e-12	2.35439468695761e-08
"2281"	"Cyth3"	4376	-2.38538315484949	5.51493486893093	371.009333325025	1.18708284728518e-11	2.35439468695761e-08
"2681"	"Dusp6"	3214	-2.03166018408502	6.06261083725436	364.449472854214	1.34300514057809e-11	2.35439468695761e-08
"5193"	"Lax1"	2972	-1.67620190936567	7.82643038953714	389.024220987275	8.5480662651467e-12	2.35439468695761e-08
"7514"	"Ptma"	1389	1.22639815972506	10.2921590007969	353.587569184779	1.65540266153098e-11	2.35439468695761e-08
"10673"	"Wnt10a"	1962	-5.7620082392727	2.94282866553127	295.273866224334	5.72454804846486e-11	2.45256795733297e-08
"9542"	"Ticrr"	7199	3.22559323928403	5.17699305106976	308.723526823212	4.21632286654998e-11	2.45256795733297e-08
"4603"	"Igflr1"	1186	-3.13594254450601	6.68673332442388	306.529456874579	4.42808585482508e-11	2.45256795733297e-08
"1864"	"Chtf18"	3199	3.05007794615244	5.22020998718351	309.588570474291	4.13602232269536e-11	2.45256795733297e-08
"2945"	"Ephx1"	1739	-2.79389523619365	7.34371978614626	296.941654207534	5.50759308070489e-11	2.45256795733297e-08
"1448"	"Cbx5"	9119	2.22107477648864	6.79892316706414	327.5502453594	2.80582025130243e-11	2.45256795733297e-08
"2683"	"Dut"	2512	2.15838858709449	7.92072538124741	337.880445568089	2.26524492488666e-11	2.45256795733297e-08
"6588"	"Orc6"	1654	2.15083496997546	6.26407756330097	298.803315589949	5.27640514444436e-11	2.45256795733297e-08
"9255"	"Suv39h1"	4099	2.09078978606312	6.6091300410749	316.70551260792	3.53764449218887e-11	2.45256795733297e-08
"7869"	"Rfc5"	1730	2.08032679267939	7.26738704452753	303.380199293672	4.75356990500638e-11	2.45256795733297e-08
"6082"	"N4bp2l1"	3345	-1.93437940363342	5.47201751925046	323.013172101108	3.08869558594308e-11	2.45256795733297e-08
"6746"	"Pcna"	1260	1.81014327316962	8.47468113912853	305.498304636986	4.53177702288783e-11	2.45256795733297e-08
"10394"	"Umps"	3484	1.78421403100987	7.23494826678322	294.108115032249	5.88198035601263e-11	2.45256795733297e-08
"7961"	"Rnaseh2b"	1498	1.63323856382025	6.13153200463581	321.383264806525	3.19814740604052e-11	2.45256795733297e-08
"4795"	"Itm2c"	2024	-1.59332788616466	7.90060020053957	304.404368565824	4.6448179544396e-11	2.45256795733297e-08
"4228"	"H2-K1"	2182	-1.57813067327883	11.0732958212637	328.574216164761	2.74613533518626e-11	2.45256795733297e-08
"9430"	"Tdp1"	8459	1.53372571522632	6.17051847348685	295.382661436968	5.71010207557147e-11	2.45256795733297e-08
"7671"	"Rad18"	3213	1.51220097776621	5.63378666375272	297.69782897661	5.41232387598902e-11	2.45256795733297e-08
"8000"	"Rnf19a"	4276	-1.22074951157189	7.79694099515516	315.944810096842	3.59665023890799e-11	2.45256795733297e-08
"4119"	"Gpsm2"	3510	2.48115486022875	5.67187110887113	289.081199549857	6.619848190238e-11	2.49697732930673e-08
"2787"	"Egr3"	4134	-2.36701956458864	4.83648608762703	289.528021195694	6.55015536220655e-11	2.49697732930673e-08
"4004"	"Gmnn"	2648	2.33563955994266	6.63874361262841	284.873612806823	7.31926202408263e-11	2.49697732930673e-08
"7146"	"Pold1"	4642	2.16641008914042	7.20842755001533	287.088199172743	6.94117420169645e-11	2.49697732930673e-08
"8429"	"Septin11"	14410	2.09265486945101	6.80054814985958	285.016419936285	7.2941850819555e-11	2.49697732930673e-08
"6120"	"Nap1l1"	4269	1.17894825777434	7.92421769706623	288.547452890261	6.70420923569504e-11	2.49697732930673e-08
"7868"	"Rfc4"	1216	2.46698906442153	6.38816521834503	277.821794426743	8.68902156630826e-11	2.87708837627936e-08
"4954"	"Kifc1"	2346	2.29174659545179	5.10060887325219	272.255222128326	9.97856466541111e-11	3.12617878676291e-08
"4306"	"Hat1"	1576	1.81828104011976	7.3890475105103	271.095529475912	1.02739052295969e-10	3.12617878676291e-08
"2431"	"Dek"	4100	1.50378893044423	7.76467276390279	271.093817689934	1.0274348473106e-10	3.12617878676291e-08
"7111"	"Pmm1"	1381	1.77787789188162	4.26308587479951	268.652552328587	1.092924978658e-10	3.23793405519257e-08
"6523"	"Nup85"	3058	1.73836414104555	7.02234505420783	266.737124779378	1.14764924127711e-10	3.31288080981992e-08
"6699"	"Parp3"	3298	-1.20348456570765	6.35012729180916	265.305148097708	1.19060416284333e-10	3.35095541632255e-08
"3482"	"Gemin6"	1386	1.53333334736761	5.16654969150617	262.404804191683	1.28334125160716e-10	3.52386727087643e-08
"5987"	"Mtfr2"	2613	3.42193711109038	4.89816821325463	233.665853127562	2.82484391452717e-10	4.31165200738018e-08
"4472"	"Hrob"	3214	3.24959110789748	4.12202325263945	234.710437722239	2.74066885390669e-10	4.31165200738018e-08
"5005"	"Klrb1c"	2632	-2.80999508450449	4.34826470412349	234.909635823117	2.72494350305575e-10	4.31165200738018e-08
"5018"	"Kntc1"	7613	2.80197101803921	5.34614834972763	232.915278054122	2.88714697032515e-10	4.31165200738018e-08
"4236"	"H2-Q5"	1181	-2.72775491611184	4.16355961894661	248.87060775875	1.84087411719934e-10	4.31165200738018e-08
"1917"	"Clic4"	4065	2.68311477072655	5.2992310814504	246.892199528749	1.94358131700941e-10	4.31165200738018e-08
"4324"	"Hcst"	442	-2.59732699555695	7.75959837990365	251.707503317111	1.70420802225099e-10	4.31165200738018e-08
"7834"	"Recql4"	4156	2.58140746488084	4.00874292059241	249.833253756297	1.79314559949645e-10	4.31165200738018e-08
"3169"	"Fanci"	5325	2.43131384815593	4.68352892682942	236.239844787696	2.62252985633762e-10	4.31165200738018e-08
"3069"	"Fabp5"	953	2.39055393550395	5.73461052512956	239.749754900847	2.3727045692933e-10	4.31165200738018e-08
"1551"	"Ccp110"	5108	2.19394332437953	4.33707580298865	245.190840619757	2.03715116837825e-10	4.31165200738018e-08
"8817"	"Smc2"	5714	2.19239445843382	7.49587868985153	235.313810615255	2.69335151583336e-10	4.31165200738018e-08
"7867"	"Rfc3"	1608	2.18745569082072	6.07585091725087	250.492555865865	1.76127051212598e-10	4.31165200738018e-08
"6272"	"Neurl3"	2968	-2.18504698479632	6.05105542130908	240.746501220155	2.30678428371295e-10	4.31165200738018e-08
"10531"	"Vim"	1834	2.16042848420116	8.77812768320325	239.580144722969	2.38413423375927e-10	4.31165200738018e-08
"4225"	"H2-DMa"	8325	-2.12984606385138	7.41250904849451	241.241396610143	2.27483110374038e-10	4.31165200738018e-08
"1735"	"Cenpw"	1579	2.06321033371324	5.39433882897877	236.747481815707	2.58460830096816e-10	4.31165200738018e-08
"9804"	"Tnfsf8"	4074	-2.03977150747098	7.28910258948924	232.798767955903	2.89695784912213e-10	4.31165200738018e-08
