"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"1385"	"C1qbp"	1165	2.39164638245148	7.04218133217469	585.265251021683	4.44707505081453e-13	2.33693793920304e-09
"3085"	"Faah"	3816	-2.25003301875469	7.73271734767636	638.637690998695	2.40300073629183e-13	2.33693793920304e-09
"8703"	"Syt11"	4567	-1.79511662111448	6.84843215425098	502.594448866641	1.29788758608075e-12	3.41019963242717e-09
"7469"	"Rnf19a"	4276	-1.53204600189984	7.83540311253332	506.975010104012	1.22116941103348e-12	3.41019963242717e-09
"8112"	"Slc26a11"	2692	-2.9425035425481	5.29205156975693	484.501551918094	1.67865722621036e-12	3.52853748949418e-09
"8220"	"Slfn5"	5989	-2.77133617856652	5.82460020587264	410.380465310681	5.36394676964761e-12	7.01143779311016e-09
"8212"	"Slc9a9"	3492	-2.44811854090753	6.39219096686318	401.583029123063	6.23943336140361e-12	7.01143779311016e-09
"1763"	"Cdt1"	2191	2.09166177707751	5.85621743556365	382.838571534272	8.7059433838555e-12	7.01143779311016e-09
"4211"	"Hspd1"	2332	1.99664745611923	8.55715654214463	377.48813696632	9.6021318780811e-12	7.01143779311016e-09
"3548"	"Gemin6"	1086	1.96831780537472	5.18107427711644	424.934051186778	4.20530432516022e-12	7.01143779311016e-09
"9769"	"Utrn"	12382	-1.72489993745342	7.31963809440639	377.074388915108	9.67570033562246e-12	7.01143779311016e-09
"7958"	"Sgsh"	4324	-1.67776561762421	6.36722333076403	380.072196725279	9.15681630948052e-12	7.01143779311016e-09
"4765"	"Lax1"	2371	-1.64308695346632	7.86570175182351	375.255572678532	1.00068094097671e-11	7.01143779311016e-09
"5931"	"Npm1"	1718	1.3665733984585	10.0916674486718	399.297771768574	6.49275750017544e-12	7.01143779311016e-09
"7008"	"Ptma"	1192	1.28285391725636	10.3203939360433	394.44746722964	7.07021554509326e-12	7.01143779311016e-09
"2719"	"Dut"	2512	2.20413565287263	7.93388673990721	367.291516532637	1.16171137330775e-11	7.19029853485288e-09
"6335"	"Pear1"	4713	-2.13570597954658	5.26511475517161	367.231328466501	1.16303591905327e-11	7.19029853485288e-09
"6731"	"Ppid"	1728	1.42796264326798	7.13443185668096	363.97515126314	1.23732499090222e-11	7.22460314132353e-09
"9675"	"Umps"	3219	1.88804292380831	7.22614439816714	351.47070657094	1.57743495271637e-11	8.08243632829449e-09
"2095"	"Coq7"	1503	1.85096263930191	5.01699973076282	350.282705875169	1.61494921878387e-11	8.08243632829449e-09
"3581"	"Gimap3"	2145	-1.39718472229135	9.67151991869816	354.074814410644	1.4986233120608e-11	8.08243632829449e-09
"5094"	"Matk"	2327	-3.45334177034032	4.53772674413079	333.007539275556	2.2933856834446e-11	8.21217612841151e-09
"8203"	"Slc7a5"	3513	3.32987634268748	5.78461219733088	341.562136095628	1.92363795398447e-11	8.21217612841151e-09
"8292"	"Smpdl3a"	1791	-2.37656953938052	7.43408254887918	334.991572285362	2.20090900970634e-11	8.21217612841151e-09
"4958"	"Lyar"	1551	1.85827659361505	6.04502817086605	338.811855968555	2.03454990526582e-11	8.21217612841151e-09
"6234"	"Pbxip1"	4481	-1.6892399524075	7.21228632483717	344.646756854392	1.80734959821737e-11	8.21217612841151e-09
"4487"	"Itm2c"	2024	-1.66581265091403	7.93988711630178	330.389960951976	2.42224034234783e-11	8.21217612841151e-09
"3933"	"H2-K1"	1646	-1.63846229550564	11.4013533669188	341.296983531478	1.93402548870056e-11	8.21217612841151e-09
"6622"	"Pno1"	1563	1.47160200717399	5.84197121971752	331.333730686531	2.37485414539508e-11	8.21217612841151e-09
