"D4B61"	"D4B62"	"D4B63"	"D4KO1"	"D4KO2"	"D4KO3"	"D6B61"	"D6B62"	"D6B63"	"D6KO1"	"D6KO2"	"D6KO3"
"0610007P14Rik"	7.10962632851906	7.17757377531774	7.23933807515784	7.17519905796297	7.25996328701903	7.2908958072244	6.36952750152147	6.6085747231206	6.57543722496333	6.45524363005303	6.62579083080242	6.69131598709423
"0610009B22Rik"	4.04280839599952	3.57265801284015	3.72272221021467	4.22815788164022	3.78496061334514	4.10602846801395	3.02108701519572	3.75379976217267	3.07519050344541	3.61094244237775	3.65268832191525	3.59017666407655
"0610009L18Rik"	0.276525239908491	0.80412792820324	1.19102529555884	-0.784992649112801	0.918965602776963	0.0471256324166418	2.4372634133319	2.02392234719473	2.40353540354137	1.72947547754873	1.69834792771606	1.98844707505219
"0610009O20Rik"	4.45756528727966	4.68452213872898	4.66475665249962	4.60368905448117	4.60417081583235	4.34208031504881	3.8997521315163	4.45461341700175	4.0263970064214	4.3735174814076	4.45340085821804	4.64431545745609
"0610010F05Rik"	3.89693292650046	2.86642301393956	2.91198395249187	3.45973667473974	3.77399973941357	3.55993250371995	2.02336391454484	2.06227679409132	1.8270844865193	1.433072718976	1.96944746218431	1.46442794456907
"0610010K14Rik"	6.80299671281027	6.85851253118663	6.85413805911966	6.97082644787844	7.03857264329819	7.03334408141839	6.90778499015247	6.96234653707974	6.88901650957098	6.87551202877217	6.78586057966743	7.01305489328143
"0610011F06Rik"	5.89224999481284	5.88369372826546	5.98931932781038	5.778964155483	6.10581474517138	5.85424403074053	6.54256692014207	6.60045248912248	6.52640443447795	6.53318659586745	6.31035459035436	6.5805750445989
"0610012G03Rik"	5.45968125569339	5.53034544698479	5.43666866846524	5.48696968061736	5.71399095277594	5.65750785073617	5.54860630465647	5.50032004043112	5.28176889118271	4.81056945047234	4.69674872848884	5.04803176734808
"0610030E20Rik"	5.40281034173238	5.33709490485005	5.20047716790303	5.36945076112565	5.13421341669341	5.31329518180178	5.19988212346189	5.12785509820208	5.22911388900171	5.44529429085735	5.19644198137616	5.38604790648863
"0610037L13Rik"	5.0937874240106	4.95482729537421	5.12873379221711	5.28987175053895	5.31900331528446	5.08789187479088	5.67452056997531	5.63206037738045	5.32003612860753	5.54899762331813	5.16735490238374	5.35152437981465
"0610039H22Rik"	1.44307834466481	1.692314906157	1.41225982961056	0.903194754285443	0.837078819797661	1.27776763182543	2.04241286510381	2.60736790195613	2.57005073105153	2.33676283593637	2.0776295975443	1.98844707505219
"0610040B10Rik"	0.710641116326597	0.322932468291972	-0.188186153781515	-0.346058427693003	-0.53331366416346	0.171163783402049	1.6784217004781	0.948811385361945	0.638244950630889	0.806058408414866	1.10263891668638	0.731924299755878
"1110001J03Rik"	5.09705021719979	5.02233317620573	5.08345038784243	5.16680332841774	5.35622441536957	5.04799600958633	5.5684548179573	5.36878180507384	5.1883218211122	4.95036621101673	4.83572887883136	5.3534641814333
"1110002L01Rik"	1.94115770762696	1.692314906157	1.70316583082425	2.06761432166691	2.35754765545906	2.00057332258295	2.37851202344009	0.864503161750567	1.76503019081614	1.8237581316227	1.82791700994223	2.29336479698255
"1110004E09Rik"	5.4392593680792	5.35814988828427	5.29686526249618	5.67790248155787	5.7068043820687	5.42964251742141	4.86743725674197	4.61479954183245	4.85762807296627	4.55283808782761	4.70013764331435	4.80320023533821
"1110004F10Rik"	7.49937106669655	7.50941136486497	7.6459332652599	7.54521781483377	7.6514567783591	7.71283094290166	7.41762990677404	7.3345696735916	7.36788985974302	7.28378724257333	7.35446061585166	7.45781426252259
"1110007C09Rik"	4.56749962628523	4.60455164633177	5.09718527314571	4.47237119493087	4.58861586055821	4.47439271636841	5.28231632375431	5.26366557223978	5.40726014744785	5.37890634519885	4.95683382594763	5.18722570614
"1110008F13Rik"	5.27755887852083	4.6733656196471	4.61470553794072	4.87372299155563	4.80328165880429	4.90791668221046	4.01513401379235	4.58217526631195	3.49393636140208	2.65154520998247	2.56775245328127	2.84984401201913
"1110008L16Rik"	3.47354916410124	3.70455043758037	3.3393063467433	4.12101307204299	4.18318603346757	3.87927509731855	3.39166425641261	3.00204872554571	3.53169593074956	3.60431632693127	3.90259158629574	3.68565586316984
"1110008P14Rik"	5.29755038685366	5.67019973734909	5.64114062022763	4.98367281808323	5.24353800823318	5.06008103753331	6.51811012117803	6.46654739879971	6.53029570913872	6.33132103771288	6.11599950245105	6.48383043145305
"1110012L19Rik"	4.31353116351244	4.39640953682243	4.14477601997294	4.01910690834385	4.03037524332262	3.76086824462242	4.64247768448474	4.82737332379524	4.80976537365398	4.77265755464074	4.54670849634121	4.65693661972285
"1110019D14Rik"	1.07069719190441	0.264654818042332	1.00925568253995	0.198981888308203	0.918965602776963	0.789870880566595	0.800646644655449	1.02846363837934	1.48608804761315	1.62859777785699	1.25787437679332	1.28091716823852
"1110032A03Rik"	1.42241837852334	2.23799404243764	1.98508776452407	1.77316099008138	1.69912836628125	1.53029318567451	2.86933708809481	2.59433934420765	3.28871853130996	2.76283453743345	2.4275902848384	2.59827049014578
"1110032F04Rik"	3.13563081426843	3.02403971369086	3.13254390692129	3.76909634470388	3.71791031865613	3.96318240605686	3.60528975021917	3.4041188070869	2.93192841573759	2.63863267606197	2.44385346378696	2.6370086388111
