"D4B61"	"D4B62"	"D4B63"	"D4KO1"	"D4KO2"	"D4KO3"	"D6B61"	"D6B62"	"D6B63"	"D6KO1"	"D6KO2"	"D6KO3"
"0610007P14Rik"	6.86473926939553	6.93268671619421	6.99445101603431	6.93031199883944	7.0150762278955	7.04600874810087	6.12464044239794	6.36368766399707	6.3305501658398	6.21035657092949	6.38090377167888	6.44642892797069
"0610009B22Rik"	4.37378163048989	3.90363124733052	4.05369544470504	4.55913111613059	4.11593384783551	4.43700170250432	3.35206024968609	4.08477299666304	3.40616373793578	3.94191567686812	3.98366155640562	3.92114989856692
"0610009L18Rik"	0.968513925356314	1.49611661365106	1.88301398100666	-0.0930039636649789	1.61095428822479	0.739114317864464	3.12925209877972	2.71591103264256	3.09552408898919	2.42146416299655	2.39033661316388	2.68043576050001
"0610009O20Rik"	3.19212839123056	3.41908524267988	3.39931975645052	3.33825215843208	3.33873391978326	3.07664341899972	2.6343152354672	3.18917652095265	2.7609601103723	3.1080805853585	3.18796396216894	3.37887856140699
"0610010F05Rik"	1.84730215877586	0.816792246214961	0.862353184767275	1.41010590701514	1.72436897168896	1.51030173599535	-0.0262668531797652	0.0126460263667232	-0.222546281205304	-0.616558048748596	-0.0801833055402907	-0.585202823155526
"0610010K14Rik"	6.93430994748814	6.98982576586449	6.98545129379752	7.1021396825563	7.16988587797606	7.16465731609625	7.03909822483033	7.09365977175761	7.02032974424885	7.00682526345003	6.91717381434529	7.14436812795929
"0610011F06Rik"	6.19447617525765	6.18591990871027	6.29154550825519	6.08119033592781	6.4080409256162	6.15647021118534	6.84479310058688	6.9026786695673	6.82863061492277	6.83541277631226	6.61258077079917	6.88280122504371
"0610012G03Rik"	4.90288400910065	4.97354820039205	4.87987142187249	4.93017243402461	5.15719370618319	5.10071060414342	4.99180905806373	4.94352279383838	4.72497164458997	4.2537722038796	4.1399514818961	4.49123452075534
"0610030E20Rik"	3.19055229752964	3.12483686064732	2.9882191237003	3.15719271692291	2.92195537249068	3.10103713759905	2.98762407925915	2.91559705399935	3.01685584479898	3.23303624665462	2.98418393717342	3.17378986228589
"0610037L13Rik"	4.46058873763659	4.32162860900021	4.49553510584311	4.65667306416494	4.68580462891046	4.45469318841687	5.04132188360131	4.99886169100645	4.68683744223353	4.91579893694413	4.53415621600974	4.71832569344064
"0610039H22Rik"	1.89710997555952	2.14634653705171	1.86629146050527	1.35722638518015	1.29111045069237	1.73179926272014	2.49644449599851	3.06139953285084	3.02408236194624	2.79079446683108	2.531661228439	2.4424787059469
"0610040B10Rik"	1.89506568746402	1.5073570394294	0.996238417355913	0.838366143444425	0.651110906973967	1.35558835453948	2.86284627161552	2.13323595649937	1.82266952176832	1.99048297955229	2.28706348782381	1.91634887089331
"1110001J03Rik"	6.27819965630436	6.2034826153103	6.264599826947	6.34795276752231	6.53737385447413	6.2291454486909	6.74960425706187	6.54993124417841	6.36947126021677	6.1315156501213	6.01687831793593	6.53461362053787
"1110002L01Rik"	0.218691683155873	-0.0301511183140863	-0.0193001936468409	0.345148297195821	0.635081630987972	0.278107298111862	0.656045998969004	-0.857962862720524	0.0425641663450516	0.101292107151609	0.105450985471139	0.570898772511455
"1110004E09Rik"	5.22140827126807	5.14029879147314	5.07901416568505	5.46005138474674	5.48895328525757	5.21179142061028	4.64958615993084	4.39694844502132	4.63977697615514	4.33498699101648	4.48228654650322	4.58534913852708
"1110004F10Rik"	7.0139442395263	7.02398453769472	7.16050643808966	7.05979098766353	7.16602995118886	7.22740411573142	6.93220307960379	6.84914284642136	6.88246303257278	6.79836041540309	6.86903378868142	6.97238743535235
"1110007C09Rik"	4.88223221976839	4.91928423981493	5.41191786662886	4.78710378841403	4.90334845404137	4.78912530985157	5.59704891723747	5.57839816572293	5.72199274093101	5.693638938682	5.27156641943079	5.50195829962315
"1110008F13Rik"	5.20716955062943	4.6029762917557	4.54431621004932	4.80333366366423	4.73289233091289	4.83752735431906	3.94474468590096	4.51178593842055	3.42354703351068	2.58115588209108	2.49736312538987	2.77945468412774
"1110008L16Rik"	1.83339100913796	2.06439228261709	1.69914819178002	2.48085491707971	2.54302787850428	2.23911694235527	1.75150610144933	1.36189057058243	1.89153777578628	1.96415817196799	2.26243343133246	2.04549770820656
"1110008P14Rik"	5.90358511119342	6.27623446168885	6.24717534456738	5.58970754242299	5.84957273257294	5.66611576187307	7.12414484551779	7.07258212313947	7.13633043347848	6.93735576205264	6.72203422679081	7.0898651557928
"1110012L19Rik"	4.23355578679185	4.31643416010184	4.06480064325235	3.93913153162325	3.95039986660203	3.68089286790182	4.56250230776414	4.74739794707465	4.72978999693339	4.69268217792015	4.46673311962061	4.57696124300225
"1110019D14Rik"	0.487659568107746	-0.318382805754332	0.426218058743286	-0.384055735488461	0.335927978980299	0.206833256769931	0.217609020858785	0.445426014582677	0.903050423816488	1.04556015406032	0.67483675299666	0.697879544441852
"1110032A03Rik"	0.588921041663507	1.40449670557781	1.15159042766424	0.939663653221548	0.865631029421411	0.696795848814675	2.03583975123497	1.76084200734782	2.45522119445013	1.92933720057361	1.59409294797856	1.76477315328594
"1110032F04Rik"	1.76937855056887	1.6577874499913	1.76629164322173	2.40284408100432	2.35165805495656	2.5969301423573	2.2390374865196	2.03786654338733	1.56567615203803	1.27238041236241	1.07760120008739	1.27075637511154
