NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF8	13	6.579859733581543	0.058422066	Yes	
row_1	B4GALT5	25	5.968021392822266	0.11148746	Yes	
row_2	GRWD1	49	5.446915626525879	0.15867773	Yes	
row_3	BCL2L1	51	5.405547618865967	0.20760053	Yes	
row_4	PSME2	119	4.474827766418457	0.24176034	Yes	
row_5	COQ7	139	4.314727306365967	0.2790669	Yes	
row_6	REXO2	190	3.9929111003875732	0.31048524	Yes	
row_7	MRPS25	223	3.7808709144592285	0.34170523	Yes	
row_8	RANBP1	263	3.5571353435516357	0.37022573	Yes	
row_9	TOMM40	336	3.2899556159973145	0.39316183	Yes	
row_10	SPR	395	3.089552164077759	0.4156219	Yes	
row_11	CHSY1	397	3.0825767517089844	0.44347954	Yes	
row_12	TBL3	457	2.929062843322754	0.46438846	Yes	
row_13	IL10RA	464	2.9218716621398926	0.49030977	Yes	
row_14	BOP1	478	2.8917932510375977	0.5152877	Yes	
row_15	PWP2	480	2.8871116638183594	0.54137284	Yes	
row_16	GART	588	2.6419854164123535	0.5550799	Yes	
row_17	TUBB6	649	2.5143980979919434	0.5721327	Yes	
row_18	GUSB	841	2.205779790878296	0.5738367	Yes	
row_19	NUTF2	1020	1.9547337293624878	0.5745095	Yes	
row_20	NUDT19	1037	1.9328644275665283	0.5905043	Yes	
row_21	JAGN1	1155	1.7770558595657349	0.5954099	Yes	
row_22	PGAM1	1330	1.5988037586212158	0.59323835	Yes	
row_23	ZDHHC5	1363	1.5721075534820557	0.6044288	Yes	
row_24	DYNLL1	1381	1.5572808980941772	0.6169219	Yes	
row_25	IPO9	1419	1.5205460786819458	0.6271658	Yes	
row_26	NEFH	1582	1.3856545686721802	0.62421095	Yes	
row_27	DIS3L	1604	1.3707448244094849	0.6346293	Yes	
row_28	HMGXB3	1630	1.3526761531829834	0.64450055	Yes	
row_29	UXS1	1651	1.334388256072998	0.65468496	Yes	
row_30	POFUT1	1976	1.0985682010650635	0.63360655	No	
row_31	PSMC4	2053	1.0395331382751465	0.6357522	No	
row_32	MED11	2224	0.9437280297279358	0.62802345	No	
row_33	EFTUD2	2325	0.8833879828453064	0.6264538	No	
row_34	GAPDH	2634	0.7475441098213196	0.60372514	No	
row_35	TXNRD1	2720	0.7080784440040588	0.6020028	No	
row_36	UBA2	2764	0.6877956986427307	0.6041203	No	
row_37	IL2RB	2894	0.6288431882858276	0.59746414	No	
row_38	UBE2V1	3236	0.5150479674339294	0.5694656	No	
row_39	NUDT1	3397	0.46193361282348633	0.5583259	No	
row_40	QSOX2	3410	0.4578699469566345	0.5613283	No	
row_41	VAC14	3499	0.4307726323604584	0.5568039	No	
row_42	CCDC116	3587	0.40243101119995117	0.5521183	No	
row_43	FAM120A	3739	0.3594438135623932	0.54091144	No	
row_44	ICAM1	3876	0.32317405939102173	0.53081274	No	
row_45	OSM	3925	0.3112547993659973	0.5290367	No	
row_46	SYNPO	4308	0.21526038646697998	0.49439165	No	
row_47	TXNL4B	4417	0.18771587312221527	0.4857471	No	
row_48	DHDDS	4618	0.14066845178604126	0.46786195	No	
row_49	LSS	4705	0.12347204983234406	0.46074247	No	
row_50	JOSD2	4868	0.09362073987722397	0.44607124	No	
row_51	RFX5	5066	0.058100443333387375	0.42772475	No	
row_52	PAXIP1	5193	0.035844586789608	0.41597852	No	
row_53	KLHDC10	5211	0.032704975455999374	0.41464645	No	
row_54	MLST8	5612	-0.03419167920947075	0.376635	No	
row_55	HACD1	5677	-0.042846594005823135	0.37089208	No	
row_56	PKM	5722	-0.05028301849961281	0.3671327	No	
row_57	SLC2A1	5765	-0.05912391096353531	0.36364508	No	
row_58	RIC8B	5953	-0.08909127116203308	0.34653768	No	
row_59	GPR83	6195	-0.13284914195537567	0.32465366	No	
row_60	LY6G5B	6621	-0.2292409986257553	0.28601584	No	
row_61	HSD17B11	6742	-0.2587411403656006	0.27686572	No	
row_62	SNX9	6820	-0.2796918451786041	0.2720251	No	
row_63	UBE2F	7212	-0.38823017477989197	0.23808639	No	
row_64	KIF1C	7511	-0.4948083758354187	0.21402389	No	
row_65	RAPGEF5	8038	-0.7085752487182617	0.1700566	No	
row_66	ATXN7L3	8584	-1.0192633867263794	0.12708642	No	
row_67	MAP3K12	8685	-1.079843282699585	0.12729828	No	
row_68	IL21R	8800	-1.1467132568359375	0.12677528	No	
row_69	ERRFI1	9075	-1.384848713874817	0.11308313	No	
row_70	TMC3	9914	-2.6585018634796143	0.05690739	No	
