NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NHP2	20	6.136864185333252	0.023019068	Yes	
row_1	C1QBP	32	5.812370300292969	0.045587476	Yes	
row_2	NIP7	34	5.753580570220947	0.06888194	Yes	
row_3	EEF1E1	48	5.450740337371826	0.08978714	Yes	
row_4	LYAR	70	4.969549179077148	0.107964024	Yes	
row_5	MRTO4	74	4.910591125488281	0.12763834	Yes	
row_6	CINP	106	4.547486305236816	0.14313427	Yes	
row_7	CASP1	133	4.365180492401123	0.15837158	Yes	
row_8	MRPS18B	145	4.292644023895264	0.1747616	Yes	
row_9	DDX18	170	4.116891384124756	0.1891825	Yes	
row_10	PCBP1	188	4.006737232208252	0.20383115	Yes	
row_11	PRELID2	201	3.9322762489318848	0.2186596	Yes	
row_12	PSMG2	211	3.8847663402557373	0.2335844	Yes	
row_13	PRMT5	218	3.825890064239502	0.24855939	Yes	
row_14	MRPS25	223	3.7808709144592285	0.26354435	Yes	
row_15	EEF1D	231	3.7551968097686768	0.27813542	Yes	
row_16	UCK2	238	3.7200465202331543	0.29268008	Yes	
row_17	RANBP1	263	3.5571353435516357	0.30482534	Yes	
row_18	NME1	281	3.48171067237854	0.3173395	Yes	
row_19	UMPS	285	3.4682865142822266	0.33115017	Yes	
row_20	MORF4L2	286	3.4675424098968506	0.34524733	Yes	
row_21	TUBA4A	291	3.451639413833618	0.3588938	Yes	
row_22	RPL7L1	305	3.392265558242798	0.37143037	Yes	
row_23	ADSL	351	3.2343363761901855	0.38023666	Yes	
row_24	GEMIN6	390	3.106204032897949	0.38919756	Yes	
row_25	NDUFAF6	406	3.0600149631500244	0.40019035	Yes	
row_26	LSM2	473	2.9005680084228516	0.40561306	Yes	
row_27	CDK4	505	2.8296611309051514	0.41412526	Yes	
row_28	LSM3	539	2.776625871658325	0.4222288	Yes	
row_29	SFXN1	554	2.73966383934021	0.43201572	Yes	
row_30	LSM7	555	2.735093832015991	0.44313514	Yes	
row_31	MRPL1	559	2.7132859230041504	0.4538764	Yes	
row_32	TIMM17A	562	2.708137273788452	0.46469322	Yes	
row_33	TRMT2A	611	2.5909223556518555	0.4705942	Yes	
row_34	NUP37	625	2.5497231483459473	0.47970542	Yes	
row_35	RNPS1	632	2.5350122451782227	0.4894324	Yes	
row_36	TEX30	633	2.53230619430542	0.4997274	Yes	
row_37	PSMD6	674	2.4623825550079346	0.50587785	Yes	
row_38	PSMB2	721	2.369584560394287	0.51107204	Yes	
row_39	MRPL49	730	2.3551836013793945	0.5198749	Yes	
row_40	POLR3K	767	2.299379348754883	0.52574867	Yes	
row_41	UCHL3	770	2.295365810394287	0.5348874	Yes	
row_42	SNRPA1	878	2.158540725708008	0.5333367	Yes	
row_43	MRPS18A	892	2.1329140663146973	0.54075336	Yes	
row_44	ERP29	938	2.074424982070923	0.5448441	Yes	
row_45	SIVA1	967	2.0341873168945312	0.5504118	Yes	
row_46	MRPL22	969	2.032845973968506	0.55857974	Yes	
row_47	ORC6	981	2.0106232166290283	0.5656923	Yes	
