NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAP3	16	6.480844020843506	0.021738328	Yes	
row_1	NHP2	20	6.136864185333252	0.043498896	Yes	
row_2	PNO1	31	5.830062389373779	0.06347956	Yes	
row_3	FAM136A	53	5.392937660217285	0.0808249	Yes	
row_4	LYAR	70	4.969549179077148	0.097132854	Yes	
row_5	HEATR3	73	4.9117655754089355	0.11458819	Yes	
row_6	MRTO4	74	4.910591125488281	0.13223289	Yes	
row_7	NOP56	78	4.855929374694824	0.14939082	Yes	
row_8	FBL	99	4.607914924621582	0.16401221	Yes	
row_9	SHMT1	115	4.489349365234375	0.17869149	Yes	
row_10	COQ7	139	4.314727306365967	0.19196905	Yes	
row_11	PPA1	183	4.027491092681885	0.20227876	Yes	
row_12	PRMT7	189	3.9930367469787598	0.21614258	Yes	
row_13	CCDC58	203	3.9221084117889404	0.22897723	Yes	
row_14	EEF1D	231	3.7551968097686768	0.23985714	Yes	
row_15	UCK2	238	3.7200465202331543	0.25264326	Yes	
row_16	RANBP1	263	3.5571353435516357	0.26310185	Yes	
row_17	UMPS	285	3.4682865142822266	0.27353156	Yes	
row_18	MORF4L2	286	3.4675424098968506	0.2859911	Yes	
row_19	TUBA4A	291	3.451639413833618	0.29800636	Yes	
row_20	MECR	310	3.37142276763916	0.30837837	Yes	
row_21	COPS4	364	3.20306134223938	0.31475788	Yes	
row_22	MRPL42	369	3.1783347129821777	0.3257911	Yes	
row_23	TRMT5	377	3.1571292877197266	0.33645776	Yes	
row_24	GEMIN6	390	3.106204032897949	0.3464575	Yes	
row_25	SHMT2	458	2.9282169342041016	0.35049444	Yes	
row_26	CDK2AP1	468	2.9128026962280273	0.36008963	Yes	
row_27	LSM2	473	2.9005680084228516	0.37012476	Yes	
row_28	NAMPT	481	2.8823318481445312	0.37980404	Yes	
row_29	CDK4	505	2.8296611309051514	0.38774544	Yes	
row_30	LSM3	539	2.776625871658325	0.39452845	Yes	
row_31	AGPAT5	547	2.7621889114379883	0.40377602	Yes	
row_32	SFXN1	554	2.73966383934021	0.41303942	Yes	
row_33	LSM7	555	2.735093832015991	0.42286715	Yes	
row_34	CAD	560	2.7120721340179443	0.432225	Yes	
row_35	TIMM17A	562	2.708137273788452	0.44185907	Yes	
row_36	TSEN2	576	2.6739089488983154	0.4502087	Yes	
row_37	SMYD2	608	2.5967161655426025	0.45653883	Yes	
row_38	NUP37	625	2.5497231483459473	0.46415186	Yes	
row_39	RNPS1	632	2.5350122451782227	0.47267994	Yes	
row_40	PSMD6	674	2.4623825550079346	0.4775595	Yes	
row_41	TNFRSF9	697	2.430006504058838	0.48416167	Yes	
row_42	POLD2	702	2.421182155609131	0.4924743	Yes	
row_43	GEMIN5	712	2.3950796127319336	0.5002092	Yes	
row_44	PSMB2	721	2.369584560394287	0.5079493	Yes	
row_45	PPIE	736	2.3520004749298096	0.51504546	Yes	
row_46	UCHL3	770	2.295365810394287	0.52009916	Yes	
row_47	NUP43	788	2.2719192504882812	0.5266172	Yes	
row_48	GSTO1	799	2.2591562271118164	0.5337669	Yes	
row_49	AHSA1	801	2.256523370742798	0.54177827	Yes	
row_50	SNRPD1	861	2.183228015899658	0.54391265	Yes	
row_51	MYL4	865	2.179328203201294	0.551453	Yes	
row_52	MRPS22	875	2.165330648422241	0.55836236	Yes	
row_53	SNRPA1	878	2.158540725708008	0.5659249	Yes	
row_54	ERH	885	2.1491353511810303	0.5730664	Yes	
row_55	ORC6	981	2.0106232166290283	0.57109624	Yes	
row_56	DUT	1009	1.9733777046203613	0.5755737	Yes	
row_57	NANS	1067	1.8713842630386353	0.5767811	Yes	
row_58	CRELD2	1158	1.7704874277114868	0.574432	Yes	
row_59	MYC	1183	1.7480862140655518	0.5783903	Yes	
row_60	POLR2L	1391	1.549486517906189	0.56392306	No	
row_61	RPA3	1395	1.5474492311477661	0.569193	No	
row_62	IRF4	1416	1.5249395370483398	0.5727367	No	
row_63	CLTB	1442	1.5001189708709717	0.5757072	No	
row_64	GGT1	1633	1.3484549522399902	0.562163	No	
row_65	UXS1	1651	1.334388256072998	0.5653123	No	
row_66	MRPL18	1763	1.2557836771011353	0.5590813	No	
row_67	BANF1	1829	1.201941967010498	0.557109	No	
row_68	CDKN1A	1852	1.1818578243255615	0.55922633	No	
row_69	TNFSF10	1856	1.1795953512191772	0.5631745	No	
row_70	RBBP7	1881	1.1664161682128906	0.56504273	No	
row_71	CCRL2	1908	1.1447722911834717	0.56663966	No	
row_72	TPI1	1910	1.1432522535324097	0.5706508	No	
row_73	LSM12	1942	1.1196236610412598	0.57167345	No	
row_74	ZMYND19	1943	1.1194096803665161	0.5756957	No	
row_75	CFAP20	1993	1.0830248594284058	0.57484466	No	
row_76	PSMC4	2053	1.0395331382751465	0.5728695	No	
row_77	UBE2L3	2106	1.0051602125167847	0.5714483	No	
row_78	SAAL1	2108	1.0049324035644531	0.57496244	No	
row_79	RFC3	2146	0.9860947132110596	0.5749246	No	
row_80	ZIK1	2229	0.9389985799789429	0.5703621	No	
