NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOP16	15	6.486106872558594	0.023433689	Yes	
row_1	RPF2	22	6.088015079498291	0.046208974	Yes	
row_2	HSPD1	42	5.5952887535095215	0.06583927	Yes	
row_3	TNFSF11	67	5.015333652496338	0.08276215	Yes	
row_4	NOP2	91	4.713138580322266	0.0986223	Yes	
row_5	CD300LF	96	4.6445512771606445	0.11605331	Yes	
row_6	HSPA9	100	4.595105171203613	0.13339117	Yes	
row_7	SHMT1	115	4.489349365234375	0.14926156	Yes	
row_8	SYNGR2	136	4.322700023651123	0.1639135	Yes	
row_9	CAB39	154	4.249089241027832	0.17857265	Yes	
row_10	GPATCH4	157	4.244081020355225	0.19466045	Yes	
row_11	PPRC1	163	4.174919605255127	0.21019338	Yes	
row_12	SIGMAR1	167	4.137570858001709	0.22577608	Yes	
row_13	SMS	168	4.136326313018799	0.24164358	Yes	
row_14	TBRG4	174	4.0942583084106445	0.25686705	Yes	
row_15	PPAT	176	4.081175804138184	0.27242646	Yes	
row_16	PRMT5	218	3.825890064239502	0.28314558	Yes	
row_17	PA2G4	254	3.623271942138672	0.29366654	Yes	
row_18	NME1	281	3.48171067237854	0.3045132	Yes	
row_19	TSR2	294	3.4462897777557373	0.31657532	Yes	
row_20	LYRM4	300	3.414863348007202	0.32919255	Yes	
row_21	HSPA4	318	3.348585844039917	0.34039724	Yes	
row_22	NIFK	345	3.253063917160034	0.35036677	Yes	
row_23	IFITM2	355	3.2235448360443115	0.361864	Yes	
row_24	GAR1	374	3.170020818710327	0.37228718	Yes	
row_25	EIF1AX	404	3.0654656887054443	0.3812475	Yes	
row_26	ELP3	415	3.032257318496704	0.39191437	Yes	
row_27	SHMT2	458	2.9282169342041016	0.39909333	Yes	
row_28	DDX21	460	2.9268064498901367	0.41022444	Yes	
row_29	POLR1A	471	2.9052910804748535	0.42040426	Yes	
row_30	PES1	477	2.893566370010376	0.43102175	Yes	
row_31	POLR3D	485	2.8637447357177734	0.44133177	Yes	
row_32	ETF1	489	2.8532042503356934	0.45198748	Yes	
row_33	NOL11	537	2.7793469429016113	0.45811275	Yes	
row_34	UTP20	572	2.6815292835235596	0.46511757	Yes	
