NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GBP2	79	4.838768482208252	0.011691161	No	
row_1	NR4A3	354	3.225421190261841	-0.0018621011	No	
row_2	TNFRSF1B	456	2.929502487182617	8.806314E-5	No	
row_3	DHRS3	531	2.789059638977051	0.0040816795	No	
row_4	RAB8B	642	2.5174081325531006	0.0035193313	No	
row_5	SP110	822	2.2316274642944336	-0.0048379297	No	
row_6	PIM2	829	2.222820520401001	0.0034540102	No	
row_7	PDCD4	995	1.9993435144424438	-0.0044800458	No	
row_8	CRELD2	1158	1.7704874277114868	-0.013038072	No	
row_9	SEMA4C	1215	1.7150943279266357	-0.011594375	No	
row_10	DCLRE1A	1347	1.5883445739746094	-0.017889597	No	
row_11	SERPINB9	1446	1.4980210065841675	-0.021362707	No	
row_12	STAT1	1746	1.2662103176116943	-0.045145605	No	
row_13	TNFSF10	1856	1.1795953512191772	-0.050950307	No	
row_14	TNF	1857	1.1795778274536133	-0.04624298	No	
row_15	VCL	1858	1.1778604984283447	-0.041542504	No	
row_16	PTCH1	2754	0.689906895160675	-0.12510428	No	
row_17	IL2RB	2894	0.6288431882858276	-0.1360001	No	
row_18	COTL1	3035	0.5844356417655945	-0.14716958	No	
row_19	ID3	3066	0.5741572976112366	-0.14777154	No	
row_20	EPAS1	3124	0.55423903465271	-0.15105689	No	
row_21	TRAF5	3135	0.5507460236549377	-0.14982344	No	
row_22	ADARB1	3156	0.5400908589363098	-0.14959694	No	
row_23	PLEKHA1	3194	0.5272725820541382	-0.15106109	No	
row_24	REEP5	3254	0.5097563862800598	-0.15471685	No	
row_25	GIMAP5	3443	0.44809818267822266	-0.1710596	No	
row_26	TMEM248	3490	0.43245449662208557	-0.1737701	No	
row_27	APMAP	3593	0.4002595841884613	-0.1820098	No	
row_28	ERMP1	3605	0.39724278450012207	-0.18148538	No	
row_29	VOPP1	3689	0.37222179770469666	-0.18800458	No	
row_30	ENC1	3702	0.370060533285141	-0.18768509	No	
row_31	BAG3	3707	0.3685348629951477	-0.18660015	No	
row_32	GPR65	3717	0.3649837076663971	-0.18601158	No	
row_33	TPK1	3750	0.357379674911499	-0.18767151	No	
row_34	CCR7	3768	0.35251256823539734	-0.18790424	No	
row_35	PLA2G4C	3872	0.324433296918869	-0.196543	No	
row_36	LPIN2	3911	0.3138887882232666	-0.19895512	No	
row_37	TATDN2	4033	0.28053081035614014	-0.209505	No	
