NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPM1	10	7.208190441131592	0.0279648	Yes	
row_1	ENDOD1	19	6.17973518371582	0.051994976	Yes	
row_2	GNL3	21	6.126562595367432	0.07648774	Yes	
row_3	WDR77	24	6.038822650909424	0.10053179	Yes	
row_4	NDUFAF4	30	5.845912456512451	0.12351186	Yes	
row_5	HSPD1	42	5.5952887535095215	0.14490661	Yes	
row_6	GRWD1	49	5.446915626525879	0.1661887	Yes	
row_7	WDR43	54	5.387223243713379	0.18742438	Yes	
row_8	CHCHD4	72	4.921378135681152	0.2055349	Yes	
row_9	SMYD5	129	4.412929058074951	0.21783845	Yes	
row_10	NOLC1	141	4.301348686218262	0.2340399	Yes	
row_11	FAM162A	162	4.181758403778076	0.2488922	Yes	
row_12	DDX18	170	4.116891384124756	0.2647396	Yes	
row_13	PABPC4	184	4.025240898132324	0.27963972	Yes	
row_14	DCTD	200	3.9393889904022217	0.29400215	Yes	
row_15	TXN2	232	3.7528345584869385	0.30607066	Yes	
row_16	PRDX3	287	3.4644837379455566	0.31476068	Yes	
row_17	MECR	310	3.37142276763916	0.32616752	Yes	
row_18	EIF2S1	356	3.221670627593994	0.33475217	Yes	
row_19	UBIAD1	370	3.177922010421753	0.34625152	Yes	
row_20	ALG3	448	2.944918394088745	0.3506351	Yes	
row_21	POLR1B	452	2.934499979019165	0.3621232	Yes	
row_22	DDX21	460	2.9268064498901367	0.3731941	Yes	
row_23	SLC16A10	516	2.8093278408050537	0.37915808	Yes	
row_24	SERBP1	526	2.791968822479248	0.3894947	Yes	
row_25	MTX2	542	2.773937463760376	0.39917946	Yes	
row_26	AGPAT5	547	2.7621889114379883	0.4098794	Yes	
row_27	OLA1	565	2.6991260051727295	0.41907078	Yes	
row_28	ALAD	586	2.6503446102142334	0.42777666	Yes	
row_29	RNPS1	632	2.5350122451782227	0.43360537	Yes	
row_30	PPP1R11	662	2.4871809482574463	0.44078726	Yes	
row_31	PTMA	677	2.458361864089966	0.44930205	Yes	
row_32	METAP1	678	2.4552245140075684	0.45915622	Yes	
row_33	MYO19	679	2.4528887271881104	0.46900105	Yes	
row_34	NDUFS7	700	2.4227633476257324	0.47679353	Yes	
row_35	NUP43	788	2.2719192504882812	0.47751027	Yes	
row_36	MRPS17	795	2.2644307613372803	0.48601928	Yes	
row_37	PIM2	829	2.222820520401001	0.49175385	Yes	
row_38	YBX3	911	2.1144206523895264	0.49241787	Yes	
row_39	TELO2	1000	1.985379934310913	0.49188802	Yes	
row_40	APRT	1032	1.9387704133987427	0.49667567	Yes	
row_41	TGS1	1033	1.9362365007400513	0.50444686	Yes	
row_42	NUDT19	1037	1.9328644275665283	0.51191485	Yes	
row_43	CBX5	1127	1.8060111999511719	0.5105685	Yes	
row_44	PDXK	1138	1.7947397232055664	0.51680607	Yes	
row_45	IPO5	1152	1.7818317413330078	0.52270216	Yes	
row_46	MYC	1183	1.7480862140655518	0.526821	Yes	
row_47	AMPD2	1192	1.738110065460205	0.5330245	Yes	
row_48	SUMO2	1195	1.7346382141113281	0.53979343	Yes	
row_49	FUBP3	1263	1.6637957096099854	0.54000086	Yes	
row_50	BCS1L	1382	1.55715811252594	0.5348551	Yes	
row_51	SF3B3	1388	1.553826093673706	0.54060864	Yes	
row_52	IPO9	1419	1.5205460786819458	0.5438143	Yes	
row_53	NDUFAF2	1426	1.5161062479019165	0.54931986	Yes	
row_54	SNRPE	1427	1.5157277584075928	0.55540335	Yes	
row_55	UBXN2A	1468	1.4846326112747192	0.5574991	Yes	
row_56	DPH2	1470	1.4809588193893433	0.5633465	Yes	
row_57	WDR12	1485	1.4665417671203613	0.5678805	Yes	
row_58	POLR1D	1500	1.4543356895446777	0.5723656	Yes	
row_59	RPIA	1521	1.4382972717285156	0.57620686	Yes	
row_60	POLD3	1556	1.4044435024261475	0.57856023	Yes	
row_61	DCAKD	1565	1.3990987539291382	0.58340305	Yes	
row_62	PSMB3	1576	1.3927732706069946	0.5880273	Yes	
row_63	EIF3L	1579	1.3921047449111938	0.59342146	Yes	
row_64	TMEM41A	1595	1.3757739067077637	0.5974946	Yes	
row_65	KPNA3	1626	1.355040431022644	0.600036	Yes	
row_66	PMPCB	1711	1.2909756898880005	0.5971054	Yes	
row_67	TLCD1	1738	1.2740416526794434	0.59970796	Yes	
row_68	SNRPB	1742	1.2680326700210571	0.60450757	Yes	
row_69	NONO	1783	1.2429951429367065	0.60563356	Yes	
row_70	TXNDC9	1814	1.2119574546813965	0.6076007	Yes	
row_71	SF3A1	1838	1.1939893960952759	0.6101717	Yes	
row_72	ZWINT	1846	1.185945749282837	0.61425555	Yes	
row_73	ST6GALNAC4	1941	1.1202764511108398	0.6096741	No	
row_74	NOL7	1960	1.1067655086517334	0.6123779	No	
row_75	DGCR8	2046	1.0452390909194946	0.6083644	No	
row_76	OGFOD1	2063	1.0331709384918213	0.61096597	No	
row_77	NDUFB2	2096	1.0103328227996826	0.6119307	No	
row_78	SKP2	2168	0.973903238773346	0.6089829	No	
row_79	SDHC	2236	0.9305727481842041	0.60624754	No	
row_80	IDH3B	2359	0.867889940738678	0.59794915	No	
row_81	NMT1	2400	0.8536575436592102	0.5975125	No	
row_82	ANP32B	2429	0.8390957117080688	0.59817624	No	
row_83	LDHA	2436	0.8367278575897217	0.60095507	No	
row_84	HCFC1	2520	0.7909253239631653	0.59611404	No	
row_85	RFC5	2539	0.7835363745689392	0.59752053	No	
row_86	MTHFD2	2555	0.773978054523468	0.5991783	No	
row_87	ARFIP2	2557	0.7725796699523926	0.60218257	No	
row_88	RAD23B	2618	0.75291907787323	0.5994101	No	
row_89	MCU	2668	0.7322802543640137	0.5976172	No	
row_90	TDP1	2810	0.6661443114280701	0.5866742	No	
row_91	INTS3	2840	0.6557248830795288	0.5865054	No	
row_92	KHSRP	2937	0.6169052720069885	0.5797105	No	
