NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTTN	197	3.9501850605010986	-1.9474837E-4	No	
row_1	IL7R	582	2.6633541584014893	-0.024584858	No	
row_2	EIF6	834	2.214841842651367	-0.03826788	No	
row_3	CLTB	1442	1.5001189708709717	-0.08974105	No	
row_4	TMED3	1554	1.4074475765228271	-0.093751825	No	
row_5	TFG	1563	1.3996851444244385	-0.087851755	No	
row_6	TMEM41A	1595	1.3757739067077637	-0.08428704	No	
row_7	PNPO	1657	1.3304612636566162	-0.08383577	No	
row_8	SLC17A9	1773	1.2466098070144653	-0.08899963	No	
row_9	SPATA5	1779	1.2441712617874146	-0.0835512	No	
row_10	SUCLG1	1788	1.236041784286499	-0.07843126	No	
row_11	SPRED1	1819	1.2089951038360596	-0.075565055	No	
row_12	RAB14	2118	0.9973369836807251	-0.0995916	No	
row_13	RPS14	2142	0.9877768158912659	-0.09710393	No	
row_14	JADE1	2223	0.9438090324401855	-0.10033099	No	
row_15	IMPDH1	2328	0.882514238357544	-0.10616821	No	
row_16	CAMKK1	2763	0.6879249811172485	-0.14480484	No	
row_17	UBR3	2875	0.6366727948188782	-0.15249012	No	
row_18	CNIH1	2884	0.6327160000801086	-0.15024643	No	
row_19	POLR2I	2932	0.6184554696083069	-0.15183736	No	
row_20	ADARB1	3156	0.5400908589363098	-0.17080016	No	
row_21	PLEKHA1	3194	0.5272725820541382	-0.17186	No	
row_22	TMEM101	3312	0.4881457984447479	-0.18083283	No	
row_23	UFM1	3636	0.3865548372268677	-0.21018569	No	
row_24	ABCB6	3672	0.37570568919181824	-0.21177493	No	
row_25	ATP6V0A1	4104	0.2628021538257599	-0.25214848	No	
row_26	COX4I1	4118	0.25969168543815613	-0.25216603	No	
row_27	CDK9	4121	0.2590482532978058	-0.25112423	No	
row_28	TMEM14C	4152	0.25181010365486145	-0.2528212	No	
row_29	USP22	4191	0.24399703741073608	-0.25532806	No	
row_30	MARVELD1	4284	0.22065621614456177	-0.2631616	No	
row_31	RRAD	4379	0.19878360629081726	-0.27129254	No	
row_32	TOPORS	4412	0.18948592245578766	-0.2734798	No	
row_33	N4BP3	4449	0.18011491000652313	-0.27609804	No	
row_34	CCNF	4758	0.11305660009384155	-0.30530605	No	
row_35	RAP1B	4788	0.10722283273935318	-0.30759573	No	
row_36	KPNA2	4792	0.10701455175876617	-0.3073753	No	
row_37	CRK	4795	0.10617054253816605	-0.30706233	No	
row_38	MYBL2	4824	0.10217687487602234	-0.30927947	No	
row_39	NEK6	4862	0.09420933574438095	-0.31240386	No	
row_40	CAPN15	4866	0.09393235296010971	-0.3122458	No	
row_41	CXCR6	4899	0.08829529583454132	-0.31491545	No	
row_42	IER5	4995	0.06994657218456268	-0.3237572	No	
row_43	TM9SF2	5267	0.024660812690854073	-0.3498131	No	
row_44	AURKB	5465	-0.010311707854270935	-0.3687904	No	
row_45	KCTD20	5520	-0.018562104552984238	-0.37391728	No	
row_46	GLO1	5736	-0.05358201265335083	-0.39442676	No	
row_47	FAM8A1	5798	-0.06414932757616043	-0.40001237	No	
row_48	SMAD1	5853	-0.07189592719078064	-0.404885	No	
row_49	TRAPPC1	5931	-0.0852188989520073	-0.41191548	No	
row_50	VPS4B	5991	-0.09554105252027512	-0.4171583	No	
row_51	SACS	6000	-0.09671658277511597	-0.41746986	No	
row_52	SMAD4	6025	-0.10063740611076355	-0.41930804	No	
row_53	SORD	6082	-0.1118866354227066	-0.4241832	No	
row_54	SNX12	6083	-0.11205556243658066	-0.42364898	No	
row_55	TOX4	6086	-0.11234739422798157	-0.42330655	No	
row_56	GABARAP	6130	-0.12033215165138245	-0.42688587	No	
row_57	NABP1	6176	-0.1288321316242218	-0.43061784	No	
row_58	NTPCR	6292	-0.1530582457780838	-0.44099498	No	
row_59	ARL8A	6308	-0.15604954957962036	-0.44169977	No	
row_60	UIMC1	6351	-0.16580887138843536	-0.4449657	No	
row_61	CMTM3	6384	-0.17336633801460266	-0.4472298	No	
row_62	CASKIN2	6406	-0.18163013458251953	-0.44839212	No	
row_63	B3GNT2	6420	-0.18338005244731903	-0.44877344	No	
row_64	MAPK3	6441	-0.18602046370506287	-0.44981825	No	
row_65	NAB1	6459	-0.19040346145629883	-0.45055243	No	
row_66	XYLB	6466	-0.1925496608018875	-0.45021397	No	
row_67	APLP2	6498	-0.19850055873394012	-0.45226166	No	
row_68	ACTR1A	6517	-0.203811913728714	-0.4530285	No	
row_69	TXNDC17	6636	-0.2321798950433731	-0.4633182	No	
row_70	RAB18	6675	-0.24339038133621216	-0.46582794	No	
row_71	VEGFB	6700	-0.2494789958000183	-0.46695656	No	
