NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHCHD10	1	7.859808444976807	0.025506338	Yes	
row_1	IRF8	13	6.579859733581543	0.045874458	Yes	
row_2	RPF2	22	6.088015079498291	0.06493104	Yes	
row_3	WDR77	24	6.038822650909424	0.08450554	Yes	
row_4	NDUFAF4	30	5.845912456512451	0.10306412	Yes	
row_5	WDR43	54	5.387223243713379	0.118384674	Yes	
row_6	PTGER4	56	5.3617262840271	0.13575354	Yes	
row_7	MRTO4	74	4.910591125488281	0.15010276	Yes	
row_8	PHTF2	87	4.771925449371338	0.16448468	Yes	
row_9	NOP2	91	4.713138580322266	0.17954703	Yes	
row_10	IL2RA	102	4.590158939361572	0.1935306	Yes	
row_11	GCSH	105	4.552402019500732	0.20816623	Yes	
row_12	CINP	106	4.547486305236816	0.2229796	Yes	
row_13	MRPL17	118	4.477055549621582	0.23649786	Yes	
row_14	RRP9	130	4.393106460571289	0.24974266	Yes	
row_15	SYNGR2	136	4.322700023651123	0.2633394	Yes	
row_16	FAM162A	162	4.181758403778076	0.2745394	Yes	
row_17	CCT3	166	4.142268180847168	0.28774214	Yes	
row_18	MRPL45	178	4.0678253173828125	0.29992735	Yes	
row_19	PPA1	183	4.027491092681885	0.31265932	Yes	
row_20	AIMP2	205	3.913670778274536	0.32337356	Yes	
row_21	CCT6A	207	3.906320571899414	0.33600146	Yes	
row_22	TIMM9	216	3.8439483642578125	0.34774804	Yes	
row_23	RRP1B	220	3.8092150688171387	0.35986584	Yes	
row_24	SRM	224	3.7798802852630615	0.37188813	Yes	
row_25	SLC19A1	252	3.652541399002075	0.38117045	Yes	
row_26	GALK1	260	3.5634148120880127	0.39210007	Yes	
row_27	HK2	261	3.5615415573120117	0.40370175	Yes	
row_28	RPL7L1	305	3.392265558242798	0.41058615	Yes	
row_29	ENOPH1	313	3.363833427429199	0.42086563	Yes	
row_30	MOGS	326	3.312930107116699	0.43049487	Yes	
row_31	MRPS10	388	3.1142706871032715	0.43472987	Yes	
row_32	XPOT	389	3.1106975078582764	0.44486293	Yes	
row_33	NCBP2	394	3.093069553375244	0.45455104	Yes	
row_34	SPR	395	3.089552164077759	0.4646152	Yes	
row_35	POLR2F	444	2.94885516166687	0.4695708	Yes	
row_36	SOD2	469	2.9084057807922363	0.47671977	Yes	
row_37	POLR1A	471	2.9052910804748535	0.48608682	Yes	
row_38	LSM2	473	2.9005680084228516	0.49543852	Yes	
row_39	MTX2	542	2.773937463760376	0.4978867	Yes	
row_40	CAD	560	2.7120721340179443	0.50507426	Yes	
row_41	OLA1	565	2.6991260051727295	0.5134791	Yes	
row_42	ACAD9	595	2.6249969005584717	0.5192205	Yes	
row_43	TSPAN31	640	2.520629644393921	0.5231686	Yes	
row_44	RBPJ	691	2.440864086151123	0.5262757	Yes	
row_45	LUC7L3	696	2.4307961463928223	0.53380644	Yes	
row_46	TNFRSF9	697	2.430006504058838	0.5417222	Yes	
row_47	POLD2	702	2.421182155609131	0.54922163	Yes	
row_48	PSMD12	707	2.4126157760620117	0.5566932	Yes	
row_49	POLR3K	767	2.299379348754883	0.55846745	Yes	
row_50	PDIA4	859	2.1886072158813477	0.55678064	Yes	
row_51	DDX1	870	2.1693758964538574	0.56287855	Yes	
row_52	MRPS22	875	2.165330648422241	0.56954455	Yes	
row_53	MRPL2	924	2.10198712348938	0.5717415	Yes	
row_54	ALDH18A1	932	2.0833988189697266	0.57785	Yes	
row_55	RCC1	942	2.0711886882781982	0.5837249	Yes	
row_56	HMBS	944	2.0696840286254883	0.59037	Yes	
row_57	SIVA1	967	2.0341873168945312	0.59486496	Yes	
row_58	ORC6	981	2.0106232166290283	0.6001551	Yes	
row_59	HAX1	1003	1.9827693700790405	0.6045795	Yes	
row_60	TMEM97	1015	1.9650577306747437	0.60991496	Yes	
row_61	NUDT19	1037	1.9328644275665283	0.61417675	Yes	
row_62	COQ5	1094	1.8402907848358154	0.61474615	Yes	
row_63	CBX1	1137	1.7949566841125488	0.6165242	Yes	
row_64	JAGN1	1155	1.7770558595657349	0.62066597	Yes	
row_65	ESF1	1161	1.7695883512496948	0.625946	Yes	
row_66	EMC8	1168	1.7620620727539062	0.6311046	Yes	
row_67	TAMM41	1238	1.6884112358093262	0.6299198	Yes	
row_68	HDHD2	1248	1.6783154010772705	0.634515	Yes	
row_69	PDAP1	1265	1.6609686613082886	0.63837546	Yes	
row_70	CARM1	1282	1.6495705842971802	0.64219886	Yes	
row_71	COMT	1302	1.6244910955429077	0.6456499	Yes	
row_72	RPN1	1307	1.618484616279602	0.6505346	Yes	
row_73	PGAM1	1330	1.5988037586212158	0.65361124	Yes	
row_74	MRPL37	1341	1.5900511741638184	0.657822	Yes	
row_75	POLR2L	1391	1.549486517906189	0.6581223	Yes	
row_76	RPA3	1395	1.5474492311477661	0.6628725	Yes	
row_77	IRF4	1416	1.5249395370483398	0.6659023	Yes	
row_78	SERPINB9	1446	1.4980210065841675	0.66797256	Yes	
row_79	POLD3	1556	1.4044435024261475	0.66198754	Yes	
row_80	NVL	1560	1.4010785818099976	0.6662609	Yes	
row_81	NUP85	1694	1.3062076568603516	0.6576308	Yes	
row_82	CLIC4	1698	1.302371621131897	0.6615826	Yes	
row_83	GFM1	1755	1.2618484497070312	0.6602678	Yes	
row_84	MRPL18	1763	1.2557836771011353	0.66368026	Yes	
row_85	PIGF	1786	1.2397270202636719	0.6655873	Yes	
row_86	DTD2	1826	1.2039904594421387	0.66573095	Yes	
row_87	RAD50	1837	1.194657802581787	0.6686537	Yes	
row_88	TNF	1857	1.1795778274536133	0.6706554	Yes	
row_89	TPI1	1910	1.1432522535324097	0.6693418	Yes	
row_90	ARL2	1950	1.114457607269287	0.6691938	Yes	
row_91	TAF11	2028	1.056954026222229	0.665177	Yes	
row_92	ARMC1	2070	1.0268425941467285	0.6645498	Yes	
row_93	ELOF1	2093	1.0139917135238647	0.66572154	Yes	
row_94	THAP7	2095	1.011544942855835	0.66891974	Yes	
row_95	TRIP13	2104	1.006113052368164	0.6714221	Yes	
row_96	SAAL1	2108	1.0049324035644531	0.67440504	Yes	
row_97	CYB5B	2134	0.9894819855690002	0.67520624	Yes	
row_98	ABCD3	2159	0.9786478877067566	0.676069	Yes	
row_99	DCTPP1	2226	0.9430134892463684	0.6727468	No	
row_100	HRAS	2268	0.9133395552635193	0.6717499	No	
row_101	GTF2E2	2308	0.8900399804115295	0.67087084	No	
row_102	RHOT1	2319	0.886650025844574	0.6727903	No	
row_103	RNASEH2B	2345	0.8749719858169556	0.6732185	No	
row_104	INO80E	2395	0.8554880023002625	0.67125803	No	
row_105	ACOT7	2405	0.8503227233886719	0.673156	No	
row_106	PREP	2439	0.8360342383384705	0.67268234	No	
row_107	RFC5	2539	0.7835363745689392	0.6656436	No	
row_108	MTHFD2	2555	0.773978054523468	0.66671157	No	
