NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOP16	15	6.486106872558594	0.02305134	Yes	
row_1	NHP2	20	6.136864185333252	0.04584835	Yes	
row_2	RPF2	22	6.088015079498291	0.06875128	Yes	
row_3	PHTF2	87	4.771925449371338	0.080582276	Yes	
row_4	GCSH	105	4.552402019500732	0.09613467	Yes	
row_5	CINP	106	4.547486305236816	0.11331451	Yes	
row_6	PHB	113	4.494336128234863	0.1297126	Yes	
row_7	IFRD2	125	4.432302474975586	0.14539222	Yes	
row_8	MRPL15	128	4.421436786651611	0.1619022	Yes	
row_9	COQ7	139	4.314727306365967	0.17723447	Yes	
row_10	MRPS7	150	4.276183605194092	0.19242111	Yes	
row_11	COPS7A	173	4.098850727081299	0.20577593	Yes	
row_12	PPA1	183	4.027491092681885	0.22011986	Yes	
row_13	FUBP1	199	3.9419846534729004	0.23355983	Yes	
row_14	AIMP2	205	3.913670778274536	0.24786107	Yes	
row_15	CCT6A	207	3.906320571899414	0.26252183	Yes	
row_16	RUVBL2	278	3.501028060913086	0.26897058	Yes	
row_17	ZRANB2	302	3.4091804027557373	0.2796231	Yes	
row_18	MOGS	326	3.312930107116699	0.289912	Yes	
row_19	WDR61	335	3.291626214981079	0.30157274	Yes	
row_20	TOMM40	336	3.2899556159973145	0.31400177	Yes	
row_21	EXOSC7	344	3.2569289207458496	0.32562828	Yes	
row_22	MTCH2	367	3.1837363243103027	0.3355259	Yes	
row_23	PLSCR1	385	3.137037992477417	0.34573123	Yes	
row_24	MRPS10	388	3.1142706871032715	0.3573029	Yes	
row_25	XPOT	389	3.1106975078582764	0.36905473	Yes	
row_26	NCBP2	394	3.093069553375244	0.38035268	Yes	
row_27	FARSA	412	3.0402119159698486	0.3901922	Yes	
row_28	DRG1	420	3.0147101879119873	0.4009036	Yes	
row_29	FOXK2	445	2.9486021995544434	0.4097193	Yes	
row_30	CUL2	465	2.9173736572265625	0.41890112	Yes	
row_31	LSM2	473	2.9005680084228516	0.42918134	Yes	
row_32	ETF1	489	2.8532042503356934	0.438508	Yes	
row_33	MTX2	542	2.773937463760376	0.44395274	Yes	
row_34	HOPX	604	2.6146621704101562	0.44792435	Yes	
row_35	THOP1	680	2.451569080352783	0.44992426	Yes	
row_36	POLD2	702	2.421182155609131	0.45703787	Yes	
row_37	SSBP1	738	2.3485801219940186	0.46252167	Yes	
row_38	COPS5	775	2.2900633811950684	0.46768758	Yes	
row_39	GUSB	841	2.205779790878296	0.46972716	Yes	
row_40	BCAT1	845	2.1989550590515137	0.47774407	Yes	
row_41	DDX1	870	2.1693758964538574	0.4836159	Yes	
row_42	RBMXL1	879	2.158264636993408	0.49099496	Yes	
row_43	LMAN1	893	2.132596254348755	0.49779293	Yes	
row_44	MRPL11	916	2.111513137817383	0.5036398	Yes	
row_45	DPY30	917	2.110111713409424	0.5116116	Yes	
row_46	BSG	957	2.0554099082946777	0.5156005	Yes	
row_47	TARDBP	959	2.04406476020813	0.5232259	Yes	
row_48	UQCR11	966	2.0371439456939697	0.530341	Yes	
row_49	SIVA1	967	2.0341873168945312	0.538026	Yes	
row_50	CCND3	982	2.0100550651550293	0.54426414	Yes	
row_51	IPO11	1066	1.8727980852127075	0.54330295	Yes	
row_52	PSMA1	1097	1.8360759019851685	0.5473347	Yes	
row_53	PSMD1	1112	1.8214486837387085	0.5528603	Yes	
row_54	ARL1	1164	1.7644644975662231	0.55458826	Yes	
row_55	HDLBP	1177	1.7510087490081787	0.5600414	Yes	
row_56	HNRNPLL	1200	1.7276579141616821	0.56443816	Yes	
row_57	TIPIN	1229	1.7008109092712402	0.56815255	Yes	
row_58	PDAP1	1265	1.6609686613082886	0.57103866	Yes	
row_59	TIMM13	1318	1.610130786895752	0.5720867	Yes	
row_60	COA3	1359	1.575156569480896	0.57416445	Yes	
row_61	IRF4	1416	1.5249395370483398	0.5745033	Yes	
row_62	FAM98A	1471	1.4806201457977295	0.57486844	Yes	
row_63	LACTB2	1490	1.4602116346359253	0.5786421	Yes	
row_64	LONP1	1507	1.4508978128433228	0.5825742	Yes	
