NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SWAP70	37	5.738617897033691	0.012619426	No	
row_1	NRP1	215	3.874541759490967	0.006444785	No	
row_2	TMEM154	280	3.495537757873535	0.010123637	No	
row_3	SYTL2	780	2.2834556102752686	-0.031667657	No	
row_4	TSPAN13	935	2.0795300006866455	-0.04068504	No	
row_5	CHDH	1025	1.9485068321228027	-0.043788984	No	
row_6	CREB1	1453	1.492548942565918	-0.08085256	No	
row_7	CYBB	1577	1.3926640748977661	-0.08881186	No	
row_8	TTC28	2323	0.884766697883606	-0.15833026	No	
row_9	SH3BGRL2	3056	0.577094554901123	-0.22746035	No	
row_10	SMC6	3205	0.5232197046279907	-0.2402901	No	
row_11	MEX3B	3438	0.4509989023208618	-0.26144356	No	
row_12	ADGRE5	3682	0.37315452098846436	-0.28388	No	
row_13	ZFP36L1	4257	0.2247132658958435	-0.33873156	No	
row_14	RPRD2	4296	0.2187262922525406	-0.34178752	No	
row_15	RFX1	4411	0.18970398604869843	-0.3522719	No	
row_16	SCG5	4460	0.17836998403072357	-0.35640845	No	
row_17	BLVRB	4668	0.13051097095012665	-0.37604976	No	
row_18	CRIM1	4730	0.11745822429656982	-0.38161483	No	
row_19	CREBBP	4802	0.1052137017250061	-0.3881811	No	
row_20	SMAP1	5110	0.04960764944553375	-0.41771728	No	
row_21	PTPN18	5200	0.03463364392518997	-0.4262227	No	
row_22	CCL5	5220	0.03164792060852051	-0.42797002	No	
row_23	PHLPP1	5410	-0.0022684580180794	-0.44623333	No	
row_24	CCNL2	5620	-0.035141706466674805	-0.46633714	No	
row_25	PTPN13	5635	-0.03628316894173622	-0.46758804	No	
row_26	ALDH6A1	5735	-0.05349041149020195	-0.4770069	No	
row_27	PCMTD1	5919	-0.08298268169164658	-0.49446243	No	
row_28	MAP3K3	6008	-0.09803876280784607	-0.5026923	No	
row_29	RSBN1	6236	-0.14229163527488708	-0.52423364	No	
row_30	NRIP1	6241	-0.14331868290901184	-0.5242158	No	
row_31	MAP2K6	6401	-0.17888788878917694	-0.5390807	No	
row_32	GPLD1	6422	-0.18344847857952118	-0.54049623	No	
row_33	FAM117A	6462	-0.19100508093833923	-0.5437271	No	
row_34	ITM2C	6662	-0.2388169765472412	-0.5622894	No	
row_35	CLK1	6768	-0.26570582389831543	-0.57168937	No	
row_36	DPP4	6840	-0.2846488952636719	-0.57774925	No	
row_37	RASGRF2	6893	-0.299539715051651	-0.5819304	No	
row_38	ZMYND11	6912	-0.30392807722091675	-0.5828126	No	
row_39	SPACA1	7175	-0.378684401512146	-0.6070701	No	
row_40	DBNDD2	7183	-0.3811258375644684	-0.6066711	No	
row_41	ARID4B	7337	-0.43073880672454834	-0.6202452	No	
row_42	NBEAL1	7424	-0.46020978689193726	-0.62725955	No	
row_43	IL1RAP	7542	-0.5088308453559875	-0.6371333	No	
row_44	ZDHHC15	7577	-0.5198067426681519	-0.63895285	No	
row_45	NMB	7659	-0.5540027022361755	-0.6452192	No	
row_46	ASH1L	7689	-0.5666290521621704	-0.6464233	No	
row_47	DZIP1	7734	-0.5829924941062927	-0.64903116	No	
row_48	ATP10D	7755	-0.5938705205917358	-0.6492884	No	
row_49	DTX1	7764	-0.5962525606155396	-0.6483789	No	
row_50	PGLYRP1	7775	-0.6026641726493835	-0.6476447	No	
row_51	SRPK2	7785	-0.606364905834198	-0.6468033	No	
row_52	PRKX	7802	-0.6105958819389343	-0.6466267	No	
row_53	DMTF1	7841	-0.6272229552268982	-0.64852977	No	
row_54	AMPD1	7847	-0.6300832033157349	-0.6472348	No	
row_55	SLC35B3	7859	-0.6361356377601624	-0.64650273	No	
