NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTA	6	7.378170490264893	0.028919855	Yes	
row_1	IRF8	13	6.579859733581543	0.05464788	Yes	
row_2	PPAN	35	5.748079776763916	0.07560085	Yes	
row_3	BCL2L1	51	5.405547618865967	0.095764056	Yes	
row_4	METTL1	65	5.024819850921631	0.11459828	Yes	
row_5	NOP2	91	4.713138580322266	0.1310268	Yes	
row_6	IL2RA	102	4.590158939361572	0.14841303	Yes	
row_7	RRP9	130	4.393106460571289	0.16336873	Yes	
row_8	HOMER1	140	4.307103157043457	0.17971988	Yes	
row_9	DDX56	142	4.30035400390625	0.19681706	Yes	
row_10	MYBBP1A	159	4.208714008331299	0.21209842	Yes	
row_11	TNFRSF4	180	4.043571949005127	0.22633299	Yes	
row_12	CCDC86	225	3.77258563041687	0.23716503	Yes	
row_13	HIVEP3	228	3.7589104175567627	0.25200078	Yes	
row_14	UCK2	238	3.7200465202331543	0.26600474	Yes	
row_15	PA2G4	254	3.623271942138672	0.27904198	Yes	
row_16	CLUH	324	3.322787046432495	0.28565994	Yes	
row_17	TOMM40	336	3.2899556159973145	0.29775104	Yes	
row_18	PUSL1	342	3.2752764225006104	0.3103632	Yes	
row_19	NOC4L	359	3.213181495666504	0.3216642	Yes	
row_20	USP14	363	3.2059450149536133	0.33419243	Yes	
row_21	FARSA	412	3.0402119159698486	0.34170976	Yes	
row_22	ACY1	430	2.9844019412994385	0.35199943	Yes	
row_23	SHMT2	458	2.9282169342041016	0.36109814	Yes	
row_24	POLR1A	471	2.9052910804748535	0.37155464	Yes	
row_25	TIMM50	496	2.8457443714141846	0.38061354	Yes	
row_26	NTMT1	507	2.8216331005096436	0.39092878	Yes	
row_27	EIF2B3	551	2.750967025756836	0.3977728	Yes	
row_28	NUDC	564	2.70238995552063	0.40741804	Yes	
row_29	MRPS34	570	2.6900136470794678	0.4176902	Yes	
row_30	UTP20	572	2.6815292835235596	0.42831492	Yes	
row_31	ACAD9	595	2.6249969005584717	0.43668446	Yes	
row_32	PHGDH	607	2.5995421409606934	0.44601512	Yes	
row_33	NCLN	610	2.5911872386932373	0.45618203	Yes	
row_34	GFOD1	660	2.490902900695801	0.46140647	Yes	
row_35	MRRF	666	2.4814040660858154	0.47084457	Yes	
row_36	THOP1	680	2.451569080352783	0.47939035	Yes	
row_37	TIMM44	684	2.4448747634887695	0.48887563	Yes	
row_38	TNFRSF9	697	2.430006504058838	0.4974318	Yes	
row_39	POLD2	702	2.421182155609131	0.5067257	Yes	
row_40	POLR2D	720	2.3721086978912354	0.5145673	Yes	
row_41	NPM3	791	2.267481803894043	0.5168693	Yes	
row_42	STIP1	832	2.217149257659912	0.5218689	Yes	
row_43	EXOSC4	871	2.1690661907196045	0.5268694	Yes	
row_44	DDX51	888	2.1408441066741943	0.533883	Yes	
row_45	TRAP1	897	2.1300103664398193	0.5416262	Yes	
row_46	YBX3	911	2.1144206523895264	0.548824	Yes	
row_47	PLAGL2	919	2.1075215339660645	0.556574	Yes	
row_48	SLC16A1	961	2.042922258377075	0.5607803	Yes	
row_49	ORC6	981	2.0106232166290283	0.56698334	Yes	
row_50	TMEM97	1015	1.9650577306747437	0.57165134	Yes	
row_51	HILPDA	1070	1.8690366744995117	0.5739063	Yes	
row_52	SLC3A2	1073	1.8656079769134521	0.58117217	Yes	
row_53	RPE	1076	1.8635019063949585	0.58842963	Yes	
row_54	PINX1	1111	1.8220024108886719	0.5924291	Yes	
row_55	HELLS	1145	1.7875621318817139	0.59638745	Yes	
row_56	LIG3	1202	1.726035475730896	0.5978774	Yes	
row_57	PRR3	1272	1.656586766242981	0.59783345	Yes	
row_58	TIMM13	1318	1.610130786895752	0.5999229	Yes	
row_59	DPH2	1470	1.4809588193893433	0.59125334	Yes	
row_60	NOL6	1484	1.4669692516326904	0.59586245	Yes	
row_61	PDCD11	1502	1.4540926218032837	0.6000336	Yes	
row_62	CD320	1567	1.398594856262207	0.59944135	Yes	
row_63	NEFH	1582	1.3856545686721802	0.6036287	Yes	
row_64	NOP14	1588	1.3805376291275024	0.6086653	Yes	
row_65	TLCD1	1738	1.2740416526794434	0.59936166	Yes	
row_66	GOT1	1784	1.2413311004638672	0.59997654	Yes	
row_67	ZWINT	1846	1.185945749282837	0.5988239	Yes	
row_68	TNF	1857	1.1795778274536133	0.6025739	Yes	
row_69	CDCA7	1902	1.1510781049728394	0.6029245	Yes	
