NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTA	6	7.378170490264893	0.022782193	No	
row_1	GBP2	79	4.838768482208252	0.031139933	No	
row_2	RPL5	82	4.819319725036621	0.046206567	No	
row_3	HEMK1	427	3.0045547485351562	0.022448229	No	
row_4	POLR3D	485	2.8637447357177734	0.026002994	No	
row_5	SLC16A10	516	2.8093278408050537	0.03199692	No	
row_6	CD72	520	2.805400848388672	0.040589888	No	
row_7	RRAS2	779	2.2840752601623535	0.022868214	No	
row_8	PDCD4	995	1.9993435144424438	0.008403963	No	
row_9	APRT	1032	1.9387704133987427	0.011060999	No	
row_10	PPIL3	1139	1.7943583726882935	0.0064902813	No	
row_11	MRPL24	1193	1.7377315759658813	0.0068664798	No	
row_12	DPH2	1470	1.4809588193893433	-0.015139193	No	
row_13	ANKRD26	1491	1.4591493606567383	-0.01245331	No	
row_14	NOP10	1573	1.3965778350830078	-0.015865546	No	
row_15	GGT1	1633	1.3484549522399902	-0.017302295	No	
row_16	PPARGC1B	1665	1.3259432315826416	-0.016102133	No	
row_17	RPL35	1677	1.3149930238723755	-0.013002222	No	
row_18	TACC2	1686	1.310718297958374	-0.009625683	No	
row_19	FRMD6	1747	1.266099452972412	-0.011419926	No	
row_20	GNB1L	1983	1.0922136306762695	-0.03069097	No	
row_21	MTG2	2043	1.047109603881836	-0.03308191	No	
row_22	GPN3	2175	0.9709978699684143	-0.042677775	No	
row_23	ITM2A	2190	0.9648249745368958	-0.040976815	No	
row_24	USP24	2204	0.9563899040222168	-0.039205838	No	
row_25	RFFL	2209	0.9499645233154297	-0.03658472	No	
row_26	RUNDC3B	2986	0.6007629036903381	-0.10973806	No	
row_27	MGAT5	3131	0.5511733293533325	-0.121920645	No	
row_28	CDKAL1	3277	0.4976304769515991	-0.13436949	No	
row_29	FAM3C	3504	0.4280962646007538	-0.15487294	No	
row_30	RHOF	3518	0.42339837551116943	-0.15478964	No	
row_31	GRAMD1B	3572	0.4061969816684723	-0.15862967	No	
row_32	ADAMTS6	3591	0.40054288506507874	-0.15910235	No	
row_33	PAPOLG	3623	0.39001739025115967	-0.16086575	No	
row_34	SFMBT2	3809	0.34034931659698486	-0.17768146	No	
row_35	PYROXD1	4039	0.2786656320095062	-0.19894823	No	
row_36	KDSR	4059	0.27298393845558167	-0.19992155	No	
row_37	SYTL1	4628	0.1399596482515335	-0.254416	No	
row_38	TNIP1	4729	0.11763042956590652	-0.26371562	No	
row_39	NUDT16L1	4905	0.08798424154520035	-0.28036323	No	
row_40	RNASEH2C	4967	0.07644814997911453	-0.28602117	No	
row_41	TIGD2	5336	0.012946134433150291	-0.32157356	No	
row_42	TEX264	5512	-0.0173022523522377	-0.33844498	No	
row_43	AVEN	5558	-0.02393052913248539	-0.34272164	No	
row_44	RHBDL3	5682	-0.043853484094142914	-0.3544795	No	
row_45	IDNK	5715	-0.04961119964718819	-0.35741746	No	
row_46	ALDH6A1	5735	-0.05349041149020195	-0.3590858	No	
row_47	RAB23	5791	-0.06274763494729996	-0.3642068	No	
row_48	PCMTD1	5919	-0.08298268169164658	-0.37622762	No	
row_49	SLC20A1	5993	-0.09565047919750214	-0.38298538	No	
row_50	ZMYM2	6009	-0.09807520359754562	-0.38412565	No	
row_51	KCNMB4	6041	-0.10406672209501266	-0.38679448	No	
