NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FAM111A	423	3.010160446166992	-0.024158508	No	
row_1	SRSF1	1383	1.5568795204162598	-0.10792452	No	
row_2	ISCA1	1439	1.5044769048690796	-0.10493873	No	
row_3	SOX4	1538	1.4218405485153198	-0.106548004	No	
row_4	TSC22D1	1679	1.3140811920166016	-0.11279434	No	
row_5	TTC32	1880	1.1672923564910889	-0.12562568	No	
row_6	LYRM9	1924	1.131420373916626	-0.12353798	No	
row_7	NR4A2	2346	0.8737374544143677	-0.15926383	No	
row_8	PKIG	2397	0.854942798614502	-0.15937199	No	
row_9	SKIL	2582	0.7641938328742981	-0.17288165	No	
row_10	TRAPPC13	2770	0.685230016708374	-0.18711482	No	
row_11	RNF10	2987	0.6004833579063416	-0.20460668	No	
row_12	FNIP1	2998	0.5968120098114014	-0.20228438	No	
row_13	KCTD3	3017	0.5906901359558105	-0.20076603	No	
row_14	TOB1	3287	0.4954148232936859	-0.22393928	No	
row_15	PTP4A1	3425	0.4541279971599579	-0.23463038	No	
row_16	NET1	3616	0.3937353491783142	-0.25075692	No	
row_17	PLEK	3617	0.3936557173728943	-0.24859004	No	
row_18	GPR65	3717	0.3649837076663971	-0.25611305	No	
row_19	STK16	3724	0.3635574281215668	-0.25468954	No	
row_20	CERS6	3738	0.3598279058933258	-0.25396058	No	
row_21	PARP8	3976	0.2969229221343994	-0.27514535	No	
row_22	FBXO33	4295	0.219321608543396	-0.30455622	No	
row_23	PERP	4386	0.19708287715911865	-0.3121369	No	
row_24	FHIT	4503	0.16865797340869904	-0.3223774	No	
row_25	CFL2	4530	0.16092240810394287	-0.323995	No	
row_26	ZBTB4	4569	0.14967486262321472	-0.32682988	No	
row_27	SYTL1	4628	0.1399596482515335	-0.3316439	No	
row_28	RBSN	4733	0.11707521975040436	-0.34101295	No	
row_29	COQ10B	4750	0.11439299583435059	-0.3419238	No	
row_30	PPP3CA	4781	0.10914579033851624	-0.34421152	No	
row_31	ATXN1L	4993	0.07039544731378555	-0.36413983	No	
row_32	SNX29	5230	0.030526529997587204	-0.3866947	No	
row_33	OVGP1	5280	0.02262716181576252	-0.39128804	No	
row_34	OTUD1	5320	0.015748772770166397	-0.3949564	No	
row_35	MXI1	5425	-0.004581613931804895	-0.40494466	No	
row_36	CKAP2	5548	-0.022583043202757835	-0.41656694	No	
row_37	PDE4D	5629	-0.0359916165471077	-0.4240715	No	
row_38	GABARAPL1	5686	-0.044650353491306305	-0.4292176	No	
row_39	FAM8A1	5798	-0.06414932757616043	-0.43955195	No	
row_40	RBM33	5896	-0.07907388359308243	-0.4484562	No	
row_41	ZFAND2A	5926	-0.08438383787870407	-0.4507839	No	
row_42	PBX4	5940	-0.08703961968421936	-0.4515565	No	
row_43	KLF11	6123	-0.11862537264823914	-0.46842712	No	
row_44	DENND5A	6437	-0.1857798844575882	-0.49754122	No	
row_45	MAFF	6438	-0.18591786921024323	-0.49651784	No	
row_46	SLC2A3	6555	-0.21141164004802704	-0.506523	No	
row_47	PSTK	6643	-0.23359447717666626	-0.5136138	No	
row_48	HELZ	6680	-0.24460382759571075	-0.5157336	No	
row_49	PNPLA8	6681	-0.24582843482494354	-0.51438046	No	
row_50	ARRDC3	6702	-0.2501319944858551	-0.5149293	No	
row_51	HEG1	6720	-0.25383099913597107	-0.5151689	No	
row_52	DNAJB9	6877	-0.2951417565345764	-0.5285645	No	
row_53	UBASH3B	7427	-0.46063750982284546	-0.57888854	No	
row_54	SC5D	7486	-0.48576951026916504	-0.5817991	No	
row_55	PCNT	7529	-0.5035867094993591	-0.583071	No	
row_56	ST3GAL5	7604	-0.5296158790588379	-0.5872807	No	
row_57	MXD1	7866	-0.6383875012397766	-0.6088967	No	
row_58	PIM1	7940	-0.6715916395187378	-0.61222863	No	
row_59	IER2	7961	-0.6785240173339844	-0.61041933	No	
row_60	SUSD4	7981	-0.6859630942344666	-0.6084729	No	
row_61	ATG14	8020	-0.7015144228935242	-0.60827017	No	
row_62	DRAM2	8076	-0.7254728078842163	-0.6095724	No	
row_63	RASGRP2	8110	-0.7406843304634094	-0.6086727	No	
row_64	FAM204A	8121	-0.7469865679740906	-0.6055237	No	
row_65	DUSP1	8135	-0.7552176713943481	-0.60261834	No	
row_66	NMRK1	8151	-0.7648090720176697	-0.5998527	No	
row_67	PPP3CC	8401	-0.9138202667236328	-0.6187971	Yes	
row_68	IRF2BP2	8416	-0.9234426021575928	-0.61506206	Yes	
row_69	CD3G	8425	-0.9289950728416443	-0.61071867	Yes	
row_70	ASAH1	8430	-0.9334969520568848	-0.6059654	Yes	
row_71	ITPRIP	8434	-0.934805691242218	-0.6011086	Yes	
row_72	ITCH	8439	-0.9364159107208252	-0.5963392	Yes	
row_73	MEF2D	8444	-0.9391019940376282	-0.5915551	Yes	
row_74	KIFC2	8471	-0.9531227350234985	-0.588812	Yes	
row_75	MYO1F	8508	-0.9730918407440186	-0.5869218	Yes	
row_76	KCNA3	8692	-1.0831354856491089	-0.5985796	Yes	
row_77	GTF2IRD2	8702	-1.0900517702102661	-0.59344596	Yes	
row_78	MBNL2	8736	-1.1091755628585815	-0.5905179	Yes	
row_79	CNST	8782	-1.1327370405197144	-0.5886155	Yes	
row_80	ZBTB20	8935	-1.261258602142334	-0.596308	Yes	
row_81	ITGA6	8963	-1.2851909399032593	-0.59183335	Yes	
row_82	NDRG1	8981	-1.3053408861160278	-0.58628494	Yes	
row_83	AGTPBP1	8993	-1.3155162334442139	-0.5801028	Yes	
row_84	PLCXD2	9009	-1.3247284889221191	-0.5742551	Yes	
row_85	PDE2A	9054	-1.3554414510726929	-0.57103056	Yes	
row_86	ITGA4	9147	-1.453834056854248	-0.571886	Yes	
row_87	HCST	9159	-1.4695992469787598	-0.56485575	Yes	
row_88	NR1D2	9236	-1.5597542524337769	-0.5635876	Yes	
row_89	FOS	9298	-1.6166170835494995	-0.56056225	Yes	
row_90	ST7L	9316	-1.6344704627990723	-0.55320215	Yes	
row_91	PITPNC1	9467	-1.8239916563034058	-0.55760455	Yes	
row_92	IRS2	9533	-1.9209437370300293	-0.5532892	Yes	
row_93	YPEL5	9649	-2.123896837234497	-0.5526708	Yes	
row_94	ANKRA2	9676	-2.1724116802215576	-0.5432161	Yes	
row_95	GPR183	9688	-2.193458318710327	-0.5322014	Yes	
row_96	MYO1G	9824	-2.471473217010498	-0.53159547	Yes	
row_97	KLHL3	9874	-2.564859628677368	-0.5221951	Yes	
row_98	MYLIP	9881	-2.570596218109131	-0.508623	Yes	
row_99	CRIP1	9921	-2.6834542751312256	-0.497607	Yes	
row_100	MICAL1	9957	-2.793658494949341	-0.48559925	Yes	
row_101	RNF125	9965	-2.8050169944763184	-0.47083303	Yes	
row_102	SPTBN1	9971	-2.8436357975006104	-0.45566168	Yes	
row_103	SORL1	9979	-2.867133378982544	-0.44055358	Yes	
row_104	S100A10	9985	-2.8753576278686523	-0.4252076	Yes	
row_105	BIN2	10052	-3.0765321254730225	-0.41462758	Yes	
row_106	BIN1	10108	-3.280125379562378	-0.40186778	Yes	
row_107	RAP1GAP2	10165	-3.4953043460845947	-0.38801977	Yes	
row_108	AHNAK	10184	-3.6063437461853027	-0.3699018	Yes	
row_109	VIPR1	10189	-3.6275923252105713	-0.35031888	Yes	
row_110	SUSD1	10198	-3.672527551651001	-0.33087376	Yes	
row_111	TSPYL4	10232	-3.865652084350586	-0.31277266	Yes	
row_112	SERINC5	10254	-4.037425994873047	-0.29257065	Yes	
row_113	MAP4K4	10255	-4.0539021492004395	-0.27025598	Yes	
row_114	GABBR1	10326	-4.468960762023926	-0.2523965	Yes	
row_115	NFKBIZ	10377	-4.90183687210083	-0.23022856	Yes	
row_116	TXK	10378	-4.92585563659668	-0.20311424	Yes	
row_117	UTRN	10406	-5.2369890213012695	-0.17688693	Yes	
row_118	AQP3	10408	-5.245359420776367	-0.1481102	Yes	
row_119	SIGIRR	10439	-5.694833755493164	-0.11965155	Yes	
row_120	CAPN2	10458	-6.0774149894714355	-0.08793158	Yes	
row_121	SOCS3	10502	-8.08076000213623	-0.047591314	Yes	
row_122	SUSD3	10506	-8.73340129852295	1.9275105E-4	Yes	
