NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	B4GALT5	25	5.968021392822266	0.019291138	Yes	
row_1	CACYBP	41	5.609005451202393	0.03824338	Yes	
row_2	HSPD1	42	5.5952887535095215	0.05859626	Yes	
row_3	LYAR	70	4.969549179077148	0.07406205	Yes	
row_4	GBP2	79	4.838768482208252	0.09088947	Yes	
row_5	NLE1	98	4.633648872375488	0.10600374	Yes	
row_6	IL2RA	102	4.590158939361572	0.12241035	Yes	
row_7	CCT4	103	4.571254730224609	0.13903831	Yes	
row_8	MRPL17	118	4.477055549621582	0.15396978	Yes	
row_9	SLC7A1	120	4.465780258178711	0.17011736	Yes	
row_10	HOMER1	140	4.307103157043457	0.18394713	Yes	
row_11	POLR2H	169	4.124131202697754	0.19624099	Yes	
row_12	SNRPD3	196	3.9591190814971924	0.20812805	Yes	
row_13	TOMM5	202	3.9275851249694824	0.22193113	Yes	
row_14	CCT6A	207	3.906320571899414	0.23575358	Yes	
row_15	CCDC86	225	3.77258563041687	0.24783243	Yes	
row_16	UCK2	238	3.7200465202331543	0.2602037	Yes	
row_17	RANBP1	263	3.5571353435516357	0.27082193	Yes	
row_18	RUVBL2	278	3.501028060913086	0.28220308	Yes	
row_19	PSMG1	298	3.4283275604248047	0.2928363	Yes	
row_20	RUVBL1	329	3.3010473251342773	0.3019428	Yes	
row_21	WDR36	350	3.2375288009643555	0.31178528	Yes	
row_22	NUDCD1	352	3.2331490516662598	0.32344916	Yes	
row_23	CHAC2	362	3.2069711685180664	0.3342442	Yes	
row_24	UTP15	366	3.2008845806121826	0.34559733	Yes	
row_25	MRPL20	386	3.131471633911133	0.35515073	Yes	
row_26	PRMT1	387	3.128174066543579	0.36652946	Yes	
row_27	XPOT	389	3.1106975078582764	0.37774792	Yes	
row_28	GEMIN6	390	3.106204032897949	0.38904676	Yes	
row_29	TXNL4A	436	2.9675939083099365	0.39548978	Yes	
row_30	POLR2F	444	2.94885516166687	0.40553933	Yes	
row_31	SLC25A15	447	2.946988821029663	0.4160656	Yes	
row_32	ALG3	448	2.944918394088745	0.42677778	Yes	
row_33	ARMC6	467	2.913853883743286	0.43563628	Yes	
row_34	SEC11C	490	2.8496668338775635	0.4438745	Yes	
row_35	PGD	508	2.8189244270324707	0.4524844	Yes	
row_36	UTP18	567	2.6956472396850586	0.4566811	Yes	
row_37	MMACHC	593	2.6323752403259277	0.46383882	Yes	
row_38	NUP37	625	2.5497231483459473	0.47011566	Yes	
row_39	POLD2	702	2.421182155609131	0.47157332	Yes	
row_40	RRP7A	710	2.40057635307312	0.4796285	Yes	
row_41	PSMB2	721	2.369584560394287	0.48728088	Yes	
row_42	CMSS1	743	2.3404786586761475	0.4937636	Yes	
row_43	UCHL3	770	2.295365810394287	0.49959874	Yes	
row_44	PPP1R14B	844	2.202648401260376	0.5005516	Yes	
row_45	SCFD2	874	2.1655476093292236	0.5056244	Yes	
row_46	TRAP1	897	2.1300103664398193	0.5112449	Yes	
row_47	PAICS	965	2.0372884273529053	0.51217645	Yes	
row_48	SAMM50	971	2.025770425796509	0.5190617	Yes	
row_49	NANS	1067	1.8713842630386353	0.51668215	Yes	
row_50	PRADC1	1082	1.8556004762649536	0.52207804	Yes	
row_51	VDAC1	1117	1.8182207345962524	0.525404	Yes	
row_52	GNL2	1150	1.782841682434082	0.5287946	Yes	
row_53	LRRC59	1206	1.7220016717910767	0.52973974	Yes	
row_54	VBP1	1212	1.7156537771224976	0.5354969	Yes	
row_55	ADO	1233	1.6988766193389893	0.5397425	Yes	
row_56	PHLDA1	1236	1.691545844078064	0.54570216	Yes	
row_57	DDX10	1275	1.6539580821990967	0.5480437	Yes	
row_58	POLR3H	1292	1.6338191032409668	0.5524395	Yes	
row_59	EED	1297	1.6300023794174194	0.55798185	Yes	
row_60	TIMM13	1318	1.610130786895752	0.56190467	Yes	
row_61	PITPNB	1352	1.5828588008880615	0.5644711	Yes	
row_62	COA3	1359	1.575156569480896	0.56962055	Yes	
row_63	WDR3	1403	1.5380481481552124	0.57105696	Yes	
row_64	DNPH1	1413	1.5281356573104858	0.5757453	Yes	
