NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTA	6	7.378170490264893	0.024350997	Yes	
row_1	NOP16	15	6.486106872558594	0.04549429	Yes	
row_2	LAP3	16	6.480844020843506	0.06739334	Yes	
row_3	PNO1	31	5.830062389373779	0.085739665	Yes	
row_4	PPAN	35	5.748079776763916	0.1048726	Yes	
row_5	BCL2L11	50	5.4120917320251465	0.121806584	Yes	
row_6	IPO4	63	5.189187049865723	0.13818075	Yes	
row_7	METTL1	65	5.024819850921631	0.15506314	Yes	
row_8	TNFSF11	67	5.015333652496338	0.17191347	Yes	
row_9	GCSH	105	4.552402019500732	0.18371859	Yes	
row_10	NDUFAB1	109	4.53490686416626	0.19875216	Yes	
row_11	MRPL17	118	4.477055549621582	0.21310678	Yes	
row_12	SMYD5	129	4.412929058074951	0.22705133	Yes	
row_13	EIF4A1	149	4.282050132751465	0.23968339	Yes	
row_14	BYSL	156	4.244655609130859	0.2534461	Yes	
row_15	FAM162A	162	4.181758403778076	0.26709297	Yes	
row_16	PPRC1	163	4.174919605255127	0.28120023	Yes	
row_17	COPS7A	173	4.098850727081299	0.29418018	Yes	
row_18	MRPL45	178	4.0678253173828125	0.30753875	Yes	
row_19	TNFRSF4	180	4.043571949005127	0.32110548	Yes	
row_20	PABPC4	184	4.025240898132324	0.33441687	Yes	
row_21	AIMP2	205	3.913670778274536	0.34570745	Yes	
row_22	TIMM9	216	3.8439483642578125	0.35772938	Yes	
row_23	SRM	224	3.7798802852630615	0.36982492	Yes	
row_24	SLC19A1	252	3.652541399002075	0.3795563	Yes	
row_25	HK2	261	3.5615415573120117	0.39081734	Yes	
row_26	NME1	281	3.48171067237854	0.40074503	Yes	
row_27	RPL7L1	305	3.392265558242798	0.4099837	Yes	
row_28	MECR	310	3.37142276763916	0.42098913	Yes	
row_29	NIFK	345	3.253063917160034	0.4286938	Yes	
row_30	TMEM70	347	3.247598171234131	0.43957087	Yes	
row_31	DNMT3A	357	3.2205121517181396	0.44958287	Yes	
row_32	SDHAF1	403	3.067816734313965	0.45559797	Yes	
row_33	POLR1B	452	2.934499979019165	0.4608725	Yes	
row_34	TNFRSF1B	456	2.929502487182617	0.47048134	Yes	
row_35	BOP1	478	2.8917932510375977	0.47822228	Yes	
row_36	SLC5A6	484	2.8659682273864746	0.48742306	Yes	
row_37	NFKB2	503	2.830190658569336	0.4952459	Yes	
row_38	MRPL35	506	2.8266608715057373	0.5046039	Yes	
row_39	CD72	520	2.805400848388672	0.5128265	Yes	
row_40	SUPV3L1	528	2.790513277053833	0.5215789	Yes	
row_41	SURF2	538	2.7793314456939697	0.53010017	Yes	
row_42	SFXN1	554	2.73966383934021	0.5379072	Yes	
row_43	GART	588	2.6419854164123535	0.5436437	Yes	
row_44	ACAD9	595	2.6249969005584717	0.5519335	Yes	
