NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GBP2	79	4.838768482208252	0.012673031	No	
row_1	NCF1	83	4.803915977478027	0.03254139	No	
row_2	TXNDC15	1625	1.356279969215393	-0.11062752	No	
row_3	TBC1D8	1767	1.2507799863815308	-0.118999556	No	
row_4	TBRG1	1868	1.170906662940979	-0.12374618	No	
row_5	PDRG1	1928	1.1289219856262207	-0.124708384	No	
row_6	CASP4	1963	1.1040233373641968	-0.123360075	No	
row_7	SAYSD1	2145	0.9870566725730896	-0.13670275	No	
row_8	TMEM230	2216	0.9464200735092163	-0.13949336	No	
row_9	SUGT1	2351	0.8720844388008118	-0.14877827	No	
row_10	TMCO4	2390	0.8570546507835388	-0.1488527	No	
row_11	CPNE3	2462	0.8232936859130859	-0.15225658	No	
row_12	LAPTM4B	2533	0.7859350442886353	-0.15572062	No	
row_13	FAM50A	2593	0.7598027586936951	-0.15823172	No	
row_14	PHF21A	2882	0.6350165009498596	-0.18338779	No	
row_15	NFKBIE	3023	0.5882351398468018	-0.19444339	No	
row_16	LY6E	3148	0.5450490117073059	-0.20413463	No	
row_17	MSI2	3157	0.5399157404899597	-0.20264183	No	
row_18	ZYX	3231	0.5163856744766235	-0.20752676	No	
row_19	FILIP1L	3428	0.45316004753112793	-0.22455874	No	
row_20	RGS2	3559	0.4117419123649597	-0.23538895	No	
row_21	GRAMD1B	3572	0.4061969816684723	-0.23484367	No	
row_22	ERMP1	3605	0.39724278450012207	-0.23626795	No	
row_23	TRIO	3710	0.3670180141925812	-0.24477424	No	
row_24	P2RX4	3788	0.3455916941165924	-0.25076225	No	
row_25	F2R	3823	0.3365781009197235	-0.2526343	No	
row_26	PARP8	3976	0.2969229221343994	-0.2660715	No	
row_27	PAK1	4120	0.2590981721878052	-0.278798	No	
row_28	TXLNG	4464	0.17679943144321442	-0.31118983	No	
row_29	NR4A1	4486	0.17197582125663757	-0.31249678	No	
row_30	COG2	4549	0.1545669436454773	-0.3178374	No	
row_31	CRIM1	4730	0.11745822429656982	-0.33473244	No	
row_32	DCXR	4760	0.11291561275720596	-0.33706	No	
row_33	TM6SF1	4885	0.09050152450799942	-0.34865862	No	
row_34	BAG1	4933	0.08291058987379074	-0.35285088	No	
row_35	ASXL2	4982	0.07317236810922623	-0.35718063	No	
row_36	OTUD1	5320	0.015748772770166397	-0.38966864	No	
row_37	AAMDC	5347	0.010677168145775795	-0.39213544	No	
row_38	CYHR1	5388	0.0031515760347247124	-0.3959862	No	
row_39	AR	5447	-0.007201645988970995	-0.40155876	No	
row_40	WSB2	5464	-0.01022957544773817	-0.40306142	No	
row_41	MARK3	5589	-0.030097130686044693	-0.4149135	No	
row_42	EIF2B2	5608	-0.03361482545733452	-0.41651124	No	
row_43	PKD1	5882	-0.07730017602443695	-0.4425586	No	
row_44	CCDC93	6063	-0.10814610123634338	-0.4594927	No	
row_45	TAF10	6089	-0.1131172627210617	-0.46143305	No	
row_46	PLCL2	6153	-0.12454793602228165	-0.4669962	No	
row_47	NRIP1	6241	-0.14331868290901184	-0.47479898	No	
row_48	TRIM39	6275	-0.1487649530172348	-0.47736254	No	
row_49	ZBTB18	6335	-0.16139419376850128	-0.48238468	No	
row_50	IAH1	6375	-0.17122028768062592	-0.48543358	No	
row_51	STIM2	6543	-0.2099035680294037	-0.5006849	No	
row_52	ARRDC3	6702	-0.2501319944858551	-0.51489806	No	
row_53	CLCN7	6778	-0.2682013511657715	-0.5210176	No	
row_54	NDUFB11	6787	-0.269718736410141	-0.5206587	No	
row_55	RNPEPL1	6998	-0.3292856514453888	-0.5395628	No	
row_56	SDF4	7015	-0.33366379141807556	-0.5397083	No	
row_57	SLA2	7091	-0.3545839488506317	-0.5454654	No	
row_58	RUNDC1	7226	-0.3911796510219574	-0.5567683	No	
row_59	CC2D1A	7300	-0.4181500971317291	-0.5620654	No	
row_60	TXNDC12	7302	-0.4186907112598419	-0.56040514	No	
row_61	MED15	7453	-0.46996185183525085	-0.572923	No	
row_62	PEAK1	7481	-0.48409736156463623	-0.57349986	No	
row_63	FBXW4	7550	-0.5113632082939148	-0.5779228	No	
row_64	ARHGEF4	7688	-0.5665665864944458	-0.58877957	No	
row_65	SCYL3	7715	-0.575801432132721	-0.588875	No	
row_66	TAF1C	7741	-0.5886386036872864	-0.5888199	No	
row_67	GPR171	7782	-0.6057239770889282	-0.5901422	No	
row_68	CCDC12	7818	-0.6181304454803467	-0.5909294	No	
row_69	EPS8L1	7834	-0.6246768236160278	-0.58975714	No	
row_70	CNR2	7835	-0.6254152059555054	-0.58713275	No	
row_71	FOXO4	7884	-0.6469696760177612	-0.5890547	No	
row_72	TRIM14	7905	-0.6553353071212769	-0.5882368	No	
row_73	ZFYVE1	8012	-0.6983933448791504	-0.59554577	No	
row_74	UPF3A	8054	-0.7155680060386658	-0.59650373	No	
row_75	IFI35	8150	-0.7647684812545776	-0.6024716	No	
row_76	SSH1	8166	-0.7689342498779297	-0.60069394	No	
row_77	EAPP	8185	-0.7788662910461426	-0.5991645	No	
row_78	MFAP3	8318	-0.8502005338668823	-0.608348	Yes	
row_79	GMIP	8338	-0.8604612946510315	-0.60657275	Yes	
row_80	ZFYVE27	8347	-0.8655381798744202	-0.6037136	Yes	
row_81	CYB561A3	8372	-0.8858936429023743	-0.6023146	Yes	
row_82	KATNB1	8397	-0.9109020829200745	-0.6008107	Yes	
row_83	DTX2	8428	-0.9316876530647278	-0.59979916	Yes	
row_84	MEF2D	8444	-0.9391019940376282	-0.5973075	Yes	
row_85	CDIPT	8526	-0.9840806722640991	-0.60100263	Yes	
row_86	PPIB	8555	-1.0055898427963257	-0.5994878	Yes	
row_87	CERK	8588	-1.020688772201538	-0.598296	Yes	
row_88	GALT	8621	-1.0429599285125732	-0.59701073	Yes	
row_89	FBXL12	8627	-1.0462907552719116	-0.5931033	Yes	
