NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CISH	8	7.22438907623291	0.01850209	Yes	
row_1	GNL3	21	6.126562595367432	0.03368831	Yes	
row_2	RPF2	22	6.088015079498291	0.049931888	Yes	
row_3	LARP1	26	5.96330451965332	0.06555267	Yes	
row_4	PNO1	31	5.830062389373779	0.08072126	Yes	
row_5	C1QBP	32	5.812370300292969	0.09622938	Yes	
row_6	HSPD1	42	5.5952887535095215	0.11028814	Yes	
row_7	WDR43	54	5.387223243713379	0.123598404	Yes	
row_8	MAT2A	62	5.25180196762085	0.13693407	Yes	
row_9	MRTO4	74	4.910591125488281	0.14897262	Yes	
row_10	NOP2	91	4.713138580322266	0.1600009	Yes	
row_11	WDR74	101	4.591402530670166	0.17138119	Yes	
row_12	IL2RA	102	4.590158939361572	0.18362829	Yes	
row_13	PHB	113	4.494336128234863	0.1946529	Yes	
row_14	SLC7A1	120	4.465780258178711	0.20598805	Yes	
row_15	PUS7	126	4.427617073059082	0.21731806	Yes	
row_16	HSP90AB1	138	4.3175764083862305	0.22777437	Yes	
row_17	NOLC1	141	4.301348686218262	0.23905753	Yes	
row_18	SLC7A5	147	4.288360118865967	0.25001597	Yes	
row_19	BYSL	156	4.244655609130859	0.26056778	Yes	
row_20	GPATCH4	157	4.244081020355225	0.2718915	Yes	
row_21	PPRC1	163	4.174919605255127	0.2825473	Yes	
row_22	CCT3	166	4.142268180847168	0.293406	Yes	
row_23	POLR1C	175	4.08437442779541	0.30353016	Yes	
row_24	REXO2	190	3.9929111003875732	0.31283015	Yes	
row_25	DCTD	200	3.9393889904022217	0.32247078	Yes	
row_26	GTPBP4	213	3.8796870708465576	0.33166206	Yes	
row_27	MRPS25	223	3.7808709144592285	0.34087974	Yes	
row_28	SRM	224	3.7798802852630615	0.35096493	Yes	
row_29	RANBP1	263	3.5571353435516357	0.3567818	Yes	
row_30	G3BP1	295	3.441646099090576	0.36296737	Yes	
row_31	NAA15	306	3.3886873722076416	0.37104195	Yes	
row_32	PFAS	307	3.385099411010742	0.38007382	Yes	
row_33	SEH1L	320	3.3410847187042236	0.38782805	Yes	
row_34	RUVBL1	329	3.3010473251342773	0.39586216	Yes	
row_35	NIFK	345	3.253063917160034	0.4030915	Yes	
row_36	NUDCD1	352	3.2331490516662598	0.41113782	Yes	
row_37	NAA25	360	3.2097957134246826	0.41902518	Yes	
row_38	IMPDH2	381	3.1444082260131836	0.42548117	Yes	
row_39	FARSB	405	3.064000129699707	0.43143257	Yes	
row_40	POLR1B	452	2.934499979019165	0.43481472	Yes	
row_41	DDX21	460	2.9268064498901367	0.441947	Yes	
row_42	POLR1A	471	2.9052910804748535	0.44873187	Yes	
row_43	POLR3D	485	2.8637447357177734	0.4551158	Yes	
row_44	CDK4	505	2.8296611309051514	0.4608287	Yes	
row_45	ATIC	530	2.7891526222229004	0.46595007	Yes	
row_46	CAD	560	2.7120721340179443	0.4703824	Yes	
row_47	UTP20	572	2.6815292835235596	0.47647354	Yes	
row_48	TSEN2	576	2.6739089488983154	0.4833178	Yes	
row_49	TRMT1	602	2.619614839553833	0.48789015	Yes	
row_50	NOC3L	626	2.549391984939575	0.49246854	Yes	
row_51	NOL10	628	2.5458381175994873	0.49916446	Yes	
row_52	POLD2	702	2.421182155609131	0.49856654	Yes	
row_53	MDN1	718	2.3808038234710693	0.5034686	Yes	
row_54	CMSS1	743	2.3404786586761475	0.5073928	Yes	
row_55	UBE3C	786	2.2724812030792236	0.5093954	Yes	
row_56	STAMBPL1	819	2.2355799674987793	0.51226634	Yes	
row_57	SP110	822	2.2316274642944336	0.5180272	Yes	
row_58	PIM2	829	2.222820520401001	0.52337784	Yes	
row_59	SRPRB	873	2.1657469272613525	0.52499896	Yes	
row_60	SCFD2	874	2.1655476093292236	0.5307769	Yes	
row_61	TRAP1	897	2.1300103664398193	0.534333	Yes	
row_62	KAT2A	928	2.095154285430908	0.5370226	Yes	
row_63	ALDH18A1	932	2.0833988189697266	0.5422913	Yes	
row_64	PAICS	965	2.0372884273529053	0.54463315	Yes	
row_65	CLUAP1	987	2.00394606590271	0.5479496	Yes	
row_66	HEATR1	1071	1.8687711954116821	0.54491097	Yes	
row_67	EIF3B	1080	1.85782790184021	0.5490944	Yes	
row_68	RRS1	1087	1.8490773439407349	0.55344784	Yes	
row_69	RRP12	1091	1.8441919088363647	0.55807835	Yes	
row_70	LRRC58	1102	1.8288596868515015	0.5619911	Yes	
row_71	CCT2	1144	1.7901852130889893	0.5628035	Yes	
row_72	GNL2	1150	1.782841682434082	0.5670769	Yes	
row_73	IPO5	1152	1.7818317413330078	0.5717344	Yes	
row_74	MYC	1183	1.7480862140655518	0.573498	Yes	
row_75	EIF4G1	1271	1.6568982601165771	0.5695073	Yes	
