NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PFDN2	244	3.683461904525757	-0.0102456035	No	
row_1	BTF3	396	3.0884110927581787	-0.013646463	No	
row_2	PRPF39	708	2.4110889434814453	-0.0350052	No	
row_3	RPL23	858	2.1888885498046875	-0.041481383	No	
row_4	ANXA6	868	2.1735904216766357	-0.03445384	No	
row_5	HUWE1	869	2.1705210208892822	-0.026565777	No	
row_6	UBE2G1	880	2.1582391262054443	-0.019690873	No	
row_7	RPL11	939	2.074333667755127	-0.017769808	No	
row_8	CCND3	982	2.0100550651550293	-0.014532706	No	
row_9	HSP90B1	1207	1.7213530540466309	-0.029971916	No	
row_10	ALKBH6	1414	1.5271656513214111	-0.044373497	No	
row_11	RUNX3	1545	1.4160182476043701	-0.051818233	No	
row_12	HNRNPL	2024	1.0594723224639893	-0.09426332	No	
row_13	SDHC	2236	0.9305727481842041	-0.11131729	No	
row_14	SSU72	2285	0.9026705622673035	-0.11268573	No	
row_15	TECR	2288	0.9008651375770569	-0.109605536	No	
row_16	AAMP	2398	0.8546051979064941	-0.117056645	No	
row_17	N4BP2L2	2458	0.8259408473968506	-0.11976932	No	
row_18	ABCG1	2749	0.6923328638076782	-0.14534043	No	
row_19	SMURF1	2781	0.6805956959724426	-0.14586943	No	
row_20	RBM25	2919	0.6214469075202942	-0.15687975	No	
row_21	COX20	2972	0.6045542359352112	-0.15971902	No	
row_22	NSA2	2974	0.6040183305740356	-0.15762076	No	
row_23	SEC61G	2985	0.6014508008956909	-0.1564035	No	
row_24	NFKBIE	3023	0.5882351398468018	-0.15784928	No	
row_25	ARFGEF1	3042	0.5808786153793335	-0.15748161	No	
row_26	INO80D	3069	0.5726697444915771	-0.15791859	No	
row_27	NDUFA6	3102	0.5593410730361938	-0.15898511	No	
row_28	SEC22B	3274	0.4997466206550598	-0.17373069	No	
row_29	ASCC1	3329	0.4814669191837311	-0.17721097	No	
row_30	TMEM184C	3388	0.46573591232299805	-0.18113585	No	
row_31	RPS27	3409	0.458025187253952	-0.18140835	No	
row_32	TPT1	3462	0.4408949315547943	-0.18484238	No	
row_33	P4HTM	3579	0.40441304445266724	-0.19460753	No	
row_34	YME1L1	3844	0.3323182463645935	-0.21896884	No	
row_35	RPS29	3927	0.31025052070617676	-0.22578321	No	
row_36	DNAAF5	3940	0.30688849091529846	-0.22583015	No	
row_37	ABHD17B	4032	0.28062117099761963	-0.23362389	No	
row_38	DNPEP	4237	0.22953179478645325	-0.2525476	No	
row_39	TTC14	4266	0.22271637618541718	-0.25445008	No	
row_40	MEX3D	4351	0.20717698335647583	-0.26183274	No	
row_41	EAF1	4511	0.16756941378116608	-0.27662328	No	
row_42	RAB6A	4515	0.1662958264350891	-0.2763095	No	
row_43	SNAPC1	4539	0.15681035816669464	-0.2779672	No	
row_44	RSF1	4581	0.14735279977321625	-0.28140265	No	
row_45	YWHAZ	4583	0.1472005546092987	-0.28096455	No	
row_46	LMO4	4585	0.1465422362089157	-0.28052884	No	
row_47	RAP1A	4601	0.14422018826007843	-0.2814575	No	
row_48	TSPYL2	4610	0.14291603863239288	-0.28171295	No	
row_49	UBE2S	4751	0.1142919585108757	-0.2948569	No	
row_50	CNTRL	4777	0.10978154838085175	-0.29687926	No	
row_51	RCSD1	4779	0.10955749452114105	-0.29657796	No	
row_52	DONSON	4864	0.09404048323631287	-0.3043718	No	
row_53	KRCC1	4980	0.07329541444778442	-0.31524342	No	
row_54	MBNL1	5171	0.040003933012485504	-0.3335	No	
row_55	SMDT1	5213	0.03262333944439888	-0.33735237	No	
row_56	SIPA1	5231	0.030425917357206345	-0.3388883	No	
row_57	TRRAP	5236	0.030135363340377808	-0.3391662	No	
row_58	YIPF4	5391	0.002080800011754036	-0.35407388	No	
row_59	KAT8	5429	-0.004870596807450056	-0.3576397	No	
row_60	AAK1	5457	-0.008900073356926441	-0.36022237	No	
row_61	RNF220	5597	-0.03158842772245407	-0.37357005	No	
row_62	RMND5A	5692	-0.045471105724573135	-0.3825089	No	
row_63	SMC4	5694	-0.04555817320942879	-0.3824402	No	
row_64	PSD4	5716	-0.04962066188454628	-0.38429376	No	
row_65	EIF3K	5810	-0.06567170470952988	-0.39306238	No	
row_66	BBS4	5815	-0.0660819485783577	-0.39320964	No	
row_67	NADSYN1	5873	-0.07491543143987656	-0.39845794	No	
row_68	SLC37A1	5928	-0.08459708094596863	-0.40338054	No	
row_69	PITPNA	6106	-0.11566407978534698	-0.42010304	No	
row_70	HERPUD2	6178	-0.12886112928390503	-0.42651126	No	
row_71	ACTR3	6399	-0.17881521582603455	-0.44716892	No	
row_72	NCK1	6565	-0.21319305896759033	-0.46237478	No	
row_73	NR2C2AP	6638	-0.23244810104370117	-0.4685034	No	
row_74	ACSS2	6666	-0.24114827811717987	-0.47024202	No	
row_75	MTHFS	6682	-0.24627086520195007	-0.4707998	No	
row_76	MTA2	6729	-0.25671443343162537	-0.47432205	No	
row_77	MED13	6823	-0.2803061902523041	-0.48231065	No	
row_78	IL2RG	6831	-0.2824488878250122	-0.48196214	No	
row_79	DPP4	6840	-0.2846488952636719	-0.4817025	No	
row_80	MLX	6843	-0.2858212888240814	-0.48085746	No	
row_81	MTFR1L	6871	-0.2925901412963867	-0.48240915	No	
row_82	INPP5D	6913	-0.30452775955200195	-0.4852734	No	
row_83	KDM3B	7112	-0.3618720471858978	-0.503135	No	
row_84	GPD1L	7118	-0.36326292157173157	-0.50229913	No	
row_85	LAMTOR4	7386	-0.4463101625442505	-0.52653676	No	
row_86	UBE2D1	7474	-0.48130252957344055	-0.53321373	No	
row_87	STAG2	7482	-0.4851101338863373	-0.53212875	No	
row_88	DAPK3	7560	-0.513788640499115	-0.5377192	No	
row_89	UBL7	7587	-0.5239711403846741	-0.5383331	No	
row_90	ITGAL	7652	-0.5520721673965454	-0.54252535	No	
row_91	SPG21	7664	-0.5547410249710083	-0.54157466	No	
row_92	PARP4	7793	-0.6085191965103149	-0.5517603	No	
row_93	DGKZ	7913	-0.65704345703125	-0.56089795	No	
row_94	RBM3	7935	-0.6691358089447021	-0.5605001	No	
row_95	ROCK1	7964	-0.6789587140083313	-0.56074446	No	
row_96	PSENEN	7980	-0.6857296824455261	-0.5597052	No	
row_97	CBL	8029	-0.7041577100753784	-0.56179506	No	
row_98	IFT80	8199	-0.7877734899520874	-0.5753002	No	
row_99	SAT1	8203	-0.792125403881073	-0.572712	No	
row_100	STK26	8227	-0.8047160506248474	-0.57201517	No	
row_101	TMOD3	8233	-0.8096892833709717	-0.56955683	No	
row_102	FBXO38	8263	-0.8238296508789062	-0.56937164	No	
row_103	GSE1	8406	-0.9172617793083191	-0.5797912	No	
row_104	CD3G	8425	-0.9289950728416443	-0.5781584	No	
row_105	PI4KB	8473	-0.9534448385238647	-0.57924545	No	
row_106	ARHGAP18	8553	-1.0036951303482056	-0.58324915	No	
row_107	ATP1B3	8709	-1.0945366621017456	-0.5942835	No	
row_108	LCK	8866	-1.2135862112045288	-0.6049821	No	
row_109	DNAJB13	8934	-1.2603670358657837	-0.6068908	Yes	
row_110	COMMD8	8970	-1.2910709381103516	-0.6055887	Yes	
row_111	MSN	9004	-1.3229252099990845	-0.603977	Yes	
row_112	SMPD5	9019	-1.3304839134216309	-0.6004977	Yes	
row_113	MTSS1	9067	-1.376533031463623	-0.60004723	Yes	
row_114	KLHL28	9074	-1.3841321468353271	-0.59559816	Yes	
row_115	TAPT1	9076	-1.3857139348983765	-0.5906591	Yes	
row_116	PPP2R5A	9085	-1.3921892642974854	-0.58637446	Yes	
row_117	RABGGTA	9122	-1.432963252067566	-0.5846535	Yes	
row_118	SKIV2L	9130	-1.4359502792358398	-0.58011293	Yes	
row_119	DNAJA4	9176	-1.4933487176895142	-0.5790442	Yes	
row_120	LBR	9225	-1.5492476224899292	-0.5780629	Yes	
row_121	TRIM23	9232	-1.5568431615829468	-0.5729861	Yes	
row_122	TK2	9243	-1.5662506818771362	-0.56826264	Yes	
row_123	NPRL2	9261	-1.5820003747940063	-0.56415987	Yes	
row_124	ZDHHC20	9272	-1.5873801708221436	-0.55935955	Yes	
row_125	ITGB2	9274	-1.5902782678604126	-0.553677	Yes	
