NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NIP7	34	5.753580570220947	0.018570347	Yes	
row_1	EEF1E1	48	5.450740337371826	0.038019143	Yes	
row_2	MRTO4	74	4.910591125488281	0.054256864	Yes	
row_3	PHB2	80	4.829602241516113	0.07211913	Yes	
row_4	MTAP	85	4.789093971252441	0.089924134	Yes	
row_5	NOP2	91	4.713138580322266	0.10734401	Yes	
row_6	CCT4	103	4.571254730224609	0.12364528	Yes	
row_7	GCSH	105	4.552402019500732	0.14084104	Yes	
row_8	DKC1	112	4.5052490234375	0.15737464	Yes	
row_9	SLC7A1	120	4.465780258178711	0.1736617	Yes	
row_10	RRP9	130	4.393106460571289	0.18947949	Yes	
row_11	PTGES3	131	4.389127731323242	0.20615165	Yes	
row_12	SLC7A5	147	4.288360118865967	0.22099191	Yes	
row_13	EIF3G	151	4.25984525680542	0.23688316	Yes	
row_14	CFDP1	192	3.9861996173858643	0.24816044	Yes	
row_15	AATF	193	3.981710910797119	0.263285	Yes	
row_16	PSMG2	211	3.8847663402557373	0.27639902	Yes	
row_17	RSL24D1	212	3.884611129760742	0.29115474	Yes	
row_18	RRP15	247	3.667435646057129	0.30180085	Yes	
row_19	PA2G4	254	3.623271942138672	0.31498423	Yes	
row_20	RANBP1	263	3.5571353435516357	0.3277232	Yes	
row_21	MPHOSPH10	269	3.5360121726989746	0.34067175	Yes	
row_22	RPP14	270	3.5332984924316406	0.35409302	Yes	
row_23	CCT8	276	3.504429817199707	0.3669216	Yes	
row_24	MPHOSPH6	322	3.335570812225342	0.3752444	Yes	
row_25	RUVBL1	329	3.3010473251342773	0.38720384	Yes	
row_26	EXOSC7	344	3.2569289207458496	0.3982228	Yes	
row_27	GEMIN6	390	3.106204032897949	0.40567434	Yes	
row_28	WLS	411	3.0436925888061523	0.41530368	Yes	
row_29	TCP1	425	3.0090830326080322	0.4254778	Yes	
row_30	WDR46	514	2.8123579025268555	0.42765898	Yes	
row_31	CAD	560	2.7120721340179443	0.43361342	Yes	
row_32	UTP18	567	2.6956472396850586	0.44327322	Yes	
row_33	MYO1E	581	2.665360689163208	0.4521417	Yes	
row_34	NUP37	625	2.5497231483459473	0.4576727	Yes	
row_35	NAT10	637	2.530890464782715	0.4662236	Yes	
row_36	MYO19	679	2.4528887271881104	0.47157997	Yes	
row_37	POLD2	702	2.421182155609131	0.47865146	Yes	
row_38	WDR55	709	2.4100301265716553	0.48722634	Yes	
row_39	MAGOH	717	2.381319761276245	0.49559554	Yes	
row_40	NAP1L1	725	2.3648576736450195	0.50390226	Yes	
row_41	HERPUD1	817	2.2387709617614746	0.50361484	Yes	
row_42	HNRNPA3	910	2.115518093109131	0.5027626	Yes	
row_43	DPY30	917	2.110111713409424	0.51019824	Yes	
row_44	SLC16A1	961	2.042922258377075	0.51380414	Yes	
row_45	FYTTD1	968	2.034011125564575	0.5209507	Yes	
row_46	SAMM50	971	2.025770425796509	0.5284524	Yes	
row_47	ORC6	981	2.0106232166290283	0.53522027	Yes	
row_48	SMN1	1014	1.9678218364715576	0.5396036	Yes	
row_49	TSFM	1046	1.9171292781829834	0.54389095	Yes	
row_50	P4HB	1083	1.854249358177185	0.54745644	Yes	
row_51	RRS1	1087	1.8490773439407349	0.55419034	Yes	
row_52	HELLS	1145	1.7875621318817139	0.5554737	Yes	
row_53	MLH1	1181	1.748903751373291	0.5587356	Yes	
row_54	TIPIN	1229	1.7008109092712402	0.56065553	Yes	
row_55	PHLDA1	1236	1.691545844078064	0.56650126	Yes	
row_56	FUT4	1284	1.6435365676879883	0.5682036	Yes	
row_57	CDC25A	1333	1.5965558290481567	0.5696309	Yes	
row_58	OAT	1338	1.5912688970565796	0.57528895	Yes	
row_59	MRPL50	1343	1.5899300575256348	0.5809419	Yes	
row_60	PITPNB	1352	1.5828588008880615	0.5861815	Yes	
row_61	IRF4	1416	1.5249395370483398	0.5858877	Yes	
row_62	NDUFAF2	1426	1.5161062479019165	0.59077716	Yes	
row_63	SRSF9	1445	1.4983713626861572	0.5947298	Yes	
row_64	NDUFV2	1602	1.3719242811203003	0.58487004	No	
row_65	RAD17	1669	1.3234262466430664	0.5835209	No	
row_66	HINT1	1725	1.2823779582977295	0.5830785	No	
row_67	HAUS3	1734	1.2751412391662598	0.58714926	No	
row_68	LSM6	1765	1.2536792755126953	0.58901316	No	
