NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFSF11	67	5.015333652496338	0.009903704	No	
row_1	JADE2	272	3.5159757137298584	0.0016379342	No	
row_2	TMEM154	280	3.495537757873535	0.012385266	No	
row_3	RGS3	339	3.2832818031311035	0.017499363	No	
row_4	CXCR3	379	3.1531972885131836	0.024028467	No	
row_5	FAM111A	423	3.010160446166992	0.029702641	No	
row_6	GATA3	630	2.541857957839966	0.018059226	No	
row_7	HERPUD1	817	2.2387709617614746	0.007362206	No	
row_8	PHLDA1	1236	1.691545844078064	-0.027593175	No	
row_9	ANGPTL4	1398	1.5442438125610352	-0.038138974	No	
row_10	CREB1	1453	1.492548942565918	-0.03849055	No	
row_11	WDR12	1485	1.4665417671203613	-0.036699522	No	
row_12	EIF4A2	1503	1.453824758529663	-0.03359413	No	
row_13	SOX4	1538	1.4218405485153198	-0.03223977	No	
row_14	GRAP	1643	1.3400813341140747	-0.037932303	No	
row_15	SAP30	1678	1.314574122428894	-0.036928546	No	
row_16	PADI2	1692	1.3074690103530884	-0.03391411	No	
row_17	HAUS3	1734	1.2751412391662598	-0.033717208	No	
row_18	DUSP2	1776	1.2447173595428467	-0.033619747	No	
row_19	MSL1	2042	1.0476993322372437	-0.055861164	No	
row_20	FAM53B	2138	0.988926112651825	-0.06182979	No	
row_21	IL12RB1	2329	0.8821876049041748	-0.07734826	No	
row_22	HEMGN	2913	0.6232326626777649	-0.1317761	No	
row_23	ID3	3066	0.5741572976112366	-0.14462098	No	
row_24	TRAF5	3135	0.5507460236549377	-0.1494068	No	
row_25	DNAJB4	3149	0.5446807146072388	-0.14888558	No	
row_26	TOB1	3287	0.4954148232936859	-0.16053507	No	
row_27	MEN1	3393	0.4632197916507721	-0.16919051	No	
row_28	FILIP1L	3428	0.45316004753112793	-0.17100231	No	
row_29	RHOF	3518	0.42339837551116943	-0.17823827	No	
row_30	RGS2	3559	0.4117419123649597	-0.18076657	No	
