NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CISH	8	7.22438907623291	0.026296867	Yes	
row_1	HSPE1	29	5.861594200134277	0.04632577	Yes	
row_2	CACYBP	41	5.609005451202393	0.066279165	Yes	
row_3	EEF1E1	48	5.450740337371826	0.08612341	Yes	
row_4	EIF2S2	60	5.300622940063477	0.104921244	Yes	
row_5	NDUFAB1	109	4.53490686416626	0.11726905	Yes	
row_6	MRPL15	128	4.421436786651611	0.13209498	Yes	
row_7	NOLC1	141	4.301348686218262	0.14705157	Yes	
row_8	DDX18	170	4.116891384124756	0.15976854	Yes	
row_9	TBRG4	174	4.0942583084106445	0.17482013	Yes	
row_10	CCT6A	207	3.906320571899414	0.18636094	Yes	
row_11	CCDC86	225	3.77258563041687	0.19885229	Yes	
row_12	FASTKD3	229	3.7586262226104736	0.2126462	Yes	
row_13	TFRC	256	3.5780036449432373	0.22353742	Yes	
row_14	RANBP1	263	3.5571353435516357	0.23628597	Yes	
row_15	CCT8	276	3.504429817199707	0.24825637	Yes	
row_16	UMPS	285	3.4682865142822266	0.26047844	Yes	
row_17	SLCO4A1	297	3.429145574569702	0.27226353	Yes	
row_18	WDR18	304	3.395955801010132	0.28440812	Yes	
row_19	ENOPH1	313	3.363833427429199	0.29623878	Yes	
row_20	CLUH	324	3.322787046432495	0.3077221	Yes	
row_21	EIF2S1	356	3.221670627593994	0.3167942	Yes	
row_22	MTCH2	367	3.1837363243103027	0.32775643	Yes	
row_23	IMPDH2	381	3.1444082260131836	0.33828098	Yes	
row_24	XPOT	389	3.1106975078582764	0.34925988	Yes	
row_25	HIGD1A	400	3.0736019611358643	0.35980946	Yes	
row_26	SHMT2	458	2.9282169342041016	0.3652657	Yes	
row_27	CCT7	472	2.9042680263519287	0.37489042	Yes	
row_28	RAN	494	2.8468964099884033	0.38352594	Yes	
row_29	MTHFD1	527	2.79106068611145	0.39088765	Yes	
row_30	MRPL19	540	2.7763102054595947	0.40012968	Yes	
row_31	PSMA3	546	2.765972852706909	0.41001037	Yes	
row_32	EIF2B3	551	2.750967025756836	0.41993162	Yes	
row_33	SFXN1	554	2.73966383934021	0.4300041	Yes	
row_34	SAC3D1	596	2.6246695518493652	0.43587133	Yes	
row_35	STRAP	620	2.560087203979492	0.44323856	Yes	
row_36	TMEM33	624	2.5500214099884033	0.45250362	Yes	
row_37	TMEM147	643	2.5165061950683594	0.46019143	Yes	
row_38	GTF2H1	663	2.4859423637390137	0.46766794	Yes	
row_39	PSMD11	672	2.468003273010254	0.47614175	Yes	
row_40	MYCBP	711	2.3959717750549316	0.48144236	Yes	
row_41	POLR3K	767	2.299379348754883	0.4847358	Yes	
row_42	UCHL3	770	2.295365810394287	0.49314338	Yes	
row_43	AHSA1	801	2.256523370742798	0.49869567	Yes	
row_44	GTPBP8	809	2.2467544078826904	0.50643724	Yes	
row_45	RTCB	831	2.2194719314575195	0.51272166	Yes	
row_46	STOML2	889	2.13523268699646	0.51520646	Yes	
row_47	PLAGL2	919	2.1075215339660645	0.52029717	Yes	
row_48	HMBS	944	2.0696840286254883	0.52573	Yes	
