NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTA	6	7.378170490264893	0.025436934	Yes	
row_1	CISH	8	7.22438907623291	0.050815795	Yes	
row_2	HSPD1	42	5.5952887535095215	0.06735091	Yes	
row_3	EEF1E1	48	5.450740337371826	0.0860879	Yes	
row_4	BCL2L1	51	5.405547618865967	0.10495605	Yes	
row_5	CD226	57	5.338651657104492	0.12329777	Yes	
row_6	MAT2A	62	5.25180196762085	0.14143008	Yes	
row_7	MRPL17	118	4.477055549621582	0.15189137	Yes	
row_8	SLC7A1	120	4.465780258178711	0.16754243	Yes	
row_9	MRPL15	128	4.421436786651611	0.18245605	Yes	
row_10	MRPS7	150	4.276183605194092	0.19550166	Yes	
row_11	POLR2H	169	4.124131202697754	0.20830159	Yes	
row_12	PPAT	176	4.081175804138184	0.22211218	Yes	
row_13	MRPS35	194	3.9668338298797607	0.23445429	Yes	
row_14	CCT6A	207	3.906320571899414	0.24706721	Yes	
row_15	CCT5	233	3.7453911304473877	0.2578537	Yes	
row_16	PA2G4	254	3.623271942138672	0.26869375	Yes	
row_17	UGDH	262	3.5615103244781494	0.28057498	Yes	
row_18	RANBP1	263	3.5571353435516357	0.29311866	Yes	
row_19	CCT8	276	3.504429817199707	0.30431437	Yes	
row_20	NME1	281	3.48171067237854	0.31620473	Yes	
row_21	PRDX3	287	3.4644837379455566	0.32793748	Yes	
row_22	SLCO4A1	297	3.429145574569702	0.33915827	Yes	
row_23	ENOPH1	313	3.363833427429199	0.34956765	Yes	
row_24	EIF2S1	356	3.221670627593994	0.356861	Yes	
row_25	USP14	363	3.2059450149536133	0.3675852	Yes	
row_26	MTCH2	367	3.1837363243103027	0.37852165	Yes	
row_27	XPOT	389	3.1106975078582764	0.38745734	Yes	
row_28	PSMB6	407	3.059798002243042	0.39660093	Yes	
row_29	TCP1	425	3.0090830326080322	0.40556565	Yes	
row_30	EBNA1BP2	428	3.00347900390625	0.4159633	Yes	
row_31	MRPL39	443	2.9550678730010986	0.4250281	Yes	
row_32	SHMT2	458	2.9282169342041016	0.4339982	Yes	
row_33	CCT7	472	2.9042680263519287	0.44298068	Yes	
row_34	CPD	479	2.8889482021331787	0.45258707	Yes	
row_35	RAN	494	2.8468964099884033	0.46127042	Yes	
row_36	CDK4	505	2.8296611309051514	0.47028035	Yes	
row_37	MRPL35	506	2.8266608715057373	0.48024812	Yes	
row_38	MTHFD1	527	2.79106068611145	0.48815352	Yes	
row_39	SFXN1	554	2.73966383934021	0.49529663	Yes	
row_40	MRPS15	568	2.693054676055908	0.5035343	Yes	
row_41	NUP37	625	2.5497231483459473	0.5071023	Yes	
row_42	TEX30	633	2.53230619430542	0.5153542	Yes	
row_43	PSMD6	674	2.4623825550079346	0.5201637	Yes	
row_44	POLD2	702	2.421182155609131	0.52608687	Yes	
row_45	POLR3K	767	2.299379348754883	0.5279973	Yes	
row_46	USP16	771	2.2941603660583496	0.5357968	Yes	
row_47	STIP1	832	2.217149257659912	0.53780466	Yes	
row_48	STOML2	889	2.13523268699646	0.53991103	Yes	
row_49	UBE2N	926	2.0959300994873047	0.5438157	Yes	
row_50	PPP2R1B	937	2.075336456298828	0.5501656	Yes	
row_51	HAT1	946	2.06778621673584	0.5566826	Yes	
row_52	PAICS	965	2.0372884273529053	0.5621236	Yes	
row_53	TMEM97	1015	1.9650577306747437	0.56430775	Yes	
row_54	NUTF2	1020	1.9547337293624878	0.5708135	Yes	
row_55	XRCC5	1030	1.941595435142517	0.5767886	Yes	
row_56	VDAC1	1117	1.8182207345962524	0.57487184	Yes	
row_57	CCT2	1144	1.7901852130889893	0.5786667	Yes	
row_58	GNL2	1150	1.782841682434082	0.58446944	Yes	
row_59	CRELD2	1158	1.7704874277114868	0.59003484	Yes	
row_60	TUBA1B	1176	1.7516191005706787	0.59456533	Yes	
row_61	PSMC5	1187	1.7450973987579346	0.59975076	Yes	
row_62	GRPEL1	1198	1.7302039861679077	0.6048836	Yes	
row_63	VBP1	1212	1.7156537771224976	0.60967463	Yes	
row_64	TIPIN	1229	1.7008109092712402	0.6141228	Yes	
row_65	DCLRE1A	1347	1.5883445739746094	0.60839325	Yes	
row_66	RPA3	1395	1.5474492311477661	0.60929847	Yes	
row_67	CKS2	1473	1.4795353412628174	0.60705894	Yes	
row_68	WDR12	1485	1.4665417671203613	0.61116517	Yes	
row_69	ASCC3	1508	1.4506813287734985	0.6141502	Yes	
row_70	CSE1L	1530	1.4280651807785034	0.6171524	Yes	
row_71	NASP	1562	1.400080680847168	0.61908746	Yes	
row_72	NUP98	1583	1.3846731185913086	0.6220334	Yes	
row_73	APOO	1589	1.3795971870422363	0.6264141	Yes	
row_74	SNRPG	1596	1.375427484512329	0.6306833	Yes	
row_75	UXS1	1651	1.334388256072998	0.6301593	Yes	
row_76	SNRPB	1742	1.2680326700210571	0.625915	Yes	
row_77	ORC1	1759	1.258849859237671	0.6288046	Yes	
row_78	IPO7	1802	1.2189699411392212	0.6290358	Yes	
row_79	ATP1A1	1843	1.190119981765747	0.6293588	Yes	
row_80	PCNA	1898	1.1550743579864502	0.6282025	Yes	
row_81	GLRX3	1900	1.1532069444656372	0.6321722	Yes	
row_82	NSDHL	1917	1.137221097946167	0.634633	Yes	
row_83	TFDP1	1961	1.1058663129806519	0.6343684	Yes	
row_84	PSMD14	2033	1.052733302116394	0.63120484	Yes	
row_85	PSMC4	2053	1.0395331382751465	0.6330306	Yes	
row_86	ARMC1	2070	1.0268425941467285	0.63510215	Yes	
row_87	TRIP13	2104	1.006113052368164	0.63545424	Yes	
row_88	PSMB5	2149	0.9856528639793396	0.6346689	Yes	
row_89	GPN3	2175	0.9709978699684143	0.63567185	Yes	
row_90	DNAJC9	2194	0.9634799957275391	0.6373263	Yes	
row_91	DCTPP1	2226	0.9430134892463684	0.63764954	Yes	
row_92	FANCE	2266	0.9143455624580383	0.63709694	No	
row_93	PRNP	2448	0.833339273929596	0.62250704	No	
row_94	HSPA14	2467	0.8183649778366089	0.6236497	No	
row_95	HDAC2	2473	0.8165193200111389	0.6260448	No	
row_96	RFC5	2539	0.7835363745689392	0.62251306	No	
row_97	SUV39H2	2587	0.7621217370033264	0.6206489	No	
row_98	HNRNPAB	2647	0.7390851974487305	0.6175415	No	
row_99	UBE2M	2689	0.7219800353050232	0.6161169	No	
row_100	ASNS	2712	0.7100778222084045	0.6164903	No	
row_101	CDC6	2722	0.7071229219436646	0.61811227	No	
row_102	GINS2	2740	0.6968902349472046	0.6189234	No	
row_103	UBA2	2764	0.6877956986427307	0.61912143	No	
row_104	ZZZ3	2902	0.6256899833679199	0.60806036	No	
row_105	NIPA2	2908	0.6252057552337646	0.60978085	No	
row_106	FDX1	2926	0.6194353699684143	0.61031884	No	
row_107	POLD1	2999	0.5968096852302551	0.60545075	No	
row_108	SLC1A4	3050	0.5780242681503296	0.6026469	No	
row_109	NDUFA6	3102	0.5593410730361938	0.59968036	No	
row_110	MANF	3162	0.5381234884262085	0.59586424	No	
row_111	MED20	3193	0.5273146033287048	0.5948184	No	
row_112	NUP205	3229	0.5165188312530518	0.59325033	No	
row_113	DTL	3291	0.49384433031082153	0.5890844	No	
row_114	GMNN	3303	0.49090376496315	0.58975023	No	
row_115	GGCT	3396	0.46226242184638977	0.5824708	No	
row_116	CTNNAL1	3408	0.45855027437210083	0.5830225	No	
row_117	MCM5	3629	0.38817083835601807	0.5630859	No	
row_118	MCM2	3767	0.35269156098365784	0.5510621	No	
row_119	FEN1	3804	0.34133413434028625	0.5487794	No	
row_120	MCM10	3860	0.326842725276947	0.5446056	No	
row_121	COPS3	3900	0.31713637709617615	0.54194707	No	
row_122	BLM	3913	0.31381112337112427	0.5418916	No	
row_123	MCM6	3990	0.2910557687282562	0.53555787	No	
row_124	CDT1	4026	0.2824997901916504	0.53316456	No	
row_125	CKS1B	4077	0.2695036232471466	0.5292728	No	
row_126	USP1	4127	0.257389098405838	0.52543515	No	
row_127	TUBB4B	4136	0.25573819875717163	0.5255622	No	
row_128	RFC4	4233	0.23128023743629456	0.51708084	No	
row_129	MCM4	4269	0.2225242406129837	0.51447606	No	
row_130	GLRX2	4288	0.22031226754188538	0.5135098	No	
row_131	SUCLA2	4337	0.21001486480236053	0.5096019	No	
row_132	CDC45	4347	0.20823360979557037	0.5094646	No	
row_133	BCAT2	4348	0.2080969512462616	0.5101985	No	
row_134	MCM7	4424	0.1866273134946823	0.5035933	No	
row_135	PAK1IP1	4636	0.1375727504491806	0.48364463	No	
row_136	PBK	4716	0.12093323469161987	0.4764205	No	
row_137	ELAVL1	4724	0.1191498339176178	0.47616273	No	
row_138	UBE2S	4751	0.1142919585108757	0.47404787	No	
row_139	DPP3	4762	0.11243205517530441	0.4734759	No	
row_140	KPNA2	4792	0.10701455175876617	0.47104484	No	
row_141	TUBG1	4807	0.10444916784763336	0.47005737	No	
row_142	DONSON	4864	0.09404048323631287	0.46496576	No	
row_143	MLEC	4877	0.09261390566825867	0.46413025	No	
row_144	LMNB2	4919	0.08623164147138596	0.46046376	No	
row_145	RAD51AP1	4936	0.08213125914335251	0.4592039	No	
row_146	MAD2L1	4971	0.07565922290086746	0.45617804	No	
row_147	TUBGCP3	4986	0.07275912165641785	0.4550788	No	
row_148	CDK2	5033	0.06374925374984741	0.45084885	No	
row_149	SLC39A1	5072	0.05669553950428963	0.44736874	No	
row_150	PGRMC1	5089	0.05346870794892311	0.44600782	No	
row_151	TOPBP1	5190	0.0369698591530323	0.43645388	No	
row_152	STX3	5204	0.03431958705186844	0.43531594	No	
row_153	MMD	5222	0.03161264955997467	0.4337811	No	
row_154	DNMT1	5289	0.020726501941680908	0.42746255	No	
row_155	SLC39A14	5305	0.01823180913925171	0.4260742	No	
row_156	MSH6	5341	0.011832837015390396	0.42272642	No	
row_157	HMGXB4	5431	-0.005486031994223595	0.41412675	No	
row_158	WSB2	5464	-0.01022957544773817	0.41106385	No	
row_159	WDR1	5470	-0.011236674152314663	0.41061926	No	
row_160	CDC20	5494	-0.014125377871096134	0.4084417	No	
row_161	NELFE	5503	-0.015585987828671932	0.4077219	No	
row_162	PSMC3	5617	-0.03461199626326561	0.3969007	No	
row_163	ZMPSTE24	5672	-0.041945602744817734	0.3918191	No	
row_164	SMC4	5694	-0.04555817320942879	0.38994604	No	
row_165	CORO1C	5779	-0.06117762252688408	0.38202697	No	
row_166	TPM4	5788	-0.06252937018871307	0.38147274	No	
row_167	RBBP8	5934	-0.0856907069683075	0.3677327	No	
row_168	SLC39A8	6622	-0.2293640375137329	0.30201042	No	
row_169	PRC1	6727	-0.25613874197006226	0.292842	No	
row_170	DPP4	6840	-0.2846488952636719	0.28299937	No	
row_171	ALG5	7004	-0.33061161637306213	0.2683798	No	
row_172	SQLE	7304	-0.41887137293815613	0.24090086	No	
row_173	MSMO1	7759	-0.5941400527954102	0.19902931	No	
row_174	HMGCR	7975	-0.6830472350120544	0.18061675	No	
row_175	LDLR	8215	-0.7963892221450806	0.16027963	No	
row_176	SLC1A5	8309	-0.8445554971694946	0.15425144	No	
row_177	MCUR1	9213	-1.5373402833938599	0.07222348	No	
row_178	TNFRSF12A	9448	-1.7982444763183594	0.055903465	No	
row_179	LTB	9517	-1.9022566080093384	0.056026164	No	
row_180	ELOVL6	9909	-2.641669511795044	0.027476026	No	
row_181	VIM	10279	-4.195784091949463	0.006536779	No	
row_182	CDK2AP2	10312	-4.407835006713867	0.018981362	No	
