NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHCHD10	1	7.859808444976807	0.019359784	No	
row_1	NKG7	11	6.694526195526123	0.035060905	No	
row_2	IPO4	63	5.189187049865723	0.04297178	No	
row_3	TNFSF11	67	5.015333652496338	0.055096697	No	
row_4	PSME2	119	4.474827766418457	0.06123921	No	
row_5	CTSW	127	4.425944805145264	0.07151809	No	
row_6	ATAD3A	144	4.294410705566406	0.080600545	No	
row_7	TNFRSF4	180	4.043571949005127	0.08722364	No	
row_8	CCND2	217	3.8307712078094482	0.09322321	No	
row_9	POLR1B	452	2.934499979019165	0.0778459	No	
row_10	TNFRSF1B	456	2.929502487182617	0.08480745	No	
row_11	CCR8	511	2.8164713382720947	0.08655451	No	
row_12	TSPAN31	640	2.520629644393921	0.0804091	No	
row_13	NFKB1	798	2.2595603466033936	0.07081143	No	
row_14	CD82	820	2.2335546016693115	0.074308544	No	
row_15	ANXA6	868	2.1735904216766357	0.0751415	No	
row_16	BCL2	1075	1.864920973777771	0.05982574	No	
row_17	PRDX6	1089	1.8451075553894043	0.06313535	No	
row_18	UTP14A	1107	1.823742389678955	0.06600503	No	
row_19	ADCK5	1346	1.5889633893966675	0.04690988	No	
row_20	GPRIN3	1406	1.5351451635360718	0.045001294	No	
row_21	IRF4	1416	1.5249395370483398	0.047905374	No	
row_22	RGS1	1483	1.468706488609314	0.045155015	No	
row_23	RUNX3	1545	1.4160182476043701	0.042758018	No	
row_24	B4GALNT1	1663	1.326572299003601	0.034721125	No	
row_25	DAPL1	1740	1.2716341018676758	0.030515336	No	
row_26	STAT1	1746	1.2662103176116943	0.03316598	No	
row_27	ID2	2030	1.0556106567382812	0.008396408	No	
row_28	PTGFRN	2099	1.009640097618103	0.004316135	No	
row_29	PACS2	2178	0.9692184329032898	-8.3178555E-4	No	
row_30	IGF2R	2313	0.8888471722602844	-0.011597142	No	
row_31	CAPG	2392	0.8560428023338318	-0.017025223	No	
row_32	GDPGP1	2880	0.6358444690704346	-0.06257266	No	
row_33	IL2RB	2894	0.6288431882858276	-0.06227385	No	
row_34	RELB	2989	0.6003455519676208	-0.06988303	No	
row_35	COTL1	3035	0.5844356417655945	-0.07279043	No	
row_36	COL23A1	3279	0.4973315894603729	-0.09507164	No	
row_37	ST3GAL2	3365	0.4701990783214569	-0.10213217	No	
row_38	PSEN2	3456	0.4439411461353302	-0.109741494	No	
row_39	FAM3C	3504	0.4280962646007538	-0.11322942	No	
row_40	ENC1	3702	0.370060533285141	-0.13137479	No	
row_41	TRIO	3710	0.3670180141925812	-0.13114357	No	
row_42	GPR65	3717	0.3649837076663971	-0.13082062	No	
row_43	NAB2	3733	0.36140361428260803	-0.13137737	No	
row_44	CMTR1	3747	0.35829636454582214	-0.13174829	No	
row_45	CCR7	3768	0.35251256823539734	-0.13281083	No	
row_46	PPP1R13B	3861	0.3267434537410736	-0.14090379	No	
row_47	KLHL25	3868	0.32471638917922974	-0.14068052	No	
row_48	PTGIR	4041	0.2783951163291931	-0.15663384	No	
row_49	RIN3	4126	0.2577902674674988	-0.16412342	No	
row_50	RGS19	4172	0.24765536189079285	-0.1678645	No	
row_51	FMNL3	4199	0.24041996896266937	-0.16978507	No	
row_52	N4BP2L1	4401	0.1931421160697937	-0.18875544	No	
row_53	NR4A1	4486	0.17197582125663757	-0.19645745	No	
row_54	RAP1B	4788	0.10722283273935318	-0.22531635	No	
row_55	PIGS	4937	0.08204562962055206	-0.23943353	No	
row_56	IER5	4995	0.06994657218456268	-0.24477561	No	
row_57	IZUMO1R	5199	0.034664977341890335	-0.2643318	No	
row_58	HS3ST3B1	5283	0.02191006951034069	-0.27230853	No	
row_59	SLC39A14	5305	0.01823180913925171	-0.27429533	No	
row_60	ARL6IP5	5564	-0.025881294161081314	-0.29919496	No	
row_61	IKZF4	5638	-0.03674320504069328	-0.3061674	No	
row_62	ITGB3	5874	-0.07494158297777176	-0.32872015	No	
row_63	MAP3K3	6008	-0.09803876280784607	-0.34134635	No	
row_64	RCAN3	6316	-0.15803465247154236	-0.37066004	No	
row_65	RFTN1	6568	-0.21517924964427948	-0.39441377	No	
row_66	CD48	6677	-0.24395492672920227	-0.4042598	No	
row_67	GALNT10	6751	-0.26111793518066406	-0.41067678	No	
row_68	GALNT6	6978	-0.3227454721927643	-0.4317453	No	
row_69	CST7	7044	-0.34036770462989807	-0.43719202	No	
row_70	GIMAP7	7483	-0.4851246178150177	-0.47837138	No	
row_71	PTGER2	7642	-0.5480719804763794	-0.49230254	No	
row_72	GADD45G	7698	-0.5703427195549011	-0.4962124	No	
row_73	SMAD7	7747	-0.5907418131828308	-0.49939445	No	
row_74	ARPC5L	7773	-0.6006110906600952	-0.50032663	No	
row_75	TRIM14	7905	-0.6553353071212769	-0.5113798	No	
row_76	PARP3	7906	-0.6554837822914124	-0.50975716	No	
row_77	PGLYRP2	8047	-0.7126534581184387	-0.5215392	No	
row_78	IFI35	8150	-0.7647684812545776	-0.52951545	No	
row_79	GPR18	8187	-0.7805295586585999	-0.5310666	No	
row_80	TMEM64	8213	-0.7958958148956299	-0.53151536	No	
row_81	LACTB	8261	-0.8233590722084045	-0.53402483	No	
row_82	PXYLP1	8275	-0.829282283782959	-0.5332298	No	
