NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NHP2	20	6.136864185333252	0.02174775	Yes	
row_1	GNL3	21	6.126562595367432	0.045384396	Yes	
row_2	B4GALT5	25	5.968021392822266	0.068120085	Yes	
row_3	HSPE1	29	5.861594200134277	0.09044517	Yes	
row_4	CD74	33	5.807124614715576	0.11256011	Yes	
row_5	WDR43	54	5.387223243713379	0.1314157	Yes	
row_6	CHCHD4	72	4.921378135681152	0.14876333	Yes	
row_7	WDR74	101	4.591402530670166	0.16377714	Yes	
row_8	EEF1G	117	4.479089736938477	0.17961125	Yes	
row_9	RRP9	130	4.393106460571289	0.19540294	Yes	
row_10	PTGES3	131	4.389127731323242	0.21233645	Yes	
row_11	NOLC1	141	4.301348686218262	0.22806343	Yes	
row_12	MRPS18B	145	4.292644023895264	0.24433541	Yes	
row_13	TRMT61A	148	4.282327175140381	0.26066402	Yes	
row_14	EIF3G	151	4.25984525680542	0.2769059	Yes	
row_15	MTDH	161	4.183718681335449	0.29217905	Yes	
row_16	REXO2	190	3.9929111003875732	0.30488384	Yes	
row_17	CCDC58	203	3.9221084117889404	0.31885839	Yes	
row_18	SRM	224	3.7798802852630615	0.33151275	Yes	
row_19	TXNL1	266	3.5458548069000244	0.34123915	Yes	
row_20	RPP14	270	3.5332984924316406	0.35458153	Yes	
row_21	HSPBP1	277	3.5025551319122314	0.367516	Yes	
row_22	TSR2	294	3.4462897777557373	0.3792691	Yes	
row_23	SET	303	3.4067649841308594	0.39164114	Yes	
row_24	POP1	315	3.353630781173706	0.4035189	Yes	
row_25	WDR61	335	3.291626214981079	0.41438597	Yes	
row_26	EIF3I	348	3.246763229370117	0.425755	Yes	
row_27	PRPF31	375	3.1682252883911133	0.43547097	Yes	
row_28	EIF1AX	404	3.0654656887054443	0.44459763	Yes	
row_29	MRPL39	443	2.9550678730010986	0.45233405	Yes	
row_30	TBL3	457	2.929062843322754	0.46238092	Yes	
row_31	DDX21	460	2.9268064498901367	0.47347987	Yes	
row_32	CDK4	505	2.8296611309051514	0.48015386	Yes	
row_33	MRPL35	506	2.8266608715057373	0.49105927	Yes	
row_34	ST13	566	2.695758581161499	0.4957702	Yes	
row_35	MYO1E	581	2.665360689163208	0.5047033	Yes	
row_36	LUC7L	614	2.5817081928253174	0.51157784	Yes	
row_37	RPS8	634	2.532282590866089	0.5195153	Yes	
row_38	PPIE	736	2.3520004749298096	0.51884985	Yes	
row_39	RRAS2	779	2.2840752601623535	0.5236118	Yes	
row_40	NUP43	788	2.2719192504882812	0.53160554	Yes	
row_41	EXOSC1	805	2.249833583831787	0.5387426	Yes	
row_42	YBX3	911	2.1144206523895264	0.5367748	Yes	
row_43	FYTTD1	968	2.034011125564575	0.53922194	Yes	
row_44	TRIM28	1022	1.9500844478607178	0.5416346	Yes	
row_45	DNAJA3	1048	1.9157612323760986	0.54661494	Yes	
row_46	SPRYD4	1058	1.8895630836486816	0.5530371	Yes	
row_47	FASTKD2	1077	1.8634841442108154	0.55849075	Yes	
row_48	RRS1	1087	1.8490773439407349	0.5647567	Yes	
row_49	PSMC5	1187	1.7450973987579346	0.56194264	Yes	
row_50	POP5	1194	1.7349680662155151	0.56805766	Yes	
row_51	ADO	1233	1.6988766193389893	0.5709476	Yes	
row_52	ZFYVE21	1266	1.6608610153198242	0.5742695	Yes	
row_53	EIF4G1	1271	1.6568982601165771	0.58027613	Yes	
row_54	SLC25A13	1335	1.5954355001449585	0.58035624	Yes	
row_55	UTP6	1337	1.5914865732192993	0.58639985	Yes	
row_56	B3GALT6	1417	1.524541974067688	0.5846635	Yes	
row_57	IRAK2	1429	1.5144773721694946	0.5894457	Yes	
row_58	TMEM41A	1595	1.3757739067077637	0.5788422	No	
row_59	MDFIC	1646	1.337157130241394	0.57917947	No	
row_60	PRDM1	1695	1.303663730621338	0.5795803	No	
row_61	PPP1R7	1700	1.3014007806777954	0.58421546	No	
row_62	ATP2A2	1847	1.1852773427963257	0.5747093	No	
row_63	NOL12	1861	1.1767942905426025	0.5779958	No	
row_64	PDIA6	1940	1.1209138631820679	0.57479864	No	
row_65	DNAJC21	1945	1.1170262098312378	0.5787225	No	
row_66	SNX8	2016	1.0631439685821533	0.57607394	No	
row_67	NOP9	2029	1.0562416315078735	0.5789918	No	
