NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNL3	21	6.126562595367432	0.024487056	Yes	
row_1	HSPE1	29	5.861594200134277	0.049182545	Yes	
row_2	NDUFAF4	30	5.845912456512451	0.07448786	Yes	
row_3	CACYBP	41	5.609005451202393	0.09779952	Yes	
row_4	NDUFAB1	109	4.53490686416626	0.11094326	Yes	
row_5	SHMT1	115	4.489349365234375	0.12989232	Yes	
row_6	PUS7	126	4.427617073059082	0.14809008	Yes	
row_7	BRIX1	222	3.784864664077759	0.15527628	Yes	
row_8	PFDN2	244	3.683461904525757	0.16918784	Yes	
row_9	RANBP1	263	3.5571353435516357	0.18284301	Yes	
row_10	PSMG1	298	3.4283275604248047	0.19439158	Yes	
row_11	EIF3I	348	3.246763229370117	0.20370197	Yes	
row_12	EIF2S1	356	3.221670627593994	0.21696998	Yes	
row_13	PER2	358	3.218944787979126	0.23080707	Yes	
row_14	CXCR3	379	3.1531972885131836	0.24252008	Yes	
row_15	PRMT1	387	3.128174066543579	0.25538337	Yes	
row_16	GEMIN6	390	3.106204032897949	0.2686356	Yes	
row_17	PRMT3	426	3.0083892345428467	0.27826956	Yes	
row_18	POLR2F	444	2.94885516166687	0.28938848	Yes	
row_19	SHMT2	458	2.9282169342041016	0.3008053	Yes	
row_20	CDK2AP1	468	2.9128026962280273	0.31254268	Yes	
row_21	PDCD5	470	2.9063775539398193	0.32502675	Yes	
row_22	ELAC2	498	2.8412015438079834	0.33471152	Yes	
row_23	NUFIP1	502	2.8304407596588135	0.34667325	Yes	
row_24	NUDC	564	2.70238995552063	0.35246545	Yes	
row_25	OLA1	565	2.6991260051727295	0.3641492	Yes	
row_26	SAC3D1	596	2.6246695518493652	0.37260622	Yes	
row_27	NUP37	625	2.5497231483459473	0.38093242	Yes	
row_28	TIMM8B	655	2.501312732696533	0.38895229	Yes	
row_29	PSMD11	672	2.468003273010254	0.39808655	Yes	
row_30	PSMD12	707	2.4126157760620117	0.40523836	Yes	
row_31	GMPS	724	2.3660964965820312	0.4139315	Yes	
row_32	BHLHE40	751	2.3283045291900635	0.4214929	Yes	
row_33	MRPL40	768	2.2957513332366943	0.4298815	Yes	
row_34	NCF4	778	2.284764289855957	0.4389003	Yes	
row_35	DTYMK	782	2.2796010971069336	0.4484776	Yes	
row_36	STIP1	832	2.217149257659912	0.45333108	Yes	
row_37	PPP1R14B	844	2.202648401260376	0.46180075	Yes	
row_38	TRAP1	897	2.1300103664398193	0.4659866	Yes	
row_39	GLMN	921	2.1042823791503906	0.4728687	Yes	
row_40	RCC1	942	2.0711886882781982	0.479898	Yes	
row_41	LRPPRC	949	2.0660817623138428	0.4882606	Yes	
row_42	DUT	1009	1.9733777046203613	0.49109074	Yes	
row_43	TSFM	1046	1.9171292781829834	0.49590412	Yes	
row_44	STK39	1069	1.8710426092147827	0.50187343	Yes	
row_45	IPO5	1152	1.7818317413330078	0.50164765	Yes	
row_46	GRPEL1	1198	1.7302039861679077	0.50478053	Yes	
row_47	LRRC59	1206	1.7220016717910767	0.5115569	Yes	
row_48	ACAT1	1223	1.7065032720565796	0.51739484	Yes	
row_49	TIPIN	1229	1.7008109092712402	0.5242731	Yes	
row_50	GSPT1	1246	1.6815073490142822	0.53000283	Yes	
row_51	PPA2	1288	1.639514446258545	0.5331304	Yes	
row_52	COX17	1296	1.630185604095459	0.53950936	Yes	
row_53	TIMM13	1318	1.610130786895752	0.54444605	Yes	
row_54	MRPL16	1460	1.4893748760223389	0.53724223	Yes	
row_55	FAM98A	1471	1.4806201457977295	0.54268324	Yes	
row_56	WDR12	1485	1.4665417671203613	0.54777294	Yes	
row_57	ATP8B4	1493	1.4585410356521606	0.5534088	Yes	
row_58	THOC1	1510	1.447059154510498	0.5581237	Yes	
row_59	POLE3	1570	1.3974171876907349	0.55846065	Yes	
row_60	SLIRP	1591	1.3781195878982544	0.56248987	Yes	
row_61	SNRNP40	1629	1.3543497323989868	0.5647703	Yes	
row_62	PABPN1	1730	1.2787058353424072	0.560624	No	
row_63	GOT2	1815	1.210995078086853	0.5577336	No	
row_64	RAD50	1837	1.194657802581787	0.56087184	No	
row_65	TFDP1	1961	1.1058663129806519	0.5537506	No	
row_66	UAP1	2013	1.070966362953186	0.553449	No	
row_67	PELO	2025	1.0591275691986084	0.5569686	No	
row_68	HCCS	2027	1.0571974515914917	0.56144816	No	
row_69	OGFOD1	2063	1.0331709384918213	0.56253195	No	
row_70	SKP2	2168	0.973903238773346	0.55667895	No	
row_71	DNAJA2	2181	0.9688131809234619	0.55971086	No	
row_72	SLC19A2	2248	0.925462007522583	0.55732715	No	
row_73	MRPL23	2338	0.8772006630897522	0.5525078	No	
row_74	RBM28	2356	0.8696156740188599	0.5546263	No	
row_75	NMT1	2400	0.8536575436592102	0.5541585	No	
row_76	MED6	2427	0.8395148515701294	0.5552753	No	
row_77	TAF1A	2454	0.8289533853530884	0.5563465	No	
row_78	RAD1	2478	0.8132739067077637	0.55764014	No	
row_79	TRAF3IP1	2501	0.7999904155731201	0.55897313	No	
row_80	RFC5	2539	0.7835363745689392	0.5587827	No	
row_81	SPDL1	2560	0.7715078592300415	0.5601861	No	
row_82	NUP155	2677	0.7288364171981812	0.5521105	No	
row_83	JMJD6	2723	0.7067117094993591	0.55081296	No	
row_84	DSCC1	2726	0.7049956917762756	0.55367106	No	
row_85	EXO1	2808	0.6678608655929565	0.54872006	No	
row_86	CHCHD3	2893	0.6291822791099548	0.5433112	No	
row_87	HMGB3	2924	0.6197666525840759	0.5430895	No	
row_88	KLHL7	2941	0.6154815554618835	0.5442047	No	
row_89	NABP2	2977	0.6033833026885986	0.54342806	No	
row_90	CDC7	2995	0.5981228351593018	0.5443713	No	
row_91	TEX10	3028	0.5873090624809265	0.54381555	No	
row_92	TYMS	3053	0.5777892470359802	0.54399306	No	
row_93	THOC5	3122	0.5545698404312134	0.53981024	No	
row_94	DHFR	3183	0.5319992303848267	0.53630424	No	
row_95	PLAA	3191	0.5277828574180603	0.5379112	No	
row_96	HAUS7	3204	0.524098813533783	0.53901803	No	
row_97	GMNN	3303	0.49090376496315	0.5316552	No	
row_98	UBR7	3334	0.4798157513141632	0.53082776	No	
row_99	SLBP	3569	0.4074488580226898	0.5099368	No	
row_100	RAD54B	3583	0.4038422107696533	0.51042634	No	
row_101	RANBP9	3745	0.3583941161632538	0.49639055	No	
row_102	MCM2	3767	0.35269156098365784	0.49588412	No	
row_103	FEN1	3804	0.34133413434028625	0.49387634	No	
row_104	SOCS2	3828	0.3359053432941437	0.49310365	No	
row_105	CDT1	4026	0.2824997901916504	0.475254	No	
row_106	MPZL1	4050	0.27595245838165283	0.47422177	No	
row_107	RAP1GDS1	4216	0.23695635795593262	0.45927304	No	
row_108	RFC4	4233	0.23128023743629456	0.45872515	No	
row_109	AGPS	4399	0.1940683275461197	0.4435908	No	
row_110	MCM7	4424	0.1866273134946823	0.44207507	No	
row_111	TUBA1C	4483	0.17309387028217316	0.4372091	No	
row_112	RABIF	4512	0.16748550534248352	0.43522328	No	
row_113	PMVK	4574	0.1483079046010971	0.42995957	No	
row_114	ST7	4597	0.14467665553092957	0.4284559	No	
row_115	MYBL2	4824	0.10217687487602234	0.40701807	No	
row_116	KIF3A	4830	0.10063604265451431	0.4069696	No	
row_117	ABHD5	4836	0.09973742812871933	0.40691727	No	
row_118	MAD2L1	4971	0.07565922290086746	0.39427158	No	
row_119	KDM1A	5150	0.043685510754585266	0.37722766	No	
row_120	PAXIP1	5193	0.035844586789608	0.3733166	No	
row_121	TTK	5216	0.03223900496959686	0.37132624	No	
