NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF8	13	6.579859733581543	0.021725232	No	
row_1	CHST15	158	4.2371721267700195	0.022609962	No	
row_2	SLC39A10	671	2.4705235958099365	-0.018234652	No	
row_3	ICE1	827	2.223982810974121	-0.025444267	No	
row_4	ZCCHC10	1028	1.945319414138794	-0.037975416	No	
row_5	SOCS7	1524	1.4340801239013672	-0.08079733	No	
row_6	ABCA1	1889	1.1595016717910767	-0.11192003	No	
row_7	NSMCE1	1905	1.1480185985565186	-0.10935978	No	
row_8	ROCK2	2169	0.9735248684883118	-0.13137265	No	
row_9	DNAJC9	2194	0.9634799957275391	-0.13032657	No	
row_10	RAB33B	2589	0.7606990933418274	-0.165741	No	
row_11	POLD1	2999	0.5968096852302551	-0.20317726	No	
row_12	STAP1	3249	0.5107697248458862	-0.2254536	No	
row_13	DMXL1	3503	0.42862212657928467	-0.24840336	No	
row_14	ADAMTS6	3591	0.40054288506507874	-0.255411	No	
row_15	SYNJ1	3618	0.39204299449920654	-0.25655404	No	
row_16	PRIM1	3646	0.3838987350463867	-0.25782216	No	
row_17	MYADM	3720	0.36461886763572693	-0.26360247	No	
row_18	GPD2	3936	0.3077271580696106	-0.28330263	No	
row_19	TEC	3938	0.3073485493659973	-0.28232577	No	
row_20	SH3BP5	4042	0.2780650556087494	-0.29130724	No	
row_21	ATP6V0A1	4104	0.2628021538257599	-0.29628363	No	
row_22	RIN3	4126	0.2577902674674988	-0.29741246	No	
row_23	RFC1	4189	0.24435576796531677	-0.3025499	No	
row_24	XYLT1	4241	0.2278788536787033	-0.306682	No	
row_25	PPP3CA	4781	0.10914579033851624	-0.35838312	No	
row_26	ALCAM	4856	0.09541144222021103	-0.3652003	No	
row_27	TRAPPC5	4941	0.08137921988964081	-0.3730328	No	
row_28	GNA13	4954	0.07850456982851028	-0.37391815	No	
row_29	PARP1	5098	0.051810912787914276	-0.38755497	No	
row_30	DGKD	5166	0.0405828133225441	-0.39388728	No	
row_31	TRIM59	5251	0.027379512786865234	-0.40190837	No	
row_32	DNMT1	5289	0.020726501941680908	-0.4054112	No	
row_33	GATAD2B	5338	0.012057735584676266	-0.4100072	No	
row_34	CCDC97	5477	-0.012159323319792747	-0.42329937	No	
row_35	TRAK2	5483	-0.012820015661418438	-0.42373773	No	
row_36	BRWD1	5602	-0.0327126681804657	-0.43502554	No	
row_37	ENPP1	5805	-0.06499175727367401	-0.45431733	No	
row_38	EHD4	5899	-0.0792982429265976	-0.46302676	No	
row_39	AIDA	6062	-0.10793081670999527	-0.47830346	No	
row_40	PLCL2	6153	-0.12454793602228165	-0.48656496	No	
