NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHCHD10	1	7.859808444976807	0.026582945	No	
row_1	CHST15	158	4.2371721267700195	0.025903415	No	
row_2	CCR6	209	3.903919219970703	0.03432731	No	
row_3	PTMA	677	2.458361864089966	-0.0024182533	No	
row_4	CCND3	982	2.0100550651550293	-0.024947409	No	
row_5	CTSH	1542	1.419916033744812	-0.07410078	No	
row_6	SMC3	1622	1.357905387878418	-0.077119164	No	
row_7	GGA2	1828	1.2022056579589844	-0.092831746	No	
row_8	NCOA1	1854	1.1805611848831177	-0.09123825	No	
row_9	ABCA1	1889	1.1595016717910767	-0.09058522	No	
row_10	NSMCE1	1905	1.1480185985565186	-0.08813666	No	
row_11	DNAJC9	2194	0.9634799957275391	-0.11267348	No	
row_12	TGFB1	2265	0.914728045463562	-0.11632722	No	
row_13	SH3BP2	2406	0.8503158688545227	-0.12695833	No	
row_14	ARID1A	2565	0.7693360447883606	-0.13960226	No	
row_15	LGALS3	2842	0.6543209552764893	-0.16402985	No	
row_16	POLD1	2999	0.5968096852302551	-0.17706631	No	
row_17	ID3	3066	0.5741572976112366	-0.18148988	No	
row_18	STAP1	3249	0.5107697248458862	-0.19732876	No	
row_19	DMXL1	3503	0.42862212657928467	-0.22030176	No	
row_20	ADAMTS6	3591	0.40054288506507874	-0.22734226	No	
row_21	MYADM	3720	0.36461886763572693	-0.23846339	No	
row_22	TEC	3938	0.3073485493659973	-0.25837213	No	
row_23	SH3BP5	4042	0.2780650556087494	-0.26737323	No	
row_24	ATP6V0A1	4104	0.2628021538257599	-0.2723709	No	
row_25	RFC1	4189	0.24435576796531677	-0.2796519	No	
row_26	PPP3CA	4781	0.10914579033851624	-0.33634427	No	
row_27	ALCAM	4856	0.09541144222021103	-0.34316534	No	
row_28	PARP1	5098	0.051810912787914276	-0.36625877	No	
row_29	DGKD	5166	0.0405828133225441	-0.37259007	No	
row_30	CD69	5212	0.03266723453998566	-0.37682405	No	
row_31	SNX29	5230	0.030526529997587204	-0.37836185	No	
row_32	TRIM59	5251	0.027379512786865234	-0.38019997	No	
