NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UNC93B1	5	7.521944522857666	0.03557462	Yes	
row_1	METTL1	65	5.024819850921631	0.053969238	Yes	
row_2	MRTO4	74	4.910591125488281	0.076736696	Yes	
row_3	GCSH	105	4.552402019500732	0.09566463	Yes	
row_4	SIGMAR1	167	4.137570858001709	0.109613195	Yes	
row_5	DDX18	170	4.116891384124756	0.12915486	Yes	
row_6	PPA1	183	4.027491092681885	0.14730321	Yes	
row_7	ECE2	214	3.878424644470215	0.16300038	Yes	
row_8	CCND2	217	3.8307712078094482	0.18117051	Yes	
row_9	SLC19A1	252	3.652541399002075	0.19539897	Yes	
row_10	RANBP1	263	3.5571353435516357	0.21148558	Yes	
row_11	NOB1	267	3.5448877811431885	0.22818883	Yes	
row_12	WDR18	304	3.395955801010132	0.24099438	Yes	
row_13	NR4A3	354	3.225421190261841	0.25172824	Yes	
row_14	PRPF31	375	3.1682252883911133	0.26498577	Yes	
row_15	RDH13	429	2.999232292175293	0.27424946	Yes	
row_16	NME2	441	2.955674648284912	0.28735644	Yes	
row_17	TSR1	466	2.9159536361694336	0.2990188	Yes	
row_18	PWP2	480	2.8871116638183594	0.31160417	Yes	
row_19	DHX33	512	2.815446138381958	0.3221094	Yes	
row_20	SUPV3L1	528	2.790513277053833	0.33403876	Yes	
row_21	ATIC	530	2.7891526222229004	0.3473123	Yes	
row_22	MYO1E	581	2.665360689163208	0.35526496	Yes	
row_23	SMYD2	608	2.5967161655426025	0.3652041	Yes	
row_24	RPS8	634	2.532282590866089	0.3749308	Yes	
row_25	SLC25A39	646	2.515636920928955	0.38592842	Yes	
row_26	TIMM10	729	2.355945110321045	0.3893106	Yes	
row_27	HNRNPC	732	2.3542542457580566	0.40040293	Yes	
row_28	BHLHE40	751	2.3283045291900635	0.40982723	Yes	
row_29	SNX3	792	2.2666854858398438	0.4168336	Yes	
row_30	UQCC2	908	2.1178205013275146	0.4158905	Yes	
row_31	MRPS33	978	2.0149590969085693	0.41889235	Yes	
row_32	SPRYD4	1058	1.8895630836486816	0.42032832	Yes	
row_33	MTG1	1065	1.876418948173523	0.4287442	Yes	
row_34	AEN	1078	1.862473726272583	0.43651438	Yes	
row_35	EIF3B	1080	1.85782790184021	0.44532353	Yes	
row_36	PINX1	1111	1.8220024108886719	0.45116308	Yes	
row_37	CD38	1131	1.8026981353759766	0.45797136	Yes	
row_38	USP36	1132	1.801043152809143	0.4666048	Yes	
row_39	MRPS27	1171	1.7553083896636963	0.47135282	Yes	
row_40	CD274	1230	1.7002699375152588	0.4739074	Yes	
row_41	SNUPN	1240	1.68474280834198	0.48111507	Yes	
row_42	COQ3	1286	1.640360713005066	0.48463672	Yes	
row_43	POLR3H	1292	1.6338191032409668	0.49198616	Yes	
row_44	COMT	1302	1.6244910955429077	0.49890497	Yes	
row_45	CDC34	1315	1.6116358041763306	0.5054727	Yes	
row_46	RPS26	1339	1.5911322832107544	0.51088095	Yes	
row_47	IPO9	1419	1.5205460786819458	0.510548	Yes	
row_48	PABPC1	1432	1.5094395875930786	0.5166259	Yes	
