NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TCF4	45	5.465462684631348	0.016752854	Yes	
row_1	GRWD1	49	5.446915626525879	0.03749951	Yes	
row_2	HEATR3	73	4.9117655754089355	0.054243393	Yes	
row_3	PHB2	80	4.829602241516113	0.07231548	Yes	
row_4	FGR	88	4.757086753845215	0.090010695	Yes	
row_5	PHB	113	4.494336128234863	0.10504559	Yes	
row_6	SLC7A1	120	4.465780258178711	0.12171252	Yes	
row_7	LTV1	122	4.442068099975586	0.13877185	Yes	
row_8	PPAT	176	4.081175804138184	0.14940394	Yes	
row_9	MRPL45	178	4.0678253173828125	0.16501789	Yes	
row_10	PPA1	183	4.027491092681885	0.18018565	Yes	
row_11	PCBP1	188	4.006737232208252	0.19527327	Yes	
row_12	PTCD3	195	3.9644830226898193	0.21000409	Yes	
row_13	DRG2	242	3.6897401809692383	0.21980196	Yes	
row_14	SLC25A3	268	3.5408856868743896	0.23105764	Yes	
row_15	NEDD4	288	3.463336944580078	0.2425946	Yes	
row_16	EIF3A	293	3.449751377105713	0.25553104	Yes	
row_17	PFAS	307	3.385099411010742	0.2673466	Yes	
row_18	WDR75	334	3.293093204498291	0.27754846	Yes	
row_19	RPS5	399	3.0786116123199463	0.28324372	Yes	
row_20	SRSF7	432	2.9767565727233887	0.29164305	Yes	
row_21	TXNL4A	436	2.9675939083099365	0.30281407	Yes	
row_22	DIS3	442	2.955152988433838	0.31374347	Yes	
row_23	SFR1	462	2.923854351043701	0.32319683	Yes	
row_24	PDCD5	470	2.9063775539398193	0.33374426	Yes	
row_25	NTMT1	507	2.8216331005096436	0.3411573	Yes	
row_26	MTHFD1	527	2.79106068611145	0.35009778	Yes	
row_27	SUPV3L1	528	2.790513277053833	0.36087528	Yes	
row_28	TTC27	533	2.7842628955841064	0.37124148	Yes	
row_29	PSMA3	546	2.765972852706909	0.38076264	Yes	
row_30	PSMA5	574	2.6788904666900635	0.38849553	Yes	
row_31	NAA20	591	2.6348087787628174	0.39712295	Yes	
row_32	TEX30	633	2.53230619430542	0.40293458	Yes	
row_33	PSMA7	652	2.5079452991485596	0.41087842	Yes	
