NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPL12	40	5.616093158721924	0.019248925	Yes	
row_1	GRWD1	49	5.446915626525879	0.04089682	Yes	
row_2	MAGOHB	121	4.447060585021973	0.052334886	Yes	
row_3	SIGMAR1	167	4.137570858001709	0.06501395	Yes	
row_4	PPAT	176	4.081175804138184	0.081039906	Yes	
row_5	MRPL45	178	4.0678253173828125	0.09768801	Yes	
row_6	RSL24D1	212	3.884611129760742	0.11048656	Yes	
row_7	UCK2	238	3.7200465202331543	0.12338154	Yes	
row_8	DRG2	242	3.6897401809692383	0.13827984	Yes	
row_9	WDR4	246	3.6724400520324707	0.15310691	Yes	
row_10	IMP4	258	3.575809955596924	0.16676238	Yes	
row_11	SLC25A3	268	3.5408856868743896	0.18046755	Yes	
row_12	FKBP3	273	3.513396978378296	0.19454321	Yes	
row_13	EIF3A	293	3.449751377105713	0.20690592	Yes	
row_14	MECR	310	3.37142276763916	0.21923639	Yes	
row_15	EMC6	349	3.240245819091797	0.22889882	Yes	
row_16	WDR36	350	3.2375288009643555	0.24222581	Yes	
row_17	TRMT5	377	3.1571292877197266	0.25270686	Yes	
row_18	PDF	417	3.0281832218170166	0.26139963	Yes	
row_19	TXNL4A	436	2.9675939083099365	0.2718743	Yes	
row_20	ALG3	448	2.944918394088745	0.28293276	Yes	
row_21	SOD2	469	2.9084057807922363	0.29297036	Yes	
row_22	PDCD5	470	2.9063775539398193	0.30493417	Yes	
row_23	NTMT1	507	2.8216331005096436	0.3130669	Yes	
row_24	SERBP1	526	2.791968822479248	0.32281864	Yes	
row_25	MRPL19	540	2.7763102054595947	0.33298957	Yes	
row_26	PSMA3	546	2.765972852706909	0.3438918	Yes	
row_27	FAM185A	549	2.756757974624634	0.35504627	Yes	
row_28	NAA20	591	2.6348087787628174	0.3619263	Yes	
row_29	DPH5	638	2.5302743911743164	0.36789232	Yes	
row_30	PPIF	673	2.4664180278778076	0.37475628	Yes	
row_31	PSMD6	674	2.4623825550079346	0.38489246	Yes	
