NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCL2L11	50	5.4120917320251465	0.01567264	No	
row_1	CTSW	127	4.425944805145264	0.025100162	No	
row_2	NOB1	267	3.5448877811431885	0.025108837	No	
row_3	ABI3	418	3.0213074684143066	0.022072472	No	
row_4	FKBP1A	807	2.247637987136841	-0.006869511	No	
row_5	CLDND1	899	2.124824285507202	-0.007605953	No	
row_6	SOX4	1538	1.4218405485153198	-0.06380941	No	
row_7	RUNX3	1545	1.4160182476043701	-0.05902517	No	
row_8	ATXN10	1581	1.3873910903930664	-0.057148855	No	
row_9	TXNDC15	1625	1.356279969215393	-0.05616266	No	
row_10	FRMD6	1747	1.266099452972412	-0.06304772	No	
row_11	REXO4	1792	1.2330877780914307	-0.06262468	No	
row_12	MRPS5	2023	1.0601890087127686	-0.08081192	No	
row_13	CPOX	2389	0.8572319149971008	-0.11280004	No	
row_14	MAPK9	2434	0.8379377722740173	-0.113873705	No	
row_15	IMMP1L	2459	0.825646698474884	-0.11306323	No	
row_16	MAP3K8	2482	0.8115199208259583	-0.11211319	No	
row_17	SLC25A19	3138	0.5503567457199097	-0.17325865	No	
row_18	SLK	3263	0.5036071538925171	-0.18332142	No	
row_19	GNGT2	3356	0.47252342104911804	-0.1904128	No	
row_20	FARP2	3383	0.4661388397216797	-0.1911571	No	
row_21	OTUB1	3432	0.45250898599624634	-0.19407679	No	
row_22	PPP2CB	3436	0.4516007900238037	-0.19265586	No	
row_23	RAPH1	3525	0.42141789197921753	-0.1995547	No	
row_24	N4BP1	3581	0.4039250314235687	-0.20333414	No	
row_25	RNFT1	3639	0.3855437636375427	-0.20737627	No	
row_26	UPF2	3743	0.3589695394039154	-0.21595965	No	
row_27	PLEKHF2	3944	0.30550625920295715	-0.23410937	No	
row_28	VEZF1	4090	0.26608356833457947	-0.24709901	No	
row_29	TMEM104	4123	0.25858554244041443	-0.24920867	No	
row_30	STXBP4	4174	0.24719791114330292	-0.25309908	No	
row_31	UBE2Q1	4239	0.2284328043460846	-0.25841206	No	
row_32	LY6D	4246	0.22656211256980896	-0.2581331	No	
row_33	DDI2	4358	0.2055772989988327	-0.26806977	No	
row_34	CASD1	4437	0.1841350793838501	-0.27490202	No	
row_35	MPG	4472	0.1757591813802719	-0.27751845	No	
row_36	UBXN4	4669	0.13038699328899384	-0.29594532	No	
row_37	MAGI3	4738	0.11631648987531662	-0.3020691	No	
row_38	SCRIB	4951	0.0790446326136589	-0.322235	No	
row_39	RAB20	5010	0.06797963380813599	-0.32757652	No	
row_40	CANT1	5023	0.06563130766153336	-0.32848632	No	
row_41	ENPP2	5116	0.04842906817793846	-0.33718407	No	
row_42	TMEM87A	5529	-0.019553013145923615	-0.37688217	No	
row_43	RBFA	5643	-0.03801003471016884	-0.3876466	No	
row_44	AMACR	5710	-0.048158079385757446	-0.39383546	No	
row_45	PPP1CC	5823	-0.06712519377470016	-0.40439308	No	
row_46	BIRC3	5952	-0.08888650685548782	-0.4164128	No	
row_47	HIPK3	6246	-0.14423444867134094	-0.44415107	No	
row_48	ARMCX3	6327	-0.15994466841220856	-0.451268	No	
row_49	GPR155	6339	-0.16245189309120178	-0.45171455	No	
row_50	RBM5	6373	-0.17100924253463745	-0.45425245	No	
row_51	LCP1	6386	-0.17419493198394775	-0.45475107	No	
row_52	B3GNT2	6420	-0.18338005244731903	-0.45724213	No	
row_53	NLK	6526	-0.2059568613767624	-0.46659812	No	
row_54	RAB18	6675	-0.24339038133621216	-0.47996333	No	
row_55	SLC15A2	6719	-0.2536798417568207	-0.48315346	No	
row_56	ALG5	7004	-0.33061161637306213	-0.509317	No	
row_57	HIPK2	7152	-0.37272465229034424	-0.52209574	No	
row_58	NAPEPLD	7277	-0.4074402451515198	-0.5325228	No	
row_59	TSPAN6	7288	-0.41252419352531433	-0.5319256	No	
row_60	AFTPH	7323	-0.4251684248447418	-0.53359735	No	
row_61	FBXW7	7371	-0.44228073954582214	-0.53645927	No	
row_62	SOS1	7373	-0.44261109828948975	-0.5348793	No	
row_63	SRI	7379	-0.4446355402469635	-0.5336778	No	
row_64	CTSB	7463	-0.4762096107006073	-0.5398865	No	
row_65	MFNG	7544	-0.5097308158874512	-0.5456785	No	
row_66	SNX20	7591	-0.525559663772583	-0.5481284	No	
row_67	WIPI2	7684	-0.565713107585907	-0.55486685	No	
row_68	ATP10D	7755	-0.5938705205917358	-0.55937487	No	
row_69	AAGAB	7779	-0.6044475436210632	-0.55930567	No	
row_70	ALKBH4	7783	-0.6059989333152771	-0.5572999	No	
row_71	TOP2B	7878	-0.6433051228523254	-0.56393754	No	
row_72	ARAP1	7933	-0.6680675148963928	-0.56661993	No	
row_73	PIM1	7940	-0.6715916395187378	-0.56465536	No	
row_74	ULK2	8087	-0.7336375713348389	-0.5759706	No	
row_75	TBK1	8116	-0.7449130415916443	-0.57585204	No	
row_76	EAPP	8185	-0.7788662910461426	-0.5794663	No	
row_77	GPR18	8187	-0.7805295586585999	-0.5766064	No	
row_78	ACVR2A	8248	-0.8163962960243225	-0.57930624	No	
row_79	CYB561A3	8372	-0.8858936429023743	-0.58782446	No	
row_80	WDR26	8458	-0.9452769160270691	-0.5924495	No	
row_81	FEZ2	8491	-0.9608256816864014	-0.5918992	No	
row_82	ARHGAP18	8553	-1.0036951303482056	-0.59398615	No	
row_83	TMEM131	8618	-1.0404253005981445	-0.59622353	No	
row_84	VPS37B	8651	-1.0608692169189453	-0.5952944	No	
row_85	PRKAG1	8674	-1.0726804733276367	-0.5933552	No	
row_86	CRLF3	8792	-1.1378581523895264	-0.60033983	No	
row_87	CARD6	8818	-1.1638872623443604	-0.59834474	No	
row_88	BTG1	8843	-1.1930826902389526	-0.59614253	No	
row_89	GLRX	8928	-1.2564330101013184	-0.59949243	No	
row_90	GLCCI1	9013	-1.3266266584396362	-0.60257643	Yes	
row_91	ARL4C	9037	-1.3413797616958618	-0.599716	Yes	
row_92	RNH1	9044	-1.346976637840271	-0.59519327	Yes	
row_93	ARAP2	9118	-1.4296255111694336	-0.5968253	Yes	
row_94	MARK2	9156	-1.4672021865844727	-0.59483975	Yes	
row_95	TRPM4	9166	-1.475752353668213	-0.5901189	Yes	
row_96	DNAJA4	9176	-1.4933487176895142	-0.5853313	Yes	
row_97	ADAMTSL4	9184	-1.506495714187622	-0.5803009	Yes	
row_98	PLEKHO1	9227	-1.550732135772705	-0.5784817	Yes	
row_99	RORA	9249	-1.5698655843734741	-0.5745627	Yes	
row_100	WDR81	9278	-1.5954228639602661	-0.5712227	Yes	
row_101	LONP2	9290	-1.6077255010604858	-0.566195	Yes	
row_102	PRKCZ	9376	-1.7041059732437134	-0.5679458	Yes	
row_103	MOB3B	9407	-1.7363722324371338	-0.56426495	Yes	
row_104	BAZ2B	9419	-1.7562237977981567	-0.5586748	Yes	
row_105	NXPE3	9424	-1.7620359659194946	-0.5523869	Yes	
row_106	ATP2A3	9490	-1.858436942100525	-0.55162245	Yes	
row_107	MED13L	9493	-1.869950532913208	-0.5447327	Yes	
row_108	ULK1	9538	-1.932332992553711	-0.5416611	Yes	
row_109	DAZAP2	9595	-2.0289406776428223	-0.53938204	Yes	
row_110	TNFRSF1A	9604	-2.048508644104004	-0.5323952	Yes	
row_111	SMOX	9620	-2.0720715522766113	-0.52599484	Yes	
row_112	MAP3K5	9672	-2.1687748432159424	-0.5227034	Yes	
row_113	HADHB	9701	-2.2212138175964355	-0.5169931	Yes	
row_114	MYO6	9706	-2.229698657989502	-0.5089338	Yes	
row_115	EGLN2	9710	-2.2363626956939697	-0.50075275	Yes	
row_116	TOR2A	9724	-2.2613539695739746	-0.49344236	Yes	
row_117	CERS4	9749	-2.330456495285034	-0.48693213	Yes	
row_118	DOCK2	9760	-2.351470470428467	-0.47899082	Yes	
row_119	GPR68	9929	-2.715190887451172	-0.4849243	Yes	
row_120	TIAM1	9941	-2.7494029998779297	-0.47557226	Yes	
row_121	TRAF3IP3	9960	-2.79927659034729	-0.46670705	Yes	
row_122	POU6F1	9990	-2.880173683166504	-0.45859733	Yes	
row_123	SESN3	10043	-3.036569118499756	-0.4521155	Yes	
row_124	GTF2I	10086	-3.206472635269165	-0.44402483	Yes	
row_125	PTPRC	10093	-3.2255778312683105	-0.43238652	Yes	
row_126	PSAP	10113	-3.3156168460845947	-0.42166212	Yes	
row_127	TCF7	10154	-3.4658560752868652	-0.4123959	Yes	
row_128	CRMP1	10157	-3.466961145401001	-0.39945716	Yes	
row_129	ITPR3	10217	-3.7753260135650635	-0.3908529	Yes	
row_130	TGFBR2	10227	-3.8226187229156494	-0.37724277	Yes	
row_131	FAM20A	10262	-4.08832311630249	-0.36503962	Yes	
row_132	SMAP2	10305	-4.360650539398193	-0.35257724	Yes	
row_133	CD28	10320	-4.441049575805664	-0.3371074	Yes	
row_134	ILVBL	10328	-4.490283489227295	-0.3207753	Yes	
row_135	IL21	10334	-4.536722183227539	-0.30407423	Yes	
row_136	CNP	10352	-4.663058280944824	-0.28805307	Yes	
row_137	SBNO2	10387	-5.015576362609863	-0.27233776	Yes	
row_138	IL17RE	10388	-5.018841743469238	-0.2533279	Yes	
row_139	LPXN	10399	-5.192124843597412	-0.23462707	Yes	
row_140	POU2AF1	10419	-5.307130336761475	-0.21635942	Yes	
row_141	NDRG3	10428	-5.481781959533691	-0.19636837	Yes	
row_142	CDKN2D	10446	-5.779692649841309	-0.17611773	Yes	
row_143	SSH2	10448	-5.805904865264893	-0.15422326	Yes	
row_144	TGFB3	10461	-6.164294242858887	-0.1320332	Yes	
row_145	RORC	10475	-6.577271461486816	-0.10837543	Yes	
row_146	CXCR5	10476	-6.612388610839844	-0.08332971	Yes	
row_147	TRIB2	10482	-7.071285247802734	-0.057028495	Yes	
row_148	S1PR1	10497	-7.693912506103516	-0.029237771	Yes	
row_149	TNFRSF25	10500	-7.974005699157715	7.72275E-4	Yes	
