NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPIC	392	3.097787857055664	-0.023706727	No	
row_1	SLC16A10	516	2.8093278408050537	-0.0228224	No	
row_2	DPH5	638	2.5302743911743164	-0.023009619	No	
row_3	ATP8B4	1493	1.4585410356521606	-0.09862069	No	
row_4	TARBP2	1609	1.3674923181533813	-0.10349758	No	
row_5	GGT1	1633	1.3484549522399902	-0.09960348	No	
row_6	TACC2	1686	1.310718297958374	-0.098672286	No	
row_7	PADI2	1692	1.3074690103530884	-0.09323092	No	
row_8	CYB5RL	1707	1.294276237487793	-0.08871578	No	
row_9	DAPL1	1740	1.2716341018676758	-0.08603614	No	
row_10	LYNX1	1817	1.210089921951294	-0.08787136	No	
row_11	PCYOX1	2080	1.020184874534607	-0.10847383	No	
row_12	LYPD6B	2531	0.7864689230918884	-0.14823458	No	
row_13	PIK3R5	2766	0.686710000038147	-0.16765198	No	
row_14	SPOP	2863	0.6440607905387878	-0.17397676	No	
row_15	THEMIS	3059	0.5765212178230286	-0.19013862	No	
row_16	LAIR1	3197	0.5267273187637329	-0.20094216	No	
row_17	GFOD2	3309	0.48841074109077454	-0.20941612	No	
row_18	ZBTB7B	3327	0.4826715290546417	-0.20886631	No	
row_19	EME2	3801	0.3415146768093109	-0.25285697	No	
row_20	PLEKHF2	3944	0.30550625920295715	-0.265144	No	
row_21	MCTP2	4587	0.14601580798625946	-0.32629058	No	
row_22	QPCT	5162	0.04131142422556877	-0.38136482	No	
row_23	HS3ST3B1	5283	0.02191006951034069	-0.39281848	No	
row_24	PFKFB4	5461	-0.009501124732196331	-0.40981597	No	
row_25	CD40LG	5655	-0.039466988295316696	-0.4282181	No	
row_26	SLCO3A1	5756	-0.05781795457005501	-0.43758363	No	
row_27	CORO1C	5779	-0.06117762252688408	-0.4394245	No	
row_28	MAML2	5816	-0.06615743786096573	-0.44259068	No	
row_29	ITGB3	5874	-0.07494158297777176	-0.44773886	No	
row_30	METTL9	5949	-0.08847486227750778	-0.45446235	No	
row_31	SLC20A1	5993	-0.09565047919750214	-0.45816886	No	
row_32	MYO10	6143	-0.12323981523513794	-0.47195545	No	
row_33	TMIE	6356	-0.16709284484386444	-0.49160865	No	
