NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF8	13	6.579859733581543	0.024350625	Yes	
row_1	PNO1	31	5.830062389373779	0.045396913	Yes	
row_2	BCL2L11	50	5.4120917320251465	0.064720005	Yes	
row_3	IPO4	63	5.189187049865723	0.08375524	Yes	
row_4	HSPA9	100	4.595105171203613	0.09816013	Yes	
row_5	RCL1	110	4.508786678314209	0.11483729	Yes	
row_6	MRPL17	118	4.477055549621582	0.13158417	Yes	
row_7	RRP9	130	4.393106460571289	0.14761794	Yes	
row_8	DDX56	142	4.30035400390625	0.16329075	Yes	
row_9	EIF3G	151	4.25984525680542	0.17909573	Yes	
row_10	NCL	155	4.245023250579834	0.19532602	Yes	
row_11	PPRC1	163	4.174919605255127	0.21089707	Yes	
row_12	PPAT	176	4.081175804138184	0.22562033	Yes	
row_13	PTCD3	195	3.9644830226898193	0.23930986	Yes	
row_14	PRMT5	218	3.825890064239502	0.25207365	Yes	
row_15	RRP1B	220	3.8092150688171387	0.26680112	Yes	
row_16	SRSF6	296	3.436363697052002	0.27292922	Yes	
row_17	CLUH	324	3.322787046432495	0.28325212	Yes	
row_18	EXOSC2	368	3.179539918899536	0.29147193	Yes	
row_19	NUP54	371	3.1777596473693848	0.30364543	Yes	
row_20	GAR1	374	3.170020818710327	0.31578878	Yes	
row_21	CHSY1	397	3.0825767517089844	0.32565987	Yes	
row_22	POLR1B	452	2.934499979019165	0.3318635	Yes	
row_23	DDX21	460	2.9268064498901367	0.34257734	Yes	
row_24	CPD	479	2.8889482021331787	0.3520813	Yes	
row_25	SLC5A6	484	2.8659682273864746	0.3628482	Yes	
row_26	RAN	494	2.8468964099884033	0.37305787	Yes	
row_27	SERBP1	526	2.791968822479248	0.38092864	Yes	
row_28	ABCE1	543	2.7715656757354736	0.39016896	Yes	
row_29	SFXN1	554	2.73966383934021	0.39986473	Yes	
row_30	IDH3A	558	2.7161848545074463	0.41014534	Yes	
row_31	UTP18	567	2.6956472396850586	0.41986302	Yes	
row_32	EIF3D	583	2.6590957641601562	0.42876226	Yes	
row_33	EIF5B	627	2.5491981506347656	0.434529	Yes	
row_34	TMEM147	643	2.5165061950683594	0.44287336	Yes	
row_35	PPIF	673	2.4664180278778076	0.44967034	Yes	
row_36	RBPJ	691	2.440864086151123	0.45752713	Yes	
row_37	PRPF39	708	2.4110889434814453	0.4653646	Yes	
row_38	SAMSN1	734	2.3531298637390137	0.47210714	Yes	
row_39	TOMM20	796	2.2638473510742188	0.47502464	Yes	
row_40	EXOSC4	871	2.1690661907196045	0.47631747	Yes	
row_41	SRPRB	873	2.1657469272613525	0.48464915	Yes	
row_42	TMEM39A	900	2.124612808227539	0.4904058	Yes	
row_43	FCF1	903	2.119481325149536	0.49846083	Yes	
row_44	PLAGL2	919	2.1075215339660645	0.50521356	Yes	
row_45	PAICS	965	2.0372884273529053	0.50879496	Yes	
row_46	MEX3C	985	2.0056536197662354	0.51476485	Yes	
row_47	TESK1	1005	1.9800527095794678	0.52063507	Yes	
row_48	ZC3H15	1012	1.969024419784546	0.5277182	Yes	
row_49	PSMA2	1055	1.896748423576355	0.53104246	Yes	
row_50	FASTKD2	1077	1.8634841442108154	0.5362659	Yes	
row_51	RRS1	1087	1.8490773439407349	0.5425924	Yes	
row_52	RRP12	1091	1.8441919088363647	0.54947954	Yes	
row_53	IPO5	1152	1.7818317413330078	0.5506178	Yes	
row_54	ZPR1	1184	1.7464958429336548	0.55441993	Yes	
row_55	MRPS2	1237	1.6911718845367432	0.5559782	Yes	
row_56	NDC1	1257	1.6700509786605835	0.560642	Yes	
row_57	TOP1	1294	1.6327056884765625	0.56351835	Yes	
row_58	ZFR	1305	1.6206811666488647	0.56885946	Yes	
row_59	PGAM1	1330	1.5988037586212158	0.572763	Yes	
row_60	UTP6	1337	1.5914865732192993	0.5783769	Yes	
row_61	RIF1	1405	1.5359786748886108	0.5778822	Yes	
row_62	IRF4	1416	1.5249395370483398	0.5828507	Yes	
row_63	SERPINB9	1446	1.4980210065841675	0.5858791	Yes	
row_64	DPH2	1470	1.4809588193893433	0.5894206	Yes	
row_65	SRP19	1647	1.335991621017456	0.5776183	Yes	
row_66	AIMP1	1680	1.3137344121932983	0.5796397	Yes	
row_67	CLIC4	1698	1.302371621131897	0.5830658	Yes	
row_68	ABT1	1748	1.2659112215042114	0.5832589	Yes	
row_69	GRSF1	1766	1.2521402835845947	0.58648956	Yes	
row_70	ATP1A1	1843	1.190119981765747	0.5837795	Yes	
row_71	SLC25A22	1871	1.170497179031372	0.5857265	Yes	
row_72	PMPCA	1873	1.1701725721359253	0.59018373	Yes	
row_73	CDK12	1984	1.091678261756897	0.5838062	No	
row_74	UAP1	2013	1.070966362953186	0.5852692	No	
row_75	OGFOD1	2063	1.0331709384918213	0.5845566	No	
row_76	AKAP8	2111	1.0040037631988525	0.5839236	No	
row_77	UQCRC2	2117	0.9982542395591736	0.58732545	No	
row_78	AKAP1	2214	0.9472447037696838	0.58173823	No	
row_79	DDX49	2231	0.9364635944366455	0.583837	No	
row_80	MTRR	2258	0.9207877516746521	0.5849088	No	
row_81	ETS2	2360	0.8678755760192871	0.57852966	No	
row_82	LDHA	2436	0.8367278575897217	0.5745409	No	
