NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAP3	16	6.480844020843506	0.014668385	Yes	
row_1	WDR77	24	6.038822650909424	0.029100673	Yes	
row_2	NDUFAF4	30	5.845912456512451	0.043243602	Yes	
row_3	C1QBP	32	5.812370300292969	0.057689197	Yes	
row_4	HSPD1	42	5.5952887535095215	0.0708185	Yes	
row_5	GRWD1	49	5.446915626525879	0.083866514	Yes	
row_6	RSL1D1	58	5.337189197540283	0.09644671	Yes	
row_7	METTL1	65	5.024819850921631	0.108438656	Yes	
row_8	CHCHD4	72	4.921378135681152	0.12017181	Yes	
row_9	MRTO4	74	4.910591125488281	0.1323612	Yes	
row_10	NOP56	78	4.855929374694824	0.14422053	Yes	
row_11	NOP58	84	4.801177978515625	0.15574959	Yes	
row_12	MTAP	85	4.789093971252441	0.16773166	Yes	
row_13	NOP2	91	4.713138580322266	0.17904045	Yes	
row_14	WDR74	101	4.591402530670166	0.18965808	Yes	
row_15	COQ4	108	4.538275718688965	0.20043272	Yes	
row_16	RCL1	110	4.508786678314209	0.21161681	Yes	
row_17	MAGOHB	121	4.447060585021973	0.22177666	Yes	
row_18	FTSJ3	124	4.435980796813965	0.23268196	Yes	
row_19	ECI1	132	4.3715972900390625	0.24294293	Yes	
row_20	DDX56	142	4.30035400390625	0.25283238	Yes	
row_21	ATAD3A	144	4.294410705566406	0.26348013	Yes	
row_22	MRPS18B	145	4.292644023895264	0.27422008	Yes	
row_23	SLC7A5	147	4.288360118865967	0.28485268	Yes	
row_24	TRMT61A	148	4.282327175140381	0.29556683	Yes	
row_25	GPATCH4	157	4.244081020355225	0.30541214	Yes	
row_26	CCT3	166	4.142268180847168	0.3150027	Yes	
row_27	TMA16	179	4.058250904083252	0.32399645	Yes	
row_28	CCDC58	203	3.9221084117889404	0.3315865	Yes	
row_29	AIMP2	205	3.913670778274536	0.34128165	Yes	
row_30	CCT6A	207	3.906320571899414	0.3509584	Yes	
row_31	PSMG2	211	3.8847663402557373	0.36038795	Yes	
row_32	ECE2	214	3.878424644470215	0.3698983	Yes	
row_33	TIMM9	216	3.8439483642578125	0.379419	Yes	
row_34	CCND2	217	3.8307712078094482	0.38900337	Yes	
row_35	PRMT5	218	3.825890064239502	0.39857554	Yes	
row_36	EBI3	219	3.8196070194244385	0.408132	Yes	
row_37	RRP1B	220	3.8092150688171387	0.41766244	Yes	
row_38	SRM	224	3.7798802852630615	0.42682958	Yes	
row_39	EEF1D	231	3.7551968097686768	0.43564498	Yes	
row_40	PSME3	237	3.7232120037078857	0.44447705	Yes	
row_41	SLC19A1	252	3.652541399002075	0.45226246	Yes	
row_42	HK2	261	3.5615415573120117	0.46040007	Yes	
row_43	MPHOSPH10	269	3.5360121726989746	0.46857047	Yes	
row_44	RPP14	270	3.5332984924316406	0.47741058	Yes	
row_45	TSR2	294	3.4462897777557373	0.48381016	Yes	
row_46	PSMG1	298	3.4283275604248047	0.4920977	Yes	
row_47	THUMPD1	312	3.3666422367095947	0.49926448	Yes	
row_48	CLUH	324	3.322787046432495	0.5065148	Yes	
row_49	BSPRY	333	3.293255567550659	0.51398116	Yes	
row_50	WDR75	334	3.293093204498291	0.5222203	Yes	
