NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT10A	2	7.836968421936035	0.023704635	No	
row_1	CD83	47	5.451237678527832	0.03607511	No	
row_2	TNFSF11	67	5.015333652496338	0.04953251	No	
row_3	PPIC	392	3.097787857055664	0.02766543	No	
row_4	TNFRSF9	697	2.430006504058838	0.0056949584	No	
row_5	LDLRAD4	813	2.242253065109253	0.0014181165	No	
row_6	AGFG1	824	2.2248640060424805	0.007236118	No	
row_7	ARHGAP31	876	2.163715362548828	0.008905153	No	
row_8	TSPAN13	935	2.0795300006866455	0.009640949	No	
row_9	TTC3	1039	1.9311144351959229	0.0055750827	No	
row_10	FCRL1	1254	1.6729055643081665	-0.010005908	No	
row_11	EOMES	1523	1.4344391822814941	-0.03153298	No	
row_12	LCLAT1	1682	1.312557578086853	-0.042800613	No	
row_13	DAPL1	1740	1.2716341018676758	-0.044431757	No	
row_14	STAT1	1746	1.2662103176116943	-0.041053824	No	
row_15	FAM210A	1920	1.1340858936309814	-0.054315384	No	
row_16	LUC7L2	2205	0.9563838243484497	-0.078846574	No	
row_17	TSPAN3	2256	0.9222176671028137	-0.080866694	No	
row_18	CYTH3	2300	0.894260823726654	-0.082295544	No	
row_19	FAM104A	2624	0.7514905333518982	-0.11122074	No	
row_20	TRIM35	2664	0.7330752015113831	-0.11275452	No	
row_21	LRRC42	2803	0.6701579689979553	-0.12404815	No	
row_22	SP6	2819	0.6631410717964172	-0.12347567	No	
row_23	PRICKLE1	3026	0.5876520872116089	-0.14159285	No	
row_24	COTL1	3035	0.5844356417655945	-0.14058384	No	
row_25	ARHGAP5	3061	0.5757630467414856	-0.14124429	No	
row_26	ST8SIA6	3115	0.557076632976532	-0.1446678	No	
row_27	FAM3C	3504	0.4280962646007538	-0.18086116	No	
row_28	KDM6B	3585	0.4035218358039856	-0.18736239	No	
row_29	BAG3	3707	0.3685348629951477	-0.19793278	No	
row_30	CERS6	3738	0.3598279058933258	-0.19973493	No	
row_31	CCDC141	3752	0.3558439612388611	-0.19990622	No	
row_32	WFS1	3769	0.352314293384552	-0.20037822	No	
row_33	CD81	3953	0.3018966317176819	-0.21714391	No	
row_34	TFCP2	3958	0.30062755942344666	-0.21661377	No	
row_35	NFIX	4201	0.24009838700294495	-0.23927003	No	
row_36	SALL2	4228	0.23308205604553223	-0.24107209	No	
row_37	SYNPO	4308	0.21526038646697998	-0.24805073	No	
row_38	TOX	4328	0.21205328404903412	-0.24924038	No	
row_39	DLG3	4475	0.17568185925483704	-0.26281503	No	
row_40	CNPY4	4547	0.15525418519973755	-0.26920348	No	
row_41	DUSP10	4839	0.09873043745756149	-0.29702652	No	
row_42	LRIG1	5045	0.06197651848196983	-0.31665003	No	
row_43	DGKD	5166	0.0405828133225441	-0.32812384	No	
row_44	IZUMO1R	5199	0.034664977341890335	-0.33111084	No	
