NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPRK	52	5.405017852783203	0.017747395	No	
row_1	DUSP22	111	4.50754451751709	0.031135218	No	
row_2	PLAC8	114	4.489916801452637	0.04985472	No	
row_3	CPD	479	2.8889482021331787	0.026885109	No	
row_4	CRELD2	1158	1.7704874277114868	-0.031107523	No	
row_5	IRAK2	1429	1.5144773721694946	-0.050792485	No	
row_6	AIMP1	1680	1.3137344121932983	-0.06939234	No	
row_7	PRRC1	1771	1.2490370273590088	-0.0728192	No	
row_8	PDIA6	1940	1.1209138631820679	-0.084315434	No	
row_9	ID2	2030	1.0556106567382812	-0.08846052	No	
row_10	SLC35B1	2137	0.9892599582672119	-0.09452618	No	
row_11	RFC3	2146	0.9860947132110596	-0.09114479	No	
row_12	MED30	2199	0.9596517086029053	-0.09212231	No	
row_13	FNDC3A	2298	0.896003782749176	-0.0978085	No	
row_14	RAB11FIP1	2881	0.6354473829269409	-0.15131488	No	
row_15	SEC61G	2985	0.6014508008956909	-0.15872447	No	
row_16	THEMIS	3059	0.5765212178230286	-0.16334306	No	
row_17	MANF	3162	0.5381234884262085	-0.17092286	No	
row_18	ZBTB21	3380	0.46760788559913635	-0.18990116	No	
row_19	FAU	3449	0.44550788402557373	-0.19458891	No	
row_20	SH3RF1	3505	0.427676796913147	-0.19809683	No	
row_21	PLEK	3617	0.3936557173728943	-0.20715399	No	
row_22	RANBP9	3745	0.3583941161632538	-0.21790421	No	
row_23	GCH1	4045	0.2766793966293335	-0.24560256	No	
row_24	CHM	4498	0.1695207953453064	-0.28852206	No	
row_25	GOLGB1	4538	0.15702909231185913	-0.29162547	No	
row_26	SNAPC1	4539	0.15681035816669464	-0.29096493	No	
row_27	MCTP2	4587	0.14601580798625946	-0.294887	No	
row_28	SH3GLB1	4604	0.14370141923427582	-0.29582626	No	
row_29	TNIP1	4729	0.11763042956590652	-0.30730104	No	
row_30	INTS12	4731	0.11736852675676346	-0.30690318	No	
row_31	TMEM218	4819	0.10304763168096542	-0.31486762	No	
row_32	PPP1R3B	4833	0.10008014738559723	-0.315701	No	
row_33	ALCAM	4856	0.09541144222021103	-0.31742287	No	
row_34	NEK6	4862	0.09420933574438095	-0.3175087	No	
row_35	CRCP	4938	0.08188577741384506	-0.32440388	No	
row_36	ENPP2	5116	0.04842906817793846	-0.34128645	No	
row_37	COX7A1	5221	0.03161778673529625	-0.35119286	No	
row_38	TRAF1	5225	0.03144509345293045	-0.35135	No	
row_39	SLC39A14	5305	0.01823180913925171	-0.35889944	No	
row_40	PPM1J	5407	-0.0015967689687386155	-0.3686427	No	
row_41	PFKFB4	5461	-0.009501124732196331	-0.37371898	No	
row_42	EIF2B2	5608	-0.03361482545733452	-0.3876714	No	
row_43	CCNI	5721	-0.05011192709207535	-0.3982722	No	
row_44	AMZ2	5741	-0.05441797524690628	-0.39987713	No	
row_45	EHD4	5899	-0.0792982429265976	-0.41469902	No	
row_46	STOM	5941	-0.08727029711008072	-0.4182893	No	
row_47	STX7	5954	-0.08913365751504898	-0.41907227	No	
row_48	GOLGA7	5968	-0.09140808880329132	-0.4199422	No	
row_49	MYO10	6143	-0.12323981523513794	-0.43622005	No	
row_50	GEM	6203	-0.13467556238174438	-0.4413483	No	
row_51	DDIT3	6206	-0.1352464109659195	-0.4409717	No	
row_52	ARMCX3	6327	-0.15994466841220856	-0.4518821	No	
row_53	MAP2K6	6401	-0.17888788878917694	-0.4581756	No	
row_54	PAQR8	6450	-0.18832018971443176	-0.462016	No	
row_55	MFHAS1	6559	-0.21243785321712494	-0.47154686	No	
row_56	RNF149	6656	-0.23658715188503265	-0.47981763	No	
row_57	ITM2C	6662	-0.2388169765472412	-0.47929433	No	
row_58	DDR1	6745	-0.2599541246891022	-0.48611516	No	
row_59	NDST1	6762	-0.26392775774002075	-0.486548	No	
row_60	CDS2	6792	-0.2709536552429199	-0.48820618	No	
row_61	TWSG1	6806	-0.2760334312915802	-0.48829842	No	
row_62	SDF4	7015	-0.33366379141807556	-0.5069721	No	
row_63	CST7	7044	-0.34036770462989807	-0.50824136	No	
row_64	MDM2	7194	-0.3838205933570862	-0.52100825	No	
row_65	TSPAN6	7288	-0.41252419352531433	-0.5282483	No	
row_66	DCTN4	7409	-0.45688506960868835	-0.5379079	No	
row_67	FTH1	7455	-0.4726134240627289	-0.5402612	No	
row_68	HS1BP3	7492	-0.4885006248950958	-0.5416788	No	
row_69	CSNK1G3	7650	-0.5506094694137573	-0.55451536	No	
row_70	GADD45G	7698	-0.5703427195549011	-0.5566501	No	
row_71	GPR171	7782	-0.6057239770889282	-0.56211096	No	
row_72	ARAP1	7933	-0.6680675148963928	-0.5737771	No	
row_73	STARD5	7988	-0.6868079900741577	-0.57609695	No	
row_74	USP3	8017	-0.7003816962242126	-0.5758498	No	
row_75	RAPGEF5	8038	-0.7085752487182617	-0.5747958	No	
row_76	CYFIP2	8042	-0.7111965417861938	-0.5720896	No	
row_77	DRAM2	8076	-0.7254728078842163	-0.57221943	No	
row_78	MED10	8093	-0.7353121042251587	-0.5706667	No	
row_79	SLAMF1	8097	-0.7358255386352539	-0.5678568	No	
row_80	SMIM3	8113	-0.7426502108573914	-0.5661766	No	
row_81	GPR18	8187	-0.7805295586585999	-0.56993586	No	
row_82	CRBN	8206	-0.7926198840141296	-0.56833476	No	
row_83	APPL2	8223	-0.8021414279937744	-0.5665005	No	
row_84	ZADH2	8258	-0.8230414986610413	-0.5663158	No	
row_85	PIWIL2	8314	-0.8481380343437195	-0.56805265	No	
row_86	PHF7	8327	-0.8555642366409302	-0.56560725	No	
row_87	TBCEL	8438	-0.9361965656280518	-0.57228255	No	
row_88	SCCPDH	8517	-0.9778880476951599	-0.57569313	No	
row_89	DGAT1	8562	-1.0080204010009766	-0.5756947	No	
row_90	CHD7	8612	-1.0361218452453613	-0.5760605	No	
row_91	PRKCH	8661	-1.0647869110107422	-0.57620895	No	
row_92	TNFSF14	8754	-1.119562029838562	-0.5803743	No	
row_93	PAIP2	8854	-1.2047653198242188	-0.58485645	No	
row_94	CMAS	8898	-1.2315305471420288	-0.5838199	No	
row_95	SERTAD1	8972	-1.292659878730774	-0.585422	Yes	
row_96	NDRG1	8981	-1.3053408861160278	-0.58069587	Yes	
row_97	FRMD4B	9014	-1.3271347284317017	-0.57819474	Yes	
row_98	VILL	9016	-1.329986572265625	-0.57268906	Yes	
row_99	ETV6	9021	-1.3307774066925049	-0.56746966	Yes	
row_100	RNH1	9044	-1.346976637840271	-0.56391966	Yes	
row_101	RAB26	9066	-1.3755812644958496	-0.5601526	Yes	
row_102	TRPM4	9166	-1.475752353668213	-0.5634933	Yes	
row_103	CD200	9199	-1.5258013010025024	-0.5601554	Yes	
row_104	TMEM43	9200	-1.5262739658355713	-0.5537264	Yes	
row_105	PARP16	9244	-1.5665947198867798	-0.5512785	Yes	
row_106	EHBP1L1	9279	-1.5969544649124146	-0.5478339	Yes	
row_107	NUCB2	9286	-1.6043180227279663	-0.54165536	Yes	
row_108	ALDH3A2	9302	-1.6207354068756104	-0.53627646	Yes	
row_109	ITGA3	9335	-1.6545482873916626	-0.5323962	Yes	
row_110	POLD4	9372	-1.6965627670288086	-0.52872515	Yes	
row_111	CASP6	9452	-1.801962971687317	-0.5287611	Yes	
row_112	NFE2L2	9486	-1.852473497390747	-0.52414364	Yes	
row_113	SMOX	9620	-2.0720715522766113	-0.5282547	Yes	
row_114	ANXA2	9637	-2.100144386291504	-0.52095294	Yes	
row_115	YPEL5	9649	-2.123896837234497	-0.5130685	Yes	
row_116	BNIP3L	9665	-2.1569082736968994	-0.5054311	Yes	
row_117	CELA1	9708	-2.2325565814971924	-0.5000815	Yes	
row_118	MALT1	9709	-2.2331531047821045	-0.49067494	Yes	
row_119	CREB3L2	9823	-2.471005439758301	-0.4911749	Yes	
