NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENO3	14	6.530847549438477	0.019853253	Yes	
row_1	RPF2	22	6.088015079498291	0.038945336	Yes	
row_2	WDR77	24	6.038822650909424	0.058457784	Yes	
row_3	BID	27	5.961404800415039	0.07762216	Yes	
row_4	NDUFAF4	30	5.845912456512451	0.09641152	Yes	
row_5	PPAN	35	5.748079776763916	0.11468982	Yes	
row_6	SWAP70	37	5.738617897033691	0.13322745	Yes	
row_7	HSPD1	42	5.5952887535095215	0.15100962	Yes	
row_8	CD83	47	5.451237678527832	0.16832402	Yes	
row_9	PTGER4	56	5.3617262840271	0.18496104	Yes	
row_10	ERGIC1	59	5.327289581298828	0.20206633	Yes	
row_11	ATAD3A	144	4.294410705566406	0.2078896	Yes	
row_12	GPATCH4	157	4.244081020355225	0.22051069	Yes	
row_13	MTDH	161	4.183718681335449	0.23380592	Yes	
row_14	CCT3	166	4.142268180847168	0.24686986	Yes	
row_15	TBRG4	174	4.0942583084106445	0.25948787	Yes	
row_16	PTCD3	195	3.9644830226898193	0.27042758	Yes	
row_17	CCDC58	203	3.9221084117889404	0.2824866	Yes	
row_18	NRP1	215	3.874541759490967	0.29400438	Yes	
row_19	PDCD1LG2	230	3.756155252456665	0.30484772	Yes	
row_20	PENK	265	3.5518147945404053	0.31309384	Yes	
row_21	RPP14	270	3.5332984924316406	0.32418036	Yes	
row_22	FKBP3	273	3.513396978378296	0.3353956	Yes	
row_23	PLA1A	279	3.4994022846221924	0.3462754	Yes	
row_24	TSR2	294	3.4462897777557373	0.35611254	Yes	
row_25	POP1	315	3.353630781173706	0.36506867	Yes	
row_26	RUVBL1	329	3.3010473251342773	0.37453088	Yes	
row_27	WDR61	335	3.291626214981079	0.38473597	Yes	
row_28	NAF1	365	3.2023470401763916	0.39233074	Yes	
row_29	ELL2	421	3.014075994491577	0.39680037	Yes	
row_30	FAM111A	423	3.010160446166992	0.4064782	Yes	
row_31	PRMT3	426	3.0083892345428467	0.41605362	Yes	
row_32	TXNL4A	436	2.9675939083099365	0.42481977	Yes	
row_33	TSR1	466	2.9159536361694336	0.43148455	Yes	
row_34	SEC11C	490	2.8496668338775635	0.4385142	Yes	
row_35	DHX33	512	2.815446138381958	0.4456261	Yes	
row_36	TTC27	533	2.7842628955841064	0.45273343	Yes	
row_37	UTP20	572	2.6815292835235596	0.45776686	Yes	
row_38	PSMA5	574	2.6788904666900635	0.466369	Yes	
row_39	NDUFA12	603	2.6164188385009766	0.47215784	Yes	
row_40	CAPN3	606	2.6070806980133057	0.48043013	Yes	
row_41	GTF2H1	663	2.4859423637390137	0.48308814	Yes	
row_42	PSMD11	672	2.468003273010254	0.4903287	Yes	
row_43	ITGB1	726	2.3575551509857178	0.49285987	Yes	
row_44	SAMSN1	734	2.3531298637390137	0.4998241	Yes	
row_45	PTPN11	740	2.347698926925659	0.5069641	Yes	
row_46	METAP2	750	2.3296051025390625	0.5136586	Yes	
row_47	LARP4	777	2.2853972911834717	0.5185659	Yes	
row_48	GSTO1	799	2.2591562271118164	0.5238714	Yes	
row_49	ANKRD49	851	2.19596791267395	0.52607125	Yes	
row_50	DDX3X	857	2.1897435188293457	0.53269833	Yes	
row_51	RBMXL1	879	2.158264636993408	0.5376762	Yes	
row_52	FAR1	884	2.1491403579711914	0.54426813	Yes	
row_53	LRPPRC	949	2.0660817623138428	0.5447893	Yes	
row_54	FANCF	954	2.063983917236328	0.5511047	Yes	
row_55	SLC16A1	961	2.042922258377075	0.55715835	Yes	
row_56	BZW2	973	2.0240466594696045	0.56266725	Yes	
row_57	RIOK2	1040	1.930647373199463	0.5625553	Yes	
row_58	AEN	1078	1.862473726272583	0.56502575	Yes	
row_59	DNAJA1	1099	1.832223653793335	0.56904167	Yes	
row_60	HGH1	1105	1.8250702619552612	0.5744846	Yes	
row_61	ASF1A	1113	1.821175456047058	0.57972145	Yes	
row_62	SHQ1	1135	1.7969648838043213	0.5835262	Yes	
row_63	CBX1	1137	1.7949566841125488	0.589258	Yes	
row_64	GPN1	1180	1.7489041090011597	0.59087634	Yes	
row_65	TIPIN	1229	1.7008109092712402	0.5917583	Yes	
row_66	PHLDA1	1236	1.691545844078064	0.596671	Yes	
row_67	NDC1	1257	1.6700509786605835	0.60016024	Yes	
row_68	THAP1	1300	1.625319480895996	0.60137725	Yes	
row_69	RPN1	1307	1.618484616279602	0.60605264	Yes	
row_70	CDC25A	1333	1.5965558290481567	0.60881984	Yes	
row_71	WDR3	1403	1.5380481481552124	0.607143	Yes	
row_72	SARNP	1435	1.5063928365707397	0.60903734	Yes	
row_73	METTL17	1441	1.500835657119751	0.6134274	Yes	
row_74	FAM98B	1459	1.489835262298584	0.6166215	Yes	
row_75	BLZF1	1461	1.4889471530914307	0.6213597	Yes	
row_76	IL15RA	1480	1.470443606376648	0.6243942	Yes	
row_77	ATP8B4	1493	1.4585410356521606	0.62797016	Yes	
row_78	RPIA	1521	1.4382972717285156	0.6300301	Yes	
row_79	EOMES	1523	1.4344391822814941	0.6345913	Yes	
row_80	SOCS5	1537	1.4227523803710938	0.6379543	Yes	
row_81	UBE2E1	1548	1.4113298654556274	0.6415703	Yes	
row_82	ALG8	1571	1.397263765335083	0.64398044	Yes	
row_83	NEFH	1582	1.3856545686721802	0.6475131	Yes	
row_84	TBP	1586	1.3815211057662964	0.6517091	Yes	
row_85	SNRNP40	1629	1.3543497323989868	0.65204614	Yes	
row_86	CMTM7	1654	1.3320438861846924	0.6540511	Yes	
row_87	DR1	1675	1.3176538944244385	0.65639615	Yes	
row_88	ELP2	1685	1.3109264373779297	0.65978277	Yes	
row_89	COMTD1	1687	1.3105597496032715	0.66394174	Yes	
row_90	NUP85	1694	1.3062076568603516	0.6676031	Yes	
row_91	AIM2	1697	1.3026505708694458	0.6716397	Yes	
row_92	ISG20L2	1757	1.2607481479644775	0.6700292	Yes	
row_93	USP15	1831	1.2017498016357422	0.6668736	Yes	
row_94	RAD50	1837	1.194657802581787	0.6702694	Yes	
