NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RUNX2	61	5.260974407196045	0.020645887	No	
row_1	GBP5	206	3.9100093841552734	0.026498614	No	
row_2	COBLL1	852	2.194429636001587	-0.024491033	No	
row_3	HNRNPLL	1200	1.7276579141616821	-0.049165472	No	
row_4	TMEM109	1247	1.6795644760131836	-0.045126062	No	
row_5	TFEB	1561	1.4006112813949585	-0.06817794	No	
row_6	CALHM2	1631	1.3506006002426147	-0.06800903	No	
row_7	TTC32	1880	1.1672923564910889	-0.08598377	No	
row_8	TET1	2004	1.0770604610443115	-0.09238824	No	
row_9	PPP1R21	2125	0.995190441608429	-0.09891673	No	
row_10	SLC25A37	2549	0.7780717015266418	-0.13568807	No	
row_11	LPAR5	2907	0.6253076791763306	-0.1668801	No	
row_12	HEMGN	2913	0.6232326626777649	-0.16422015	No	
row_13	YPEL2	3130	0.5514518022537231	-0.18222019	No	
row_14	GTF2IRD1	3394	0.463026225566864	-0.20518726	No	
row_15	HCFC2	3424	0.4541482627391815	-0.20568827	No	
row_16	ADGRE5	3682	0.37315452098846436	-0.22853108	No	
row_17	SKA1	3731	0.3621281683444977	-0.23132364	No	
row_18	CD81	3953	0.3018966317176819	-0.25106236	No	
row_19	PTPN4	4137	0.2556186020374298	-0.26737875	No	
row_20	PRKAR2B	4563	0.15081685781478882	-0.3075037	No	
row_21	MCTP2	4587	0.14601580798625946	-0.3089804	No	
row_22	GSTP1	4712	0.12232507020235062	-0.32029274	No	
row_23	KLHL5	5015	0.0673660933971405	-0.34900564	No	
row_24	AURKA	5215	0.03251472860574722	-0.3679856	No	
row_25	TRIM59	5251	0.027379512786865234	-0.37121463	No	
row_26	CKLF	5371	0.0058255731128156185	-0.3826331	No	
row_27	RBL1	5400	-5.125459865666926E-4	-0.3853241	No	
row_28	MTMR4	5476	-0.012106678448617458	-0.39247808	No	
row_29	SMARCA2	5530	-0.01959836110472679	-0.39747792	No	
row_30	SH3BP1	5578	-0.027833200991153717	-0.40185905	No	
row_31	BRWD1	5602	-0.0327126681804657	-0.4039068	No	
row_32	DCTN5	5642	-0.03725035861134529	-0.40747085	No	
row_33	GLO1	5736	-0.05358201265335083	-0.41614744	No	
row_34	LTF	5762	-0.058698948472738266	-0.4182566	No	
row_35	STOM	5941	-0.08727029711008072	-0.4349404	No	
row_36	UBE2L6	6145	-0.12339534610509872	-0.45384714	No	
row_37	MAPK14	6208	-0.1355065107345581	-0.45912862	No	
row_38	PPP1R9B	6270	-0.1483168751001358	-0.46424934	No	
row_39	ZBTB1	6394	-0.17756924033164978	-0.47518706	No	
row_40	RAPGEF4	6424	-0.18399743735790253	-0.47704956	No	
row_41	ESCO2	6454	-0.18981647491455078	-0.47888273	No	
row_42	SOAT1	6470	-0.19362320005893707	-0.4793499	No	
row_43	DCLK2	6560	-0.21276827156543732	-0.4868394	No	
row_44	PRCP	6673	-0.24228347837924957	-0.49639276	No	
row_45	MBD5	6772	-0.26676881313323975	-0.50447595	No	
row_46	SGK3	6782	-0.2691556513309479	-0.5039852	No	
row_47	CRAT	6821	-0.27976661920547485	-0.5062309	No	
row_48	DPP4	6840	-0.2846488952636719	-0.5065279	No	
row_49	TOP2A	6863	-0.29128628969192505	-0.50717634	No	
row_50	FRMD4A	7012	-0.3323424160480499	-0.519739	No	
row_51	ZDHHC2	7050	-0.3416605591773987	-0.5215765	No	
row_52	SNX20	7591	-0.525559663772583	-0.5708759	No	
row_53	FAM222A	7603	-0.5293797850608826	-0.56926614	No	
row_54	KIF23	7724	-0.5796715617179871	-0.5778887	No	
row_55	RSU1	7753	-0.5931225419044495	-0.57759315	No	
row_56	PDE1B	7800	-0.6102997064590454	-0.57894254	No	
row_57	ITSN2	8002	-0.6931973099708557	-0.5947852	No	
row_58	ADAM15	8025	-0.7029476761817932	-0.59335893	No	
row_59	TLR6	8158	-0.7671622037887573	-0.60219103	No	
row_60	ZZEF1	8423	-0.927331805229187	-0.6229143	No	
row_61	PI4KB	8473	-0.9534448385238647	-0.622823	No	
row_62	GOLPH3L	8688	-1.0823167562484741	-0.6379552	No	
row_63	FERMT3	8701	-1.0900110006332397	-0.63361615	No	
row_64	SMO	8767	-1.1261943578720093	-0.6341934	No	
row_65	EPSTI1	8909	-1.2369627952575684	-0.6415236	No	
row_66	GRAP2	8930	-1.257421612739563	-0.63711053	No	
row_67	MAPRE3	8971	-1.2914854288101196	-0.6344497	No	
row_68	TRPV2	9039	-1.3440173864364624	-0.6341216	No	
row_69	RGL2	9051	-1.3521157503128052	-0.62836546	No	
row_70	CAMK2D	9287	-1.6052401065826416	-0.6428824	Yes	
row_71	TUG1	9375	-1.70368230342865	-0.6426657	Yes	
row_72	FBXO32	9436	-1.7783372402191162	-0.6394753	Yes	
row_73	ARHGAP9	9456	-1.808199405670166	-0.63219017	Yes	
row_74	PITPNC1	9467	-1.8239916563034058	-0.62395966	Yes	
row_75	TMEM176A	9524	-1.9093605279922485	-0.61972415	Yes	
row_76	ABCD1	9534	-1.9262592792510986	-0.61088204	Yes	
row_77	SAMHD1	9578	-2.0054101943969727	-0.60491186	Yes	
row_78	TMEM59	9587	-2.0212819576263428	-0.5954947	Yes	
row_79	TMEM106B	9594	-2.028791666030884	-0.5858472	Yes	
row_80	ST3GAL1	9626	-2.0801479816436768	-0.57834595	Yes	
row_81	KLF2	9693	-2.2065987586975098	-0.5735744	Yes	
row_82	CERS4	9749	-2.330456495285034	-0.56712043	Yes	
row_83	TMEM9B	9756	-2.3397529125213623	-0.5559059	Yes	
row_84	ANKRD44	9793	-2.4125003814697266	-0.54721063	Yes	
row_85	GDI1	9795	-2.41322660446167	-0.5351447	Yes	
row_86	MOB3A	9822	-2.4684085845947266	-0.52520573	Yes	
row_87	MBOAT1	9831	-2.481912612915039	-0.513467	Yes	
row_88	FUT8	9849	-2.520073652267456	-0.5024018	Yes	
row_89	TREML2	9912	-2.655015707015991	-0.49498558	Yes	
row_90	VRK3	9927	-2.710294008255005	-0.48267314	Yes	
row_91	PXMP4	9934	-2.721773624420166	-0.46953323	Yes	
row_92	MICAL1	9957	-2.793658494949341	-0.45757025	Yes	
row_93	PRKD2	10028	-2.9795100688934326	-0.44928822	Yes	
row_94	ANO6	10037	-3.0113272666931152	-0.43488142	Yes	
row_95	S100A6	10095	-3.2428557872772217	-0.42402157	Yes	
row_96	KCNA2	10141	-3.4292373657226562	-0.41106802	Yes	
