NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTA	6	7.378170490264893	0.03506704	Yes	
row_1	LAP3	16	6.480844020843506	0.0655098	Yes	
row_2	C1QBP	32	5.812370300292969	0.09214479	Yes	
row_3	HSPD1	42	5.5952887535095215	0.118309274	Yes	
row_4	NOP56	78	4.855929374694824	0.138396	Yes	
row_5	HSPA9	100	4.595105171203613	0.15857188	Yes	
row_6	RRP9	130	4.393106460571289	0.17700088	Yes	
row_7	BYSL	156	4.244655609130859	0.19509819	Yes	
row_8	MYBBP1A	159	4.208714008331299	0.21523851	Yes	
row_9	PPRC1	163	4.174919605255127	0.23511918	Yes	
row_10	TNFRSF4	180	4.043571949005127	0.2531124	Yes	
row_11	SNHG1	191	3.991525411605835	0.27143243	Yes	
row_12	SNRPD3	196	3.9591190814971924	0.29017416	Yes	
row_13	CCND2	217	3.8307712078094482	0.30675378	Yes	
row_14	TXN2	232	3.7528345584869385	0.32353517	Yes	
row_15	WDR4	246	3.6724400520324707	0.3400245	Yes	
row_16	RANBP1	263	3.5571353435516357	0.35566765	Yes	
row_17	NOB1	267	3.5448877811431885	0.37250453	Yes	
row_18	NME1	281	3.48171067237854	0.38807243	Yes	
row_19	PUSL1	342	3.2752764225006104	0.3981133	Yes	
row_20	EXOSC7	344	3.2569289207458496	0.41375175	Yes	
row_21	SLC5A6	484	2.8659682273864746	0.4142015	Yes	
row_22	ELAC2	498	2.8412015438079834	0.42667496	Yes	
row_23	ATXN1	500	2.8368144035339355	0.44028375	Yes	
row_24	AGPAT5	547	2.7621889114379883	0.4491951	Yes	
row_25	NUDC	564	2.70238995552063	0.46070883	Yes	
row_26	RPS19BP1	665	2.481886148452759	0.46306163	Yes	
row_27	DDX31	676	2.459876298904419	0.47398198	Yes	
row_28	MYO19	679	2.4528887271881104	0.4856396	Yes	
row_29	THOP1	680	2.451569080352783	0.49748358	Yes	
row_30	PPP5C	747	2.3349246978759766	0.5024032	Yes	
row_31	MRPL55	759	2.3091914653778076	0.51249915	Yes	
row_32	AHSA1	801	2.256523370742798	0.5194494	Yes	
row_33	MIR17HG	806	2.248666524887085	0.5299277	Yes	
row_34	STIP1	832	2.217149257659912	0.5382297	Yes	
row_35	ERH	885	2.1491353511810303	0.543601	Yes	
row_36	YWHAE	901	2.121267318725586	0.55240357	Yes	
row_37	CCNH	945	2.0689280033111572	0.5582548	Yes	
row_38	PAICS	965	2.0372884273529053	0.5662662	Yes	
row_39	FASN	979	2.0140769481658936	0.5747436	Yes	
row_40	SMN1	1014	1.9678218364715576	0.58097374	Yes	
row_41	RRP12	1091	1.8441919088363647	0.5825588	Yes	
row_42	IPO5	1152	1.7818317413330078	0.58538455	Yes	
