NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RIPK2	699	2.424180746078491	-0.058197074	No	
row_1	NCF4	778	2.284764289855957	-0.056931246	No	
row_2	HERPUD1	817	2.2387709617614746	-0.051977877	No	
row_3	STAMBPL1	819	2.2355799674987793	-0.043461923	No	
row_4	PDCD4	995	1.9993435144424438	-0.052667663	No	
row_5	NFIC	1621	1.3579256534576416	-0.10782272	No	
row_6	PRDM1	1695	1.303663730621338	-0.1098535	No	
row_7	RPS19	1859	1.1772502660751343	-0.121066935	No	
row_8	TTC32	1880	1.1672923564910889	-0.118502304	No	
row_9	PACS2	2178	0.9692184329032898	-0.14346404	No	
row_10	IRF1	2314	0.888796865940094	-0.15308343	No	
row_11	PSMB9	2558	0.7718732953071594	-0.17358805	No	
row_12	TAGLN2	2644	0.7401092648506165	-0.17894934	No	
row_13	ME2	2889	0.6304402351379395	-0.20009544	No	
row_14	SLC39A7	3046	0.5801517367362976	-0.21293287	No	
row_15	MAFK	3118	0.5559241771697998	-0.21765108	No	
row_16	CLYBL	3182	0.5328283905982971	-0.2216853	No	
row_17	PLEKHA1	3194	0.5272725820541382	-0.22071679	No	
row_18	SMC6	3205	0.5232197046279907	-0.21966727	No	
row_19	SCLY	3207	0.522937536239624	-0.21774927	No	
row_20	ARFIP1	3442	0.4487529397010803	-0.23862915	No	
row_21	GIMAP5	3443	0.44809818267822266	-0.23690285	No	
row_22	PSEN2	3456	0.4439411461353302	-0.23635198	No	
row_23	NAGPA	3630	0.3879293203353882	-0.25157246	No	
row_24	XKR8	3811	0.3399738073348999	-0.26765403	No	
row_25	TEC	3938	0.3073485493659973	-0.27864388	No	
row_26	LIMD1	4357	0.20567311346530914	-0.318238	No	
row_27	KLHL21	4611	0.14237968623638153	-0.3421339	No	
row_28	TOM1	4942	0.08134845644235611	-0.37370458	No	
row_29	SFT2D2	4955	0.07832247018814087	-0.37456226	No	
row_30	MTRF1L	5224	0.03154610097408295	-0.40033445	No	
row_31	TAPBPL	5376	0.005018854048103094	-0.41490448	No	
row_32	SMARCA2	5530	-0.01959836110472679	-0.4296116	No	
row_33	PPP1R15B	5533	-0.020135685801506042	-0.42972726	No	
row_34	IDNK	5715	-0.04961119964718819	-0.44702405	No	
row_35	EFR3A	5888	-0.07813707739114761	-0.4633414	No	
row_36	RBM33	5896	-0.07907388359308243	-0.46371308	No	
row_37	XPC	6247	-0.1445593684911728	-0.4969726	No	
row_38	MTA3	6279	-0.14990860223770142	-0.49939024	No	
row_39	ELAC1	6331	-0.16080231964588165	-0.5036983	No	
row_40	TMIE	6356	-0.16709284484386444	-0.5053734	No	
row_41	ZBTB2	6429	-0.18460986018180847	-0.51161873	No	
row_42	RBM43	6556	-0.21141476929187775	-0.5229781	No	
row_43	DUSP11	6602	-0.22482390701770782	-0.5264598	No	
row_44	MNT	6731	-0.2569928467273712	-0.5378369	No	
row_45	ANGEL1	6763	-0.2646562159061432	-0.5398125	No	
row_46	LRRC1	6766	-0.26479923725128174	-0.5389856	No	
row_47	WDR41	6814	-0.2788397967815399	-0.54245245	No	
row_48	ANKFY1	6883	-0.29655224084854126	-0.54788	No	
row_49	MBP	6895	-0.29976174235343933	-0.54778796	No	
row_50	KLHDC2	6970	-0.31958332657814026	-0.5537065	No	
row_51	GPD1L	7118	-0.36326292157173157	-0.56650996	No	
row_52	PDCD10	7271	-0.406718909740448	-0.57962906	No	
row_53	SLC25A44	7341	-0.4325844943523407	-0.58462924	No	
row_54	FBXO8	7378	-0.44421127438545227	-0.58639616	No	
row_55	FOXN2	7467	-0.47802242636680603	-0.593057	No	
row_56	FBXL4	7554	-0.512077808380127	-0.59939337	No	
row_57	RIPK1	7623	-0.5394817590713501	-0.60388505	No	
row_58	FAM210B	7628	-0.5437763929367065	-0.60217667	No	
row_59	EMP3	7687	-0.566543698310852	-0.6055979	No	
row_60	ARMC3	7711	-0.5742933750152588	-0.6056077	No	
row_61	DTX1	7764	-0.5962525606155396	-0.6083348	No	
row_62	BET1L	7776	-0.6029443740844727	-0.60707474	No	
row_63	AMPD1	7847	-0.6300832033157349	-0.6114106	No	
row_64	RRAS	7880	-0.6438775658607483	-0.61202186	No	
row_65	GPR34	7953	-0.6754570007324219	-0.61637616	No	
row_66	PPM1H	8091	-0.7352428436279297	-0.6267804	No	
