NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCGF5	253	3.640408515930176	-0.010501815	No	
row_1	NR4A3	354	3.225421190261841	-0.007802289	No	
row_2	PER2	358	3.218944787979126	0.004250726	No	
row_3	SYTL2	780	2.2834556102752686	-0.027697204	No	
row_4	SRSF3	1252	1.6751505136489868	-0.066811875	No	
row_5	L3MBTL3	1437	1.5054184198379517	-0.07882915	No	
row_6	SOX4	1538	1.4218405485153198	-0.08304546	No	
row_7	INF2	1666	1.3244036436080933	-0.09024586	No	
row_8	CLIC4	1698	1.302371621131897	-0.0882491	No	
row_9	NCOA1	1854	1.1805611848831177	-0.09870821	No	
row_10	EIF1	2010	1.0731416940689087	-0.10957923	No	
row_11	LMNA	2048	1.0442410707473755	-0.10915238	No	
row_12	FOXP1	2116	0.9991675615310669	-0.11179887	No	
row_13	TMEM120B	2292	0.9001923203468323	-0.12526673	No	
row_14	BICD2	2507	0.7979835867881775	-0.14289717	No	
row_15	LYPD6B	2531	0.7864689230918884	-0.14210519	No	
row_16	CCDC22	2588	0.7610111236572266	-0.14460137	No	
row_17	THEMIS	3059	0.5765212178230286	-0.18783206	No	
row_18	LRR1	3094	0.5614394545555115	-0.18896647	No	
row_19	SMC6	3205	0.5232197046279907	-0.19759539	No	
row_20	HCFC2	3424	0.4541482627391815	-0.216931	No	
row_21	SLC35D1	3430	0.4527220129966736	-0.21567845	No	
row_22	UBASH3A	3802	0.34150201082229614	-0.25023863	No	
row_23	INTS7	3949	0.30336517095565796	-0.26319122	No	
row_24	PTGIR	4041	0.2783951163291931	-0.27092192	No	
row_25	PHF6	4062	0.2717535197734833	-0.27181354	No	
row_26	PARD6G	4094	0.2648322582244873	-0.27379525	No	
row_27	FMNL3	4199	0.24041996896266937	-0.28292847	No	
row_28	IPPK	4211	0.23894862830638885	-0.28307575	No	
row_29	POGZ	4403	0.19237548112869263	-0.30080467	No	
row_30	DLG3	4475	0.17568185925483704	-0.30699557	No	
row_31	TRAF4	4508	0.16772769391536713	-0.30944628	No	
row_32	PCYT1A	4763	0.11233101040124893	-0.33357322	No	
row_33	RALGPS2	4774	0.1105862408876419	-0.334116	No	
row_34	DUSP10	4839	0.09873043745756149	-0.3399252	No	
row_35	XPO6	4865	0.09401785582304001	-0.34198177	No	
row_36	ASXL2	4982	0.07317236810922623	-0.3529165	No	
row_37	DGKD	5166	0.0405828133225441	-0.370454	No	
row_38	PIP4K2A	5167	0.04054941609501839	-0.37029853	No	
row_39	BRDT	5307	0.018048152327537537	-0.38366836	No	
row_40	MSH6	5341	0.011832837015390396	-0.38681355	No	
row_41	RBL1	5400	-5.125459865666926E-4	-0.39241925	No	
row_42	IKZF4	5638	-0.03674320504069328	-0.41519243	No	
row_43	SMC4	5694	-0.04555817320942879	-0.42033532	No	
row_44	BIRC3	5952	-0.08888650685548782	-0.44484222	No	
