NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JADE2	272	3.5159757137298584	-0.012857361	No	
row_1	PDCD4	995	1.9993435144424438	-0.07497239	No	
row_2	CALCRL	1190	1.7393667697906494	-0.08707491	No	
row_3	CELF1	1304	1.6210192441940308	-0.091804504	No	
row_4	GPR180	1754	1.2628976106643677	-0.13035826	No	
row_5	FOXJ2	1965	1.103630542755127	-0.14643249	No	
row_6	PEX26	2000	1.0788342952728271	-0.14559981	No	
row_7	PACS2	2178	0.9692184329032898	-0.1589992	No	
row_8	USP24	2204	0.9563899040222168	-0.15776439	No	
row_9	EMC2	2251	0.9251395463943481	-0.15867744	No	
row_10	CYTH3	2300	0.894260823726654	-0.15990153	No	
row_11	IMPDH1	2328	0.882514238357544	-0.15914184	No	
row_12	LYPD6B	2531	0.7864689230918884	-0.17565364	No	
row_13	CASP8	2579	0.7647655606269836	-0.1772753	No	
row_14	CCDC22	2588	0.7610111236572266	-0.17514391	No	
row_15	RAB33B	2589	0.7606990933418274	-0.17224091	No	
row_16	THY1	2826	0.6595978736877441	-0.19252127	No	
row_17	THEMIS	3059	0.5765212178230286	-0.21273226	No	
row_18	TGM4	3063	0.5749035477638245	-0.2108281	No	
row_19	SMC6	3205	0.5232197046279907	-0.22245193	No	
row_20	SLC30A7	3278	0.4975801110267639	-0.22750823	No	
row_21	GFOD2	3309	0.48841074109077454	-0.22854233	No	
row_22	GIMAP5	3443	0.44809818267822266	-0.23968005	No	
row_23	ADGRE5	3682	0.37315452098846436	-0.26124674	No	
row_24	ATP11C	3757	0.35514411330223083	-0.2670398	No	
row_25	OSM	3925	0.3112547993659973	-0.28198412	No	
row_26	KBTBD8	4158	0.25048527121543884	-0.30343935	No	
row_27	FAM160A2	4160	0.2499232441186905	-0.30258217	No	
row_28	HERC4	4176	0.24689671397209167	-0.30308896	No	
row_29	N4BP2L1	4401	0.1931421160697937	-0.32399023	No	
row_30	NEDD4L	4535	0.15973587334156036	-0.3362284	No	
row_31	HIPK1	4619	0.1405995488166809	-0.34370962	No	
row_32	XPO6	4865	0.09401785582304001	-0.36701775	No	
row_33	IDS	5639	-0.03701993450522423	-0.44154802	No	
row_34	SMC4	5694	-0.04555817320942879	-0.44659054	No	
row_35	ALDH6A1	5735	-0.05349041149020195	-0.4502504	No	
row_36	NSUN6	5856	-0.07215705513954163	-0.46156698	No	
row_37	PANK3	5906	-0.08138022571802139	-0.46598983	No	
row_38	MPP1	5977	-0.09269203245639801	-0.47239807	No	
row_39	MYO10	6143	-0.12323981523513794	-0.4878667	No	
row_40	ZSCAN20	6210	-0.1363578736782074	-0.4937219	No	
row_41	TNRC6B	6228	-0.1403466761112213	-0.4948285	No	
row_42	RSBN1	6236	-0.14229163527488708	-0.49496168	No	
row_43	SMAD5	6404	-0.17984220385551453	-0.5104075	No	
row_44	PCGF1	6426	-0.1844150274991989	-0.51173234	No	
row_45	ZBTB2	6429	-0.18460986018180847	-0.51122105	No	
row_46	GPR174	6458	-0.19024068117141724	-0.5131998	No	
row_47	APLP2	6498	-0.19850055873394012	-0.51620966	No	
row_48	STIM2	6543	-0.2099035680294037	-0.51965904	No	
row_49	RAB3IP	6546	-0.21051499247550964	-0.51904887	No	
row_50	MFHAS1	6559	-0.21243785321712494	-0.5193973	No	
row_51	NCK1	6565	-0.21319305896759033	-0.51906675	No	
row_52	ANGEL1	6763	-0.2646562159061432	-0.5370869	No	
row_53	RASGRF2	6893	-0.299539715051651	-0.5484052	No	
row_54	MBP	6895	-0.29976174235343933	-0.5473578	No	
row_55	ZBTB6	6899	-0.3010360896587372	-0.5464988	No	
row_56	DHX40	6918	-0.30577266216278076	-0.5470707	No	
row_57	SPICE1	6923	-0.30780428647994995	-0.5462824	No	
row_58	SLC30A1	6943	-0.3129782974720001	-0.5469234	No	
row_59	CFLAR	7021	-0.3355939984321594	-0.55308086	No	
row_60	WDR20	7085	-0.3527848720550537	-0.5578204	No	
row_61	SPACA1	7175	-0.378684401512146	-0.5649726	No	
row_62	SQLE	7304	-0.41887137293815613	-0.57573885	No	
row_63	GPBP1	7391	-0.44785216450691223	-0.5823373	No	
row_64	GPC1	7446	-0.4667128622531891	-0.58577263	No	
row_65	THADA	7936	-0.669925332069397	-0.6304533	No	
row_66	NCK2	8045	-0.7123585343360901	-0.6381675	No	
row_67	PPM1H	8091	-0.7352428436279297	-0.63970864	No	
row_68	NUMB	8141	-0.7588955163955688	-0.6415459	No	
row_69	RAB11FIP2	8173	-0.772779643535614	-0.6415914	Yes	
row_70	IFT80	8199	-0.7877734899520874	-0.6410001	Yes	
row_71	LDLR	8215	-0.7963892221450806	-0.6394099	Yes	
row_72	BBS9	8216	-0.7971977591514587	-0.63636756	Yes	
row_73	TNIK	8301	-0.8392533659934998	-0.64127916	Yes	
row_74	ENPP4	8334	-0.8585094809532166	-0.6410941	Yes	
row_75	ESYT2	8335	-0.8587178587913513	-0.637817	Yes	
row_76	KCNN4	8362	-0.8791665434837341	-0.63697356	Yes	
row_77	IL6ST	8366	-0.8809401988983154	-0.6339015	Yes	
row_78	TSC22D3	8378	-0.8920244574546814	-0.6315599	Yes	
row_79	IBTK	8487	-0.9590392112731934	-0.6383328	Yes	
row_80	PDE4DIP	8493	-0.9631097912788391	-0.6351403	Yes	
row_81	PHYHD1	8501	-0.9686970114707947	-0.6321198	Yes	
row_82	CDIPT	8526	-0.9840806722640991	-0.63068265	Yes	
