NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBA5	1243	1.6833840608596802	-0.11054848	No	
row_1	THAP1	1300	1.625319480895996	-0.10709166	No	
row_2	CALU	2139	0.9888175129890442	-0.18241616	No	
row_3	PMM1	2705	0.7132356762886047	-0.23294829	No	
row_4	ENSA	2768	0.685601532459259	-0.23518631	No	
row_5	MCFD2	2823	0.6602442264556885	-0.23679194	No	
row_6	TCF25	2944	0.6150533556938171	-0.24500017	No	
row_7	CREBL2	2964	0.6069478392601013	-0.2435251	No	
row_8	FILIP1L	3428	0.45316004753112793	-0.28564966	No	
row_9	RHOF	3518	0.42339837551116943	-0.29191586	No	
row_10	GNB1	3641	0.38542571663856506	-0.3015671	No	
row_11	UPF2	3743	0.3589695394039154	-0.30933985	No	
row_12	RANBP9	3745	0.3583941161632538	-0.30748463	No	
row_13	RBM10	3839	0.33337074518203735	-0.3146263	No	
row_14	PLA2G4C	3872	0.324433296918869	-0.31594163	No	
row_15	KDSR	4059	0.27298393845558167	-0.33236906	No	
row_16	CD2AP	4150	0.2520710825920105	-0.3396645	No	
row_17	CPNE1	4282	0.22089415788650513	-0.35107845	No	
row_18	ZKSCAN5	4394	0.19499032199382782	-0.36070722	No	
row_19	SUGP1	4851	0.09675104171037674	-0.40409833	No	
row_20	EPC2	5024	0.06526877731084824	-0.42030847	No	
row_21	RFX5	5066	0.058100443333387375	-0.42394087	No	
row_22	SLC30A4	5323	0.015227065421640873	-0.44851363	No	
row_23	NISCH	5365	0.0066586448810994625	-0.45242614	No	
row_24	BLOC1S6	5386	0.003355523105710745	-0.4543341	No	
row_25	SMARCA2	5530	-0.01959836110472679	-0.4679999	No	
row_26	EEPD1	5938	-0.08601809293031693	-0.5067302	No	
row_27	MRPL9	6028	-0.1023571640253067	-0.5147445	No	
row_28	PNISR	6077	-0.11115079373121262	-0.51876223	No	
row_29	HERPUD2	6178	-0.12886112928390503	-0.52769166	No	
row_30	PHF8	6294	-0.1535048931837082	-0.5379316	No	
row_31	NEK9	6300	-0.15385475754737854	-0.53757536	No	
row_32	SMAD5	6404	-0.17984220385551453	-0.5465162	No	
row_33	PBX2	6447	-0.18822014331817627	-0.54953635	No	
row_34	RAD52	6579	-0.22002074122428894	-0.56095505	No	
row_35	ATG16L1	6604	-0.22506076097488403	-0.562041	No	
row_36	PTPRF	6645	-0.2346630096435547	-0.56461567	No	
row_37	SLC15A2	6719	-0.2536798417568207	-0.57026505	No	
row_38	LDHD	6744	-0.25988686084747314	-0.5711613	No	
row_39	GOLGA1	6810	-0.27779433131217957	-0.57590896	No	
row_40	HSPA1A	6850	-0.28759294748306274	-0.5780991	No	
row_41	GOLGA3	6991	-0.32789546251296997	-0.58979714	No	
row_42	ZFP82	7083	-0.35269200801849365	-0.596641	No	
row_43	TERF2IP	7164	-0.3754136264324188	-0.60230166	No	
row_44	DBNDD2	7183	-0.3811258375644684	-0.60195994	No	
row_45	RAB3GAP2	7241	-0.39567968249320984	-0.6052951	No	
row_46	NPC1	7257	-0.4014928638935089	-0.6045536	No	
row_47	LASP1	7374	-0.4428003430366516	-0.6133145	No	
row_48	PTBP2	7416	-0.4582841098308563	-0.61476785	No	
row_49	PI4KA	7449	-0.468283474445343	-0.6152999	No	
row_50	RNF145	7517	-0.49770835041999817	-0.6190426	No	
row_51	TNFRSF13B	7762	-0.5961757898330688	-0.63929623	No	
row_52	HDAC4	7849	-0.6304892301559448	-0.6441458	No	
row_53	VIPAS39	8004	-0.6948633193969727	-0.65519404	No	
row_54	CLEC16A	8052	-0.7153396010398865	-0.6558255	No	
row_55	VMP1	8081	-0.7292922735214233	-0.654551	No	
row_56	PLCL1	8192	-0.7845842838287354	-0.660873	No	
row_57	BBS9	8216	-0.7971977591514587	-0.65874726	No	
row_58	RANBP10	8254	-0.8211999535560608	-0.6578391	No	
row_59	BSDC1	8333	-0.8583133816719055	-0.6606777	No	
row_60	OAZ2	8431	-0.9340618848800659	-0.6649337	Yes	
row_61	ITCH	8439	-0.9364159107208252	-0.6605089	Yes	
