NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAP3	16	6.480844020843506	0.02471805	Yes	
row_1	NDUFAF4	30	5.845912456512451	0.047152646	Yes	
row_2	C1QBP	32	5.812370300292969	0.07060896	Yes	
row_3	HSPD1	42	5.5952887535095215	0.09241386	Yes	
row_4	LYAR	70	4.969549179077148	0.109946705	Yes	
row_5	CHCHD4	72	4.921378135681152	0.12979256	Yes	
row_6	COQ4	108	4.538275718688965	0.14480604	Yes	
row_7	MAGOHB	121	4.447060585021973	0.16166872	Yes	
row_8	PUS7	126	4.427617073059082	0.17922434	Yes	
row_9	SMS	168	4.136326313018799	0.19203025	Yes	
row_10	DDX18	170	4.116891384124756	0.20861617	Yes	
row_11	COPS7A	173	4.098850727081299	0.22503252	Yes	
row_12	MRPS35	194	3.9668338298797607	0.23917747	Yes	
row_13	PTCD3	195	3.9644830226898193	0.25524226	Yes	
row_14	PSMG2	211	3.8847663402557373	0.269537	Yes	
row_15	RSL24D1	212	3.884611129760742	0.28527817	Yes	
row_16	GTPBP4	213	3.8796870708465576	0.30099934	Yes	
row_17	NSUN2	226	3.771775007247925	0.31512564	Yes	
row_18	PFDN2	244	3.683461904525757	0.32841173	Yes	
row_19	RRP15	247	3.667435646057129	0.3430799	Yes	
row_20	RANBP1	263	3.5571353435516357	0.356047	Yes	
row_21	MPHOSPH10	269	3.5360121726989746	0.36989322	Yes	
row_22	EIF5A	271	3.5260114669799805	0.3840848	Yes	
row_23	ZNHIT6	317	3.351102352142334	0.39332297	Yes	
row_24	MTFP1	323	3.328913927078247	0.40633	Yes	
row_25	WDR61	335	3.291626214981079	0.4186071	Yes	
row_26	PRPF19	361	3.2075374126434326	0.42919287	Yes	
row_27	GEMIN6	390	3.106204032897949	0.43907863	Yes	
row_28	NCBP2	394	3.093069553375244	0.4513229	Yes	
row_29	DUS1L	414	3.033384084701538	0.46178183	Yes	
row_30	ACY1	430	2.9844019412994385	0.4724281	Yes	
row_31	SRSF7	432	2.9767565727233887	0.484394	Yes	
row_32	POLR1B	452	2.934499979019165	0.4944522	Yes	
row_33	MRPL35	506	2.8266608715057373	0.5007935	Yes	
row_34	CAD	560	2.7120721340179443	0.5066704	Yes	
row_35	NUDC	564	2.70238995552063	0.5173316	Yes	
row_36	NDUFB6	592	2.632450819015503	0.5253941	Yes	
row_37	NDUFA12	603	2.6164188385009766	0.5350316	Yes	
row_38	STRAP	620	2.560087203979492	0.54386204	Yes	
row_39	NUP37	625	2.5497231483459473	0.5538081	Yes	
row_40	THOP1	680	2.451569080352783	0.55853295	Yes	
