NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PUS1	44	5.471492767333984	0.015465119	Yes	
row_1	GRWD1	49	5.446915626525879	0.03471348	Yes	
row_2	NOP58	84	4.801177978515625	0.04873015	Yes	
row_3	NLE1	98	4.633648872375488	0.064175606	Yes	
row_4	CCT4	103	4.571254730224609	0.0802673	Yes	
row_5	SHMT1	115	4.489349365234375	0.09538617	Yes	
row_6	PTGES3	131	4.389127731323242	0.10975657	Yes	
row_7	MRPS18B	145	4.292644023895264	0.12397274	Yes	
row_8	CCT3	166	4.142268180847168	0.13696925	Yes	
row_9	TMA16	179	4.058250904083252	0.15043727	Yes	
row_10	AIMP2	205	3.913670778274536	0.16212572	Yes	
row_11	RSL24D1	212	3.884611129760742	0.17554855	Yes	
row_12	PA2G4	254	3.623271942138672	0.18464142	Yes	
row_13	RANBP1	263	3.5571353435516357	0.19669014	Yes	
row_14	RPP14	270	3.5332984924316406	0.20884652	Yes	
row_15	EIF4E	284	3.4708878993988037	0.22010036	Yes	
row_16	FKBP4	292	3.450495481491089	0.23186146	Yes	
row_17	PFAS	307	3.385099411010742	0.24270923	Yes	
row_18	RUVBL1	329	3.3010473251342773	0.25257644	Yes	
row_19	NAA25	360	3.2097957134246826	0.26124352	Yes	
row_20	EIF2B1	373	3.171718120574951	0.27151567	Yes	
row_21	HDGF	384	3.142179250717163	0.28187492	Yes	
row_22	SDHAF1	403	3.067816734313965	0.29119176	Yes	
row_23	PSMB6	407	3.059798002243042	0.30193162	Yes	
row_24	NUP35	435	2.9698281288146973	0.31002402	Yes	
row_25	TSR1	466	2.9159536361694336	0.31763184	Yes	
row_26	SOD2	469	2.9084057807922363	0.32792273	Yes	
row_27	PEBP1	474	2.899533748626709	0.33798808	Yes	
row_28	ELAC2	498	2.8412015438079834	0.34600398	Yes	
row_29	TTC27	533	2.7842628955841064	0.35274988	Yes	
row_30	NOL11	537	2.7793469429016113	0.36247876	Yes	
row_31	EIF2B3	551	2.750967025756836	0.37113735	Yes	
row_32	LSM7	555	2.735093832015991	0.38070667	Yes	
row_33	RHBDF1	605	2.61249041557312	0.38538143	Yes	
row_34	TRMT2A	611	2.5909223556518555	0.39423743	Yes	
row_35	LUC7L	614	2.5817081928253174	0.40335062	Yes	
row_36	DCAF13	616	2.5752134323120117	0.4125372	Yes	
row_37	SLC25A39	646	2.515636920928955	0.4187987	Yes	
row_38	NOL8	654	2.504379987716675	0.42714915	Yes	
row_39	PSMD6	674	2.4623825550079346	0.43418667	Yes	
row_40	POLD2	702	2.421182155609131	0.44030127	Yes	
row_41	ACP1	713	2.3932011127471924	0.44796056	Yes	
row_42	INTS2	746	2.335207462310791	0.45328125	Yes	
row_43	BHLHE40	751	2.3283045291900635	0.46128735	Yes	
row_44	MRPL55	759	2.3091914653778076	0.46893415	Yes	
row_45	NCF4	778	2.284764289855957	0.47542816	Yes	
row_46	KPNA6	815	2.240281343460083	0.48001948	Yes	
row_47	KPNA4	840	2.2067153453826904	0.48565134	Yes	
row_48	PPP1R14B	844	2.202648401260376	0.49330127	Yes	
row_49	QTRT1	848	2.1976094245910645	0.50093305	Yes	
row_50	MRPS22	875	2.165330648422241	0.5062221	Yes	
row_51	RBMXL1	879	2.158264636993408	0.51371205	Yes	
row_52	TRMT10C	891	2.133017063140869	0.52033657	Yes	
row_53	UQCC2	908	2.1178205013275146	0.5264224	Yes	
row_54	RCC1	942	2.0711886882781982	0.5306945	Yes	
row_55	POLDIP2	947	2.066363573074341	0.5377563	Yes	
row_56	LRPPRC	949	2.0660817623138428	0.54510754	Yes	
row_57	CLUAP1	987	2.00394606590271	0.5487501	Yes	
row_58	TELO2	1000	1.985379934310913	0.5547456	Yes	
row_59	SMN1	1014	1.9678218364715576	0.5605811	Yes	
row_60	NDUFAF5	1016	1.9645626544952393	0.56756634	Yes	
row_61	MTG1	1065	1.876418948173523	0.5696844	Yes	
row_62	IPO11	1066	1.8727980852127075	0.5764356	Yes	
row_63	ST3GAL4	1086	1.8521028757095337	0.58127314	Yes	
row_64	PRDX6	1089	1.8451075553894043	0.58773094	Yes	
row_65	DNAJA1	1099	1.832223653793335	0.59346473	Yes	
row_66	SHQ1	1135	1.7969648838043213	0.59655476	Yes	
row_67	CCT2	1144	1.7901852130889893	0.6022338	Yes	
row_68	HELLS	1145	1.7875621318817139	0.6086778	Yes	
row_69	HUS1	1173	1.7532744407653809	0.6123847	Yes	
row_70	DCPS	1234	1.6975852251052856	0.6126965	Yes	
row_71	MRPS2	1237	1.6911718845367432	0.6185994	Yes	
row_72	HDHD2	1248	1.6783154010772705	0.6236816	Yes	
row_73	ZSCAN22	1306	1.6195627450942993	0.6240026	Yes	
row_74	SNRPA	1321	1.6058889627456665	0.6284365	Yes	
row_75	BCCIP	1342	1.5899454355239868	0.6322321	Yes	
row_76	WDR3	1403	1.5380481481552124	0.6319689	Yes	
row_77	SERPINB9	1446	1.4980210065841675	0.63330364	Yes	
row_78	COPS7B	1482	1.4687135219573975	0.63521034	Yes	
row_79	ANKRD26	1491	1.4591493606567383	0.63969606	Yes	
row_80	ECD	1499	1.4553788900375366	0.644265	Yes	
row_81	PDCD11	1502	1.4540926218032837	0.6493132	Yes	
row_82	MEMO1	1525	1.432368516921997	0.65234727	Yes	
row_83	CSE1L	1530	1.4280651807785034	0.65710807	Yes	
row_84	MRPL46	1550	1.4105043411254883	0.66035366	Yes	
row_85	SLIRP	1591	1.3781195878982544	0.6614498	Yes	
row_86	GK5	1639	1.3435945510864258	0.66174394	Yes	
row_87	DUSP2	1776	1.2447173595428467	0.6530667	No	
row_88	NEK4	1865	1.1735169887542725	0.6487791	No	
row_89	GEMIN2	1885	1.1631345748901367	0.65113294	No	
row_90	POFUT1	1976	1.0985682010650635	0.6463815	No	
row_91	EXOSC8	2085	1.0178048610687256	0.6395966	No	
row_92	PPHLN1	2163	0.9759382605552673	0.6356615	No	
row_93	PSMC2	2185	0.9659281969070435	0.6371108	No	
row_94	MED11	2224	0.9437280297279358	0.6368346	No	
row_95	URB2	2264	0.9147924780845642	0.6363573	No	
row_96	WDR83OS	2278	0.9080100059509277	0.63837224	No	
row_97	CHCHD6	2317	0.8867555260658264	0.63789064	No	
row_98	GRPEL2	2318	0.8866848349571228	0.64108706	No	
row_99	LRRC14	2330	0.8813129663467407	0.6431993	No	
row_100	SF3A2	2518	0.7916849851608276	0.6279524	No	
row_101	SOD1	2580	0.7644487023353577	0.6248036	No	
row_102	COX10	2620	0.7521944046020508	0.62374014	No	
row_103	YWHAB	2646	0.7396995425224304	0.6239868	No	
row_104	HNRNPAB	2647	0.7390851974487305	0.62665105	No	
row_105	SNAPC4	2655	0.7370554804801941	0.6286305	No	
row_106	SMPD4	2656	0.736843466758728	0.63128674	No	
row_107	NCOA5	2663	0.7332265377044678	0.6333492	No	
row_108	HAUS1	2672	0.7310096025466919	0.63521004	No	
row_109	POLRMT	2673	0.7307308912277222	0.6378442	No	
row_110	TXNRD3	2688	0.7220883965492249	0.63909215	No	
row_111	METTL22	2715	0.7092443704605103	0.6391322	No	
row_112	MRPL36	2857	0.6464265584945679	0.62781423	No	
row_113	ZZZ3	2902	0.6256899833679199	0.62581074	No	
row_114	STUB1	2966	0.6066774725914001	0.6218996	No	
row_115	POLD1	2999	0.5968096852302551	0.62095356	No	
row_116	ROMO1	3015	0.5910866260528564	0.62163246	No	
row_117	TEX10	3028	0.5873090624809265	0.6225881	No	
row_118	DHPS	3070	0.5726089477539062	0.6206836	No	
row_119	ZMIZ2	3140	0.5491138696670532	0.6159842	No	
row_120	ELP4	3187	0.5290684103965759	0.61343884	No	
row_121	GMNN	3303	0.49090376496315	0.6040769	No	
row_122	BNIP1	3326	0.4827307462692261	0.6036876	No	
row_123	IMMT	3336	0.4792611598968506	0.6045441	No	
row_124	GABPB1	3558	0.4118445813655853	0.58463687	No	
row_125	PCTP	3595	0.4000632166862488	0.5825944	No	
row_126	OPA1	3611	0.3944692611694336	0.5825645	No	
row_127	DDX19A	3755	0.3554353713989258	0.5700039	No	
row_128	LIPT2	3792	0.34387463331222534	0.5677589	No	
row_129	NEURL4	3924	0.3114788234233856	0.55620146	No	
row_130	DNAAF5	3940	0.30688849091529846	0.5558558	No	
row_131	WDHD1	3970	0.29840824007987976	0.5541245	No	
row_132	ARHGDIA	4068	0.27047309279441833	0.54571027	No	
row_133	PCBD2	4186	0.24537670612335205	0.5352697	No	
row_134	IPO13	4196	0.24095816910266876	0.5352672	No	
row_135	DTWD1	4250	0.22608385980129242	0.530952	No	
row_136	EEFSEC	4327	0.21217630803585052	0.52436036	No	
row_137	AFG3L2	4422	0.1869170069694519	0.51593536	No	
row_138	HDAC3	4443	0.18252432346343994	0.5146574	No	
row_139	DBT	4630	0.13960705697536469	0.4971566	No	
row_140	TRAF3	4881	0.09214390069246292	0.47328976	No	
row_141	DHRS4	4909	0.08745554089546204	0.47099152	No	
row_142	CHD1L	4934	0.08254988491535187	0.468966	No	
row_143	MTX3	5088	0.0535309799015522	0.4543492	No	
row_144	KPNA1	5114	0.04877806082367897	0.45210513	No	
row_145	TRAF1	5225	0.03144509345293045	0.4415709	No	
row_146	CAMK2G	5363	0.006778059992939234	0.4283343	No	
row_147	E2F1	5369	0.006100952159613371	0.4278723	No	
row_148	WBP4	5384	0.003696356900036335	0.42653048	No	
row_149	DTNBP1	5508	-0.01624082587659359	0.41468313	No	
row_150	PSMD10	5556	-0.02356453612446785	0.41021866	No	
row_151	DHX35	5585	-0.02918832190334797	0.40761358	No	
row_152	CORO1C	5779	-0.06117762252688408	0.3891525	No	
row_153	SLC20A1	5993	-0.09565047919750214	0.36887974	No	
row_154	EXOC7	6012	-0.09852395951747894	0.3674926	No	
row_155	TRAPPC2	6115	-0.11753297597169876	0.35804307	No	
row_156	LSM10	6248	-0.14461873471736908	0.34578732	No	
row_157	CAPRIN2	6278	-0.1497228592634201	0.34352	No	
row_158	NTPCR	6292	-0.1530582457780838	0.3428134	No	
row_159	ABCD4	6297	-0.15356923639774323	0.34297982	No	
row_160	SMAD5	6404	-0.17984220385551453	0.33336774	No	
row_161	CYFIP1	6505	-0.19995877146720886	0.32440895	No	
row_162	COX18	6521	-0.20428471267223358	0.32369345	No	
row_163	ARV1	7082	-0.3505149483680725	0.27075124	No	
row_164	FIG4	7329	-0.4272187054157257	0.24847947	No	
row_165	TMEM209	7518	-0.4978082776069641	0.23207636	No	
row_166	MITD1	7700	-0.5707542896270752	0.21661378	No	
row_167	GCLM	7708	-0.5737435221672058	0.2180045	No	
row_168	UROS	7721	-0.5772707462310791	0.21892394	No	
row_169	USP40	7748	-0.5913972854614258	0.21853916	No	
row_170	RALGAPA2	7903	-0.6548328995704651	0.20599318	No	
row_171	SMIM3	8113	-0.7426502108573914	0.18843998	No	
row_172	GATAD2A	8459	-0.9456527233123779	0.15845431	No	
row_173	THUMPD2	8605	-1.0309782028198242	0.14813545	No	
row_174	NT5DC1	8926	-1.255592703819275	0.121686995	No	
row_175	FGF13	9416	-1.7482857704162598	0.08065611	No	
row_176	PREX1	10075	-3.178114891052246	0.028421072	No	
row_177	GSDMD	10208	-3.715749979019165	0.029038873	No	
