NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT10A	2	7.836968421936035	0.024050651	No	
row_1	CTSW	127	4.425944805145264	0.025764057	No	
row_2	NOTCH2	235	3.7350733280181885	0.026982429	No	
row_3	ABI3	418	3.0213074684143066	0.018747775	No	
row_4	CD82	820	2.2335546016693115	-0.013079146	No	
row_5	TSPAN13	935	2.0795300006866455	-0.017658433	No	
row_6	CCND3	982	2.0100550651550293	-0.015883865	No	
row_7	CD38	1131	1.8026981353759766	-0.02460393	No	
row_8	ABCG2	1362	1.5735992193222046	-0.04195389	No	
row_9	CYBB	1577	1.3926640748977661	-0.05831798	No	
row_10	BANK1	1739	1.2722209692001343	-0.06993489	No	
row_11	SEMA4B	2173	0.9716702103614807	-0.10875667	No	
row_12	ATP13A2	2657	0.7366399168968201	-0.15313551	No	
row_13	CREBL2	2964	0.6069478392601013	-0.1808174	No	
row_14	TRAF5	3135	0.5507460236549377	-0.1955356	No	
row_15	SMC6	3205	0.5232197046279907	-0.20058239	No	
row_16	RIN3	4126	0.2577902674674988	-0.28865662	No	
row_17	SIRT4	4310	0.21512016654014587	-0.3056689	No	
row_18	N4BP2L1	4401	0.1931421160697937	-0.31376538	No	
row_19	N4BP3	4449	0.18011491000652313	-0.31774837	No	
row_20	RCSD1	4779	0.10955749452114105	-0.34919074	No	
row_21	MBD4	4867	0.09366795420646667	-0.35730514	No	
row_22	TK1	5353	0.00922568328678608	-0.40412745	No	
row_23	PHLDA3	5374	0.005159392952919006	-0.4060435	No	
row_24	MXI1	5425	-0.004581613931804895	-0.4108593	No	
row_25	LNPEP	5510	-0.016975553706288338	-0.41892117	No	
row_26	SH3BP1	5578	-0.027833200991153717	-0.42530724	No	
row_27	PPM1D	5625	-0.03540150448679924	-0.4296413	No	
row_28	GAB3	5766	-0.059448760002851486	-0.44298136	No	
row_29	ITGB3	5874	-0.07494158297777176	-0.4530857	No	
row_30	TMEM86A	5937	-0.08600031584501266	-0.45880884	No	
row_31	IFNGR2	5984	-0.09447209537029266	-0.46296015	No	
row_32	SORD	6082	-0.1118866354227066	-0.4719842	No	
row_33	NOXO1	6168	-0.12777575850486755	-0.4797999	No	
row_34	CD79A	6180	-0.12954016029834747	-0.48046175	No	
row_35	CCDC82	6317	-0.15845581889152527	-0.49310914	No	
row_36	CDON	6343	-0.16348835825920105	-0.49501836	No	
row_37	AKR1B10	6507	-0.2004748433828354	-0.51014394	No	
row_38	CHST12	6553	-0.21124984323978424	-0.5138374	No	
row_39	KIZ	6658	-0.23705103993415833	-0.52315044	No	
row_40	HELZ	6680	-0.24460382759571075	-0.52442235	No	
row_41	INPP5D	6913	-0.30452775955200195	-0.54589146	No	
row_42	FAM107B	6942	-0.31285810470581055	-0.5476284	No	
row_43	ARHGAP19	6954	-0.3154723048210144	-0.54771507	No	
