NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UGDH	262	3.5615103244781494	-0.009243855	No	
row_1	CCND3	982	2.0100550651550293	-0.06955225	No	
row_2	RALBP1	989	2.003247022628784	-0.061115358	No	
row_3	PDCD4	995	1.9993435144424438	-0.052599575	No	
row_4	CD38	1131	1.8026981353759766	-0.057508588	No	
row_5	TFEB	1561	1.4006112813949585	-0.09258641	No	
row_6	LYNX1	1817	1.210089921951294	-0.11173766	No	
row_7	ABCA1	1889	1.1595016717910767	-0.11336796	No	
row_8	SNX8	2016	1.0631439685821533	-0.12073721	No	
row_9	SEMA4B	2173	0.9716702103614807	-0.13141194	No	
row_10	BMF	2206	0.9516434073448181	-0.13021576	No	
row_11	RPL39	2435	0.8374152183532715	-0.14843982	No	
row_12	CREBL2	2964	0.6069478392601013	-0.19663909	No	
row_13	ID3	3066	0.5741572976112366	-0.20379753	No	
row_14	SMC6	3205	0.5232197046279907	-0.21475424	No	
row_15	GNGT2	3356	0.47252342104911804	-0.22709663	No	
row_16	TPT1	3462	0.4408949315547943	-0.23524067	No	
row_17	SERP1	3494	0.4311450719833374	-0.23629054	No	
row_18	PPOX	4005	0.2876009941101074	-0.28419074	No	
row_19	MARVELD1	4284	0.22065621614456177	-0.31001353	No	
row_20	TRMT2B	4743	0.11547058820724487	-0.3536725	No	
row_21	RALGPS2	4774	0.1105862408876419	-0.3560686	No	
row_22	RCSD1	4779	0.10955749452114105	-0.35596138	No	
row_23	PPP3CA	4781	0.10914579033851624	-0.35556665	No	
row_24	DGKD	5166	0.0405828133225441	-0.3924246	No	
row_25	MXI1	5425	-0.004581613931804895	-0.41729066	No	
row_26	SERTAD3	5581	-0.027985896915197372	-0.43211597	No	
row_27	SLCO3A1	5756	-0.05781795457005501	-0.4486398	No	
row_28	GAB3	5766	-0.059448760002851486	-0.4492404	No	
row_29	ZMYM2	6009	-0.09807520359754562	-0.4721423	No	
row_30	ANKRD13A	6021	-0.10030078142881393	-0.47275195	No	
row_31	NOXO1	6168	-0.12777575850486755	-0.48626006	No	
row_32	CCDC82	6317	-0.15845581889152527	-0.49982297	No	
row_33	HECA	6449	-0.18828436732292175	-0.5116119	No	
row_34	RNF130	6463	-0.19120781123638153	-0.51200527	No	
row_35	APLP2	6498	-0.19850055873394012	-0.5143916	No	
row_36	CYFIP1	6505	-0.19995877146720886	-0.5140704	No	
row_37	CSK	6725	-0.2557651698589325	-0.5340441	No	
row_38	HSD17B11	6742	-0.2587411403656006	-0.53442293	No	
row_39	RCHY1	6781	-0.2689974308013916	-0.5368778	No	
row_40	OXLD1	6894	-0.2997158169746399	-0.5463324	No	
row_41	SIRT3	7059	-0.3442806899547577	-0.5606024	No	
row_42	HAUS4	7067	-0.34690728783607483	-0.5597164	No	
row_43	KDM3B	7112	-0.3618720471858978	-0.56233203	No	
row_44	ABHD17A	7166	-0.37570470571517944	-0.5657535	No	
row_45	PHF13	7358	-0.4385461211204529	-0.5822037	No	
row_46	JUND	7397	-0.44979962706565857	-0.58384484	No	
row_47	SIAE	7462	-0.4761880338191986	-0.5878752	No	
row_48	RAB1B	7758	-0.5940821766853333	-0.6136572	No	
row_49	DTX1	7764	-0.5962525606155396	-0.61145604	No	
row_50	ACOT13	7780	-0.6055307388305664	-0.6101777	No	
row_51	RB1	7787	-0.607142984867096	-0.608024	No	
row_52	PARP4	7793	-0.6085191965103149	-0.60576767	No	
row_53	CNR2	7835	-0.6254152059555054	-0.60690784	No	
row_54	CDC42EP3	7875	-0.6421576142311096	-0.60777974	No	
row_55	C1QB	7924	-0.6623685359954834	-0.6094288	No	
row_56	GPR34	7953	-0.6754570007324219	-0.6090898	No	
row_57	ELF4	7972	-0.6818517446517944	-0.60775733	No	
row_58	TNRC6C	8112	-0.7417110204696655	-0.6178272	Yes	
row_59	MRGPRE	8130	-0.7519065737724304	-0.616083	Yes	
row_60	PNRC1	8134	-0.7536782026290894	-0.6129805	Yes	
row_61	KLC4	8142	-0.7599345445632935	-0.61023563	Yes	
row_62	SESN1	8146	-0.7625043392181396	-0.60709333	Yes	
row_63	RNF38	8186	-0.7798398733139038	-0.6073456	Yes	
row_64	ERCC5	8297	-0.8373889327049255	-0.6141875	Yes	
row_65	GMIP	8338	-0.8604612946510315	-0.61417335	Yes	
row_66	CSF1R	8363	-0.8792794942855835	-0.6125312	Yes	
row_67	TSC22D3	8378	-0.8920244574546814	-0.60986704	Yes	
row_68	SLC8B1	8389	-0.9060853123664856	-0.60675377	Yes	
row_69	HIP1R	8391	-0.9084157943725586	-0.6027619	Yes	
row_70	WASF2	8398	-0.9112785458564758	-0.59923947	Yes	
row_71	MKNK2	8496	-0.967271625995636	-0.6042428	Yes	
row_72	TBC1D2B	8566	-1.0091607570648193	-0.6063568	Yes	
row_73	PRKRA	8648	-1.0565996170043945	-0.6094148	Yes	
row_74	MYO1C	8699	-1.0884164571762085	-0.60933936	Yes	
row_75	IFT140	8715	-1.0981591939926147	-0.605844	Yes	
row_76	NUMA1	8733	-1.1068965196609497	-0.6025022	Yes	
row_77	PLCG1	8752	-1.1184204816818237	-0.599205	Yes	
row_78	IRF2	8788	-1.1352641582489014	-0.59747183	Yes	
row_79	ARRDC1	8908	-1.2364500761032104	-0.60338587	Yes	
row_80	KDM2A	8945	-1.2713631391525269	-0.6011367	Yes	
row_81	SMIM14	8949	-1.2741748094558716	-0.59569156	Yes	
row_82	MSN	9004	-1.3229252099990845	-0.59494656	Yes	
row_83	ACAP1	9040	-1.3441946506500244	-0.5922731	Yes	
row_84	RGL2	9051	-1.3521157503128052	-0.5871525	Yes	
row_85	PDE2A	9054	-1.3554414510726929	-0.5812452	Yes	
row_86	MYH9	9058	-1.360723614692688	-0.5754106	Yes	
row_87	MPND	9081	-1.3880548477172852	-0.5712858	Yes	
row_88	ING4	9083	-1.3908342123031616	-0.5651228	Yes	
row_89	STK10	9128	-1.4355887174606323	-0.5629061	Yes	
row_90	GUCD1	9150	-1.4580206871032715	-0.55836993	Yes	
row_91	ADAM8	9188	-1.51054847240448	-0.5551407	Yes	
row_92	RASGRP1	9220	-1.5449825525283813	-0.5511777	Yes	
row_93	SPATA6	9259	-1.5806249380111694	-0.54772955	Yes	
row_94	TMED8	9264	-1.5826232433319092	-0.54099274	Yes	
row_95	TACC1	9284	-1.6022093296051025	-0.5356147	Yes	
row_96	RB1CC1	9370	-1.692603588104248	-0.53619623	Yes	
row_97	POLD4	9372	-1.6965627670288086	-0.52865726	Yes	
row_98	TSPAN32	9381	-1.708196759223938	-0.5217412	Yes	
row_99	BAZ2B	9419	-1.7562237977981567	-0.5174063	Yes	
row_100	PPDPF	9463	-1.8155908584594727	-0.513383	Yes	
row_101	PIAS3	9466	-1.823637843132019	-0.50536853	Yes	
row_102	MAP4K2	9470	-1.8301607370376587	-0.49742126	Yes	
row_103	SCML4	9509	-1.8913787603378296	-0.49257454	Yes	
row_104	RNF181	9559	-1.9740688800811768	-0.48841676	Yes	
row_105	TMEM106B	9594	-2.028791666030884	-0.4825658	Yes	
row_106	MAP3K14	9610	-2.0617403984069824	-0.47473377	Yes	
row_107	PTPRCAP	9617	-2.0659103393554688	-0.46601486	Yes	
row_108	CDC42SE2	9619	-2.071531295776367	-0.45678836	Yes	
row_109	SLC25A53	9638	-2.1007564067840576	-0.44907016	Yes	
row_110	BNIP3L	9665	-2.1569082736968994	-0.4418709	Yes	
row_111	NDRG2	9682	-2.189516305923462	-0.43356028	Yes	
row_112	KLF2	9693	-2.2065987586975098	-0.42459404	Yes	
row_113	SFXN3	9783	-2.385002374649048	-0.42244524	Yes	
row_114	SGMS1	9801	-2.434734344482422	-0.41312748	Yes	
row_115	UNC13D	9880	-2.569169044494629	-0.40908876	Yes	
row_116	ADAMTS10	9916	-2.6610934734344482	-0.40048856	Yes	
row_117	LBH	9920	-2.679953098297119	-0.38871676	Yes	
row_118	CTPS2	9938	-2.7440316677093506	-0.37800702	Yes	
row_119	GIT2	9954	-2.787074565887451	-0.36691064	Yes	
row_120	FRAT1	9962	-2.8020670413970947	-0.3549751	Yes	
row_121	SH2D3C	9969	-2.8403944969177246	-0.3427706	Yes	
row_122	POU6F1	9990	-2.880173683166504	-0.33173752	Yes	
row_123	LRRC8C	10004	-2.913686513900757	-0.3198784	Yes	
row_124	FRMD8	10063	-3.1187262535095215	-0.3114372	Yes	
row_125	RASSF2	10088	-3.217494010925293	-0.29927185	Yes	
row_126	RPS6KA5	10101	-3.255859375	-0.28577632	Yes	
row_127	TCF7	10154	-3.4658560752868652	-0.27519408	Yes	
row_128	RNF167	10176	-3.547485828399658	-0.2612542	Yes	
row_129	SUSD1	10198	-3.672527551651001	-0.24675158	Yes	
row_130	CYTIP	10205	-3.7029061317443848	-0.23066534	Yes	
row_131	MAPK11	10211	-3.745018720626831	-0.2142931	Yes	
row_132	INPP5K	10231	-3.8589816093444824	-0.19875842	Yes	
row_133	HPCAL1	10248	-4.008349418640137	-0.18226214	Yes	
row_134	TNFAIP8L2	10260	-4.085247039794922	-0.16493747	Yes	
row_135	CDC42SE1	10330	-4.491578578948975	-0.15137877	Yes	
row_136	PLEC	10345	-4.623502731323242	-0.13192104	Yes	
row_137	SASH3	10401	-5.204038619995117	-0.11380546	Yes	
row_138	ADD3	10441	-5.712936878204346	-0.09185621	Yes	
row_139	TRIB2	10482	-7.071285247802734	-0.06389016	Yes	
row_140	GRAMD4	10485	-7.172646522521973	-0.031802446	Yes	
row_141	DENND2D	10494	-7.5379838943481445	0.0013507152	Yes	
