NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF8	13	6.579859733581543	0.018204007	Yes	
row_1	NOP16	15	6.486106872558594	0.037289828	Yes	
row_2	LAP3	16	6.480844020843506	0.056456678	Yes	
row_3	WDR77	24	6.038822650909424	0.07364013	Yes	
row_4	B4GALT5	25	5.968021392822266	0.091290325	Yes	
row_5	CACYBP	41	5.609005451202393	0.10642989	Yes	
row_6	HSPD1	42	5.5952887535095215	0.12297774	Yes	
row_7	GRWD1	49	5.446915626525879	0.13850723	Yes	
row_8	WDR43	54	5.387223243713379	0.15405339	Yes	
row_9	EIF2S2	60	5.300622940063477	0.16924682	Yes	
row_10	MAT2A	62	5.25180196762085	0.18468224	Yes	
row_11	LYAR	70	4.969549179077148	0.19870335	Yes	
row_12	CHCHD4	72	4.921378135681152	0.21316154	Yes	
row_13	MRTO4	74	4.910591125488281	0.22758785	Yes	
row_14	NLE1	98	4.633648872375488	0.2390701	Yes	
row_15	IL2RA	102	4.590158939361572	0.25235555	Yes	
row_16	RCL1	110	4.508786678314209	0.265014	Yes	
row_17	SLC7A1	120	4.465780258178711	0.27735204	Yes	
row_18	FTSJ3	124	4.435980796813965	0.29018152	Yes	
row_19	IFRD2	125	4.432302474975586	0.3032899	Yes	
row_20	RRP9	130	4.393106460571289	0.31589594	Yes	
row_21	HOMER1	140	4.307103157043457	0.32776475	Yes	
row_22	DDX56	142	4.30035400390625	0.34038627	Yes	
row_23	EIF4A1	149	4.282050132751465	0.35247073	Yes	
row_24	DDX18	170	4.116891384124756	0.36271447	Yes	
row_25	PPAT	176	4.081175804138184	0.37430143	Yes	
row_26	TMA16	179	4.058250904083252	0.3861104	Yes	
row_27	AIMP2	205	3.913670778274536	0.39527017	Yes	
row_28	RSL24D1	212	3.884611129760742	0.4061792	Yes	
row_29	GTPBP4	213	3.8796870708465576	0.41765323	Yes	
row_30	SRM	224	3.7798802852630615	0.4278662	Yes	
row_31	FASTKD3	229	3.7586262226104736	0.4385958	Yes	
row_32	PDCD1LG2	230	3.756155252456665	0.4497045	Yes	
row_33	RUVBL2	278	3.501028060913086	0.4555189	Yes	
row_34	EIF4E	284	3.4708878993988037	0.46530098	Yes	
row_35	UMPS	285	3.4682865142822266	0.47555828	Yes	
row_36	WDR18	304	3.395955801010132	0.4838631	Yes	
row_37	TRMT6	316	3.3524951934814453	0.49271545	Yes	
row_38	RUVBL1	329	3.3010473251342773	0.5013191	Yes	
row_39	PRPS1	341	3.2786359786987305	0.509953	Yes	
row_40	NUS1	343	3.2715203762054443	0.51953185	Yes	
row_41	NAF1	365	3.2023470401763916	0.52697426	Yes	
row_42	EXOSC2	368	3.179539918899536	0.53618443	Yes	
row_43	NUDT5	409	3.0517897605895996	0.5413464	Yes	
row_44	TRNAU1AP	476	2.896357536315918	0.5435373	Yes	
row_45	SLC5A6	484	2.8659682273864746	0.5513371	Yes	
row_46	POLR3D	485	2.8637447357177734	0.5598066	Yes	
row_47	ETF1	489	2.8532042503356934	0.567955	Yes	
row_48	PITRM1	501	2.831097364425659	0.5752654	Yes	
row_49	CIART	535	2.781583547592163	0.5803043	Yes	
row_50	NOL11	537	2.7793469429016113	0.58842754	Yes	
row_51	AGPAT5	547	2.7621889114379883	0.5957273	Yes	
row_52	EIF2B3	551	2.750967025756836	0.60357344	Yes	
row_53	IDH3A	558	2.7161848545074463	0.6110269	Yes	
row_54	MYO1E	581	2.665360689163208	0.61678463	Yes	
row_55	NOC3L	626	2.549391984939575	0.6200744	Yes	
row_56	DDX31	676	2.459876298904419	0.6226164	Yes	
row_57	THOP1	680	2.451569080352783	0.6295771	Yes	
row_58	TIMM44	684	2.4448747634887695	0.63651794	Yes	
row_59	WDR55	709	2.4100301265716553	0.6413273	Yes	
row_60	PPP5C	747	2.3349246978759766	0.6446589	Yes	
row_61	SLC7A6	812	2.24470853805542	0.6451158	Yes	
row_62	AGFG1	824	2.2248640060424805	0.6506333	Yes	
row_63	ERH	885	2.1491353511810303	0.6511938	Yes	
row_64	RCC1	942	2.0711886882781982	0.65191025	Yes	
row_65	SLC16A1	961	2.042922258377075	0.65621346	Yes	
row_66	FASN	979	2.0140769481658936	0.660528	Yes	
row_67	DUSP4	1052	1.9000099897384644	0.6591927	Yes	
row_68	HILPDA	1070	1.8690366744995117	0.66307825	Yes	
row_69	USP36	1132	1.801043152809143	0.6625127	Yes	
row_70	NAA50	1219	1.711426854133606	0.6592675	Yes	
row_71	SRFBP1	1226	1.7026687860488892	0.66372347	Yes	
row_72	GSPT1	1246	1.6815073490142822	0.6668613	Yes	
row_73	MAK16	1251	1.6765104532241821	0.67143315	Yes	
row_74	UTP6	1337	1.5914865732192993	0.6679297	Yes	
row_75	MRPL50	1343	1.5899300575256348	0.6721489	Yes	
row_76	RBM15B	1407	1.5349653959274292	0.67060333	Yes	
row_77	SERPINB9	1446	1.4980210065841675	0.67136323	Yes	
row_78	UBXN2A	1468	1.4846326112747192	0.67372555	Yes	
row_79	IL15RA	1480	1.470443606376648	0.67701185	Yes	
row_80	PELP1	1486	1.4654498100280762	0.6808629	Yes	
row_81	DNMT3B	1549	1.4109523296356201	0.67904717	Yes	
row_82	TBP	1586	1.3815211057662964	0.6796557	Yes	
row_83	APOO	1589	1.3795971870422363	0.6835426	Yes	
row_84	CCDC137	1652	1.3338515758514404	0.6814988	No	
row_85	TLCD1	1738	1.2740416526794434	0.67705655	No	
row_86	ABT1	1748	1.2659112215042114	0.67993116	No	
row_87	ENTPD6	1855	1.180307149887085	0.67318326	No	
