NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT10A	2	7.836968421936035	0.026653355	No	
row_1	ABI3	418	3.0213074684143066	-0.0030701784	No	
row_2	GFOD1	660	2.490902900695801	-0.017808823	No	
row_3	TSPAN13	935	2.0795300006866455	-0.037143234	No	
row_4	ABCG2	1362	1.5735992193222046	-0.072888255	No	
row_5	CYBB	1577	1.3926640748977661	-0.08878186	No	
row_6	ABCA1	1889	1.1595016717910767	-0.114840746	No	
row_7	CCRL2	1908	1.1447722911834717	-0.112657316	No	
row_8	IL9R	2156	0.9805499911308289	-0.13314924	No	
row_9	AGER	2378	0.8617449402809143	-0.15153751	No	
row_10	RPL39	2435	0.8374152183532715	-0.15407634	No	
row_11	ATP13A2	2657	0.7366399168968201	-0.17289317	No	
row_12	EPAS1	3124	0.55423903465271	-0.21599263	No	
row_13	TRAF5	3135	0.5507460236549377	-0.2150716	No	
row_14	REEP5	3254	0.5097563862800598	-0.22471973	No	
row_15	ARL4A	3434	0.45187628269195557	-0.24045643	No	
row_16	TPT1	3462	0.4408949315547943	-0.24155328	No	
row_17	IRF2BPL	3847	0.3310578763484955	-0.27749917	No	
row_18	PARP8	3976	0.2969229221343994	-0.288842	No	
row_19	PPOX	4005	0.2876009941101074	-0.29056054	No	
row_20	RIN3	4126	0.2577902674674988	-0.3012649	No	
row_21	EEF2	4596	0.14475612342357635	-0.3460568	No	
row_22	MBD4	4867	0.09366795420646667	-0.37180775	No	
row_23	PPP1CB	4901	0.08820855617523193	-0.37469217	No	
row_24	DGKD	5166	0.0405828133225441	-0.4000456	No	
row_25	TK1	5353	0.00922568328678608	-0.4179746	No	
row_26	IFT172	5370	0.005978878121823072	-0.41949913	No	
row_27	MXI1	5425	-0.004581613931804895	-0.4246978	No	
row_28	WDR1	5470	-0.011236674152314663	-0.42890805	No	
row_29	LNPEP	5510	-0.016975553706288338	-0.43261582	No	
row_30	ZFAND5	5758	-0.05819075554609299	-0.4562674	No	
row_31	GAB3	5766	-0.059448760002851486	-0.4567397	No	
row_32	ITGB3	5874	-0.07494158297777176	-0.46681514	No	
row_33	TMEM86A	5937	-0.08600031584501266	-0.4725074	No	
row_34	ANKRD13A	6021	-0.10030078142881393	-0.48017848	No	
row_35	CD79A	6180	-0.12954016029834747	-0.49499157	No	
row_36	MTA3	6279	-0.14990860223770142	-0.5039412	No	
row_37	HECA	6449	-0.18828436732292175	-0.51961523	No	
row_38	WDR90	6523	-0.20452089607715607	-0.52596366	No	
row_39	ADIPOR1	6610	-0.22582124173641205	-0.5334945	No	
row_40	AFMID	6819	-0.2795053720474243	-0.55262196	No	
row_41	FHDC1	6847	-0.2865247130393982	-0.5542476	No	
row_42	ARFGAP3	6910	-0.3037872016429901	-0.5591938	No	
row_43	SPICE1	6923	-0.30780428647994995	-0.55929816	No	
row_44	AKT3	7025	-0.33596229553222656	-0.56790006	No	
row_45	TYROBP	7088	-0.3535420596599579	-0.5726758	No	
row_46	TMEM123	7177	-0.3790740370750427	-0.57987475	No	
row_47	PHF13	7358	-0.4385461211204529	-0.59575367	No	
row_48	JUND	7397	-0.44979962706565857	-0.5978822	No	
row_49	ARHGDIB	7751	-0.5923635959625244	-0.6299395	No	
row_50	PARP4	7793	-0.6085191965103149	-0.631814	No	
row_51	CNR2	7835	-0.6254152059555054	-0.63363063	No	
row_52	CDC42EP3	7875	-0.6421576142311096	-0.6351968	No	
row_53	FOXO4	7884	-0.6469696760177612	-0.633753	No	
row_54	ROCK1	7964	-0.6789587140083313	-0.6390556	No	
row_55	CBL	8029	-0.7041577100753784	-0.6428234	No	
row_56	CYFIP2	8042	-0.7111965417861938	-0.64154583	No	
row_57	MRGPRE	8130	-0.7519065737724304	-0.64737105	No	
row_58	RMND5B	8159	-0.7671687006950378	-0.64744675	No	
