NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	B4GALT5	25	5.968021392822266	0.014364611	Yes	
row_1	CACYBP	41	5.609005451202393	0.028686767	Yes	
row_2	HSPD1	42	5.5952887535095215	0.04442103	Yes	
row_3	PUS1	44	5.471492767333984	0.059710458	Yes	
row_4	GRWD1	49	5.446915626525879	0.07464064	Yes	
row_5	EIF2S2	60	5.300622940063477	0.08857916	Yes	
row_6	HEATR3	73	4.9117655754089355	0.10123078	Yes	
row_7	NCF1	83	4.803915977478027	0.11386925	Yes	
row_8	NLE1	98	4.633648872375488	0.12554537	Yes	
row_9	IL2RA	102	4.590158939361572	0.138163	Yes	
row_10	RCL1	110	4.508786678314209	0.15016498	Yes	
row_11	IFRD2	125	4.432302474975586	0.1612749	Yes	
row_12	SMYD5	129	4.412929058074951	0.17339416	Yes	
row_13	RRP9	130	4.393106460571289	0.18574782	Yes	
row_14	HOMER1	140	4.307103157043457	0.19698922	Yes	
row_15	DDX56	142	4.30035400390625	0.20898534	Yes	
row_16	DDX18	170	4.116891384124756	0.21795106	Yes	
row_17	PPAT	176	4.081175804138184	0.22894399	Yes	
row_18	TMA16	179	4.058250904083252	0.2401626	Yes	
row_19	AATF	193	3.981710910797119	0.25010213	Yes	
row_20	PTCD3	195	3.9644830226898193	0.26115376	Yes	
row_21	AIMP2	205	3.913670778274536	0.2712888	Yes	
row_22	CCT6A	207	3.906320571899414	0.28217688	Yes	
row_23	RSL24D1	212	3.884611129760742	0.2927138	Yes	
row_24	ECE2	214	3.878424644470215	0.30352342	Yes	
row_25	EBI3	219	3.8196070194244385	0.31387752	Yes	
row_26	BRIX1	222	3.784864664077759	0.32432735	Yes	
row_27	SRM	224	3.7798802852630615	0.33485985	Yes	
row_28	NSUN2	226	3.771775007247925	0.34536958	Yes	
row_29	PDCD1LG2	230	3.756155252456665	0.35564196	Yes	
row_30	WDR4	246	3.6724400520324707	0.3645184	Yes	
row_31	RUVBL2	278	3.501028060913086	0.37136543	Yes	
row_32	EIF4E	284	3.4708878993988037	0.38064218	Yes	
