NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCLN	610	2.5911872386932373	-0.048177764	No	
row_1	ZFP28	810	2.2457075119018555	-0.05806145	No	
row_2	HSF1	863	2.1819655895233154	-0.053999517	No	
row_3	TRIM65	1793	1.2322250604629517	-0.1386772	No	
row_4	SERAC1	1862	1.176692247390747	-0.14034952	No	
row_5	FOXP1	2116	0.9991675615310669	-0.1606461	No	
row_6	RPS14	2142	0.9877768158912659	-0.15894836	No	
row_7	USP24	2204	0.9563899040222168	-0.16086166	No	
row_8	RHOT1	2319	0.886650025844574	-0.16818918	No	
row_9	INVS	2471	0.8173871636390686	-0.17938219	No	
row_10	ARID1A	2565	0.7693360447883606	-0.18516822	No	
row_11	RAB33B	2589	0.7606990933418274	-0.18422304	No	
row_12	SNX15	2737	0.6987473964691162	-0.19552353	No	
row_13	SPOP	2863	0.6440607905387878	-0.20492499	No	
row_14	ST8SIA6	3115	0.557076632976532	-0.22686975	No	
row_15	NUFIP2	3179	0.5338066816329956	-0.23073666	No	
row_16	SF3B1	3694	0.3711180090904236	-0.2788814	No	
row_17	UBP1	3708	0.3678887188434601	-0.27860573	No	
row_18	TRIO	3710	0.3670180141925812	-0.27717358	No	
row_19	CCR7	3768	0.35251256823539734	-0.28121564	No	
row_20	EDRF1	3803	0.3413793444633484	-0.28308055	No	
row_21	IRF2BPL	3847	0.3310578763484955	-0.2858585	No	
row_22	AP2A2	3989	0.2916494607925415	-0.29827473	No	
row_23	FAM160A2	4160	0.2499232441186905	-0.31366834	No	
row_24	RAP1GDS1	4216	0.23695635795593262	-0.31799838	No	
row_25	RFX1	4411	0.18970398604869843	-0.33596298	No	
row_26	SCG5	4460	0.17836998403072357	-0.33986035	No	
row_27	THEM4	4553	0.15245561301708221	-0.34811935	No	
row_28	SEC62	4615	0.1415102481842041	-0.35342702	No	
row_29	HNRNPH1	4682	0.1276233047246933	-0.35927594	No	
row_30	ACP6	4793	0.10687728971242905	-0.3694649	No	
row_31	WDR82	4794	0.10669441521167755	-0.36902046	No	
row_32	CREBBP	4802	0.1052137017250061	-0.3692589	No	
row_33	CNN3	4929	0.08387758582830429	-0.3810905	No	
row_34	TOM1	4942	0.08134845644235611	-0.38191172	No	
row_35	MEPCE	4957	0.07811824977397919	-0.3829398	No	
row_36	RAB20	5010	0.06797963380813599	-0.3876837	No	
row_37	OSBPL7	5053	0.06062833592295647	-0.39149144	No	
row_38	PIK3CA	5135	0.044957153499126434	-0.3991348	No	
row_39	RABEP1	5142	0.044210828840732574	-0.3995307	No	
row_40	PNPLA6	5276	0.023691246286034584	-0.4122897	No	
row_41	PIP5K1C	5360	0.0070199319161474705	-0.42028445	No	
row_42	PARP6	5426	-0.004610143136233091	-0.42654908	No	
