NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S1PR3	12	6.601689338684082	0.017908743	Yes	
row_1	WDR77	24	6.038822650909424	0.03428833	Yes	
row_2	B4GALT5	25	5.968021392822266	0.051527336	Yes	
row_3	HSPE1	29	5.861594200134277	0.06816875	Yes	
row_4	CACYBP	41	5.609005451202393	0.08330679	Yes	
row_5	HSPD1	42	5.5952887535095215	0.09946913	Yes	
row_6	MAT2A	62	5.25180196762085	0.11280159	Yes	
row_7	HEATR3	73	4.9117655754089355	0.12602232	Yes	
row_8	NLE1	98	4.633648872375488	0.1370856	Yes	
row_9	HSPA9	100	4.595105171203613	0.15026213	Yes	
row_10	RCL1	110	4.508786678314209	0.16241555	Yes	
row_11	SLC7A1	120	4.465780258178711	0.17444475	Yes	
row_12	FTSJ3	124	4.435980796813965	0.18696819	Yes	
row_13	IFRD2	125	4.432302474975586	0.19977118	Yes	
row_14	RRP9	130	4.393106460571289	0.21207406	Yes	
row_15	HOMER1	140	4.307103157043457	0.22364491	Yes	
row_16	AHR	152	4.259438991546631	0.23488463	Yes	
row_17	DDX18	170	4.116891384124756	0.24513228	Yes	
row_18	PPAT	176	4.081175804138184	0.2564374	Yes	
row_19	AIMP2	205	3.913670778274536	0.2650341	Yes	
row_20	CCT6A	207	3.906320571899414	0.27622104	Yes	
row_21	RSL24D1	212	3.884611129760742	0.28705508	Yes	
row_22	GTPBP4	213	3.8796870708465576	0.29826182	Yes	
row_23	ECE2	214	3.878424644470215	0.30946487	Yes	
row_24	SRM	224	3.7798802852630615	0.3195128	Yes	
row_25	PDCD1LG2	230	3.756155252456665	0.3298791	Yes	
row_26	RUVBL2	278	3.501028060913086	0.33544615	Yes	
row_27	EIF4E	284	3.4708878993988037	0.3449884	Yes	
row_28	UMPS	285	3.4682865142822266	0.35500678	Yes	
row_29	CDV3	289	3.4604408740997314	0.36471233	Yes	
row_30	G3BP1	295	3.441646099090576	0.37417012	Yes	
row_31	SRSF6	296	3.436363697052002	0.38409626	Yes	
row_32	RGS16	299	3.419492483139038	0.39378026	Yes	
row_33	WDR18	304	3.395955801010132	0.4032028	Yes	
row_34	ZNHIT6	317	3.351102352142334	0.411722	Yes	
row_35	PRPS1	341	3.2786359786987305	0.418968	Yes	
row_36	NUS1	343	3.2715203762054443	0.42832124	Yes	
row_37	WDR36	350	3.2375288009643555	0.43709272	Yes	
row_38	EIF2S1	356	3.221670627593994	0.44591513	Yes	
row_39	MTCH2	367	3.1837363243103027	0.45414433	Yes	
row_40	XPOT	389	3.1106975078582764	0.46109864	Yes	
row_41	FOXK2	445	2.9486021995544434	0.4642962	Yes	
row_42	ALG3	448	2.944918394088745	0.47260934	Yes	
row_43	HSP90AA1	459	2.9273252487182617	0.4800979	Yes	
row_44	POLR3D	485	2.8637447357177734	0.48595196	Yes	
row_45	ETF1	489	2.8532042503356934	0.49390346	Yes	
row_46	CIART	535	2.781583547592163	0.4975858	Yes	
row_47	EIF2B3	551	2.750967025756836	0.5040813	Yes	
row_48	UTP18	567	2.6956472396850586	0.51041704	Yes	
row_49	MYO1E	581	2.665360689163208	0.51685876	Yes	
row_50	PSMB7	613	2.588310718536377	0.52133685	Yes	
row_51	EIF5B	627	2.5491981506347656	0.527443	Yes	
row_52	PPIF	673	2.4664180278778076	0.53021497	Yes	
row_53	MYO19	679	2.4528887271881104	0.5368167	Yes	
row_54	THOP1	680	2.451569080352783	0.5438982	Yes	
row_55	WDR55	709	2.4100301265716553	0.54815155	Yes	
row_56	SLC7A6	812	2.24470853805542	0.54476994	Yes	
row_57	AGFG1	824	2.2248640060424805	0.5501327	Yes	
row_58	SNRPD1	861	2.183228015899658	0.5529571	Yes	
row_59	ERH	885	2.1491353511810303	0.55694044	Yes	
row_60	TRA2B	904	2.119415283203125	0.5613215	Yes	
row_61	RCC1	942	2.0711886882781982	0.5637256	Yes	
row_62	MYDGF	956	2.0599896907806396	0.5684186	Yes	
row_63	SLC16A1	961	2.042922258377075	0.5739329	Yes	
row_64	ISYNA1	970	2.0262086391448975	0.5790119	Yes	
row_65	FASN	979	2.0140769481658936	0.58405596	Yes	
row_66	ZC3H15	1012	1.969024419784546	0.5866485	Yes	
row_67	DUSP4	1052	1.9000099897384644	0.58836466	Yes	
row_68	HILPDA	1070	1.8690366744995117	0.5921193	Yes	
row_69	USP36	1132	1.801043152809143	0.59142166	Yes	
row_70	UQCRFS1	1154	1.778124451637268	0.59452677	Yes	
row_71	ERAP1	1185	1.7458499670028687	0.5966681	Yes	
row_72	POP5	1194	1.7349680662155151	0.60090595	Yes	
row_73	NAA50	1219	1.711426854133606	0.6035282	Yes	
row_74	SRFBP1	1226	1.7026687860488892	0.6078661	Yes	
row_75	SNUPN	1240	1.68474280834198	0.6114752	Yes	
row_76	MAK16	1251	1.6765104532241821	0.6153507	Yes	
row_77	PDAP1	1265	1.6609686613082886	0.6188912	Yes	
row_78	PRR3	1272	1.656586766242981	0.623096	Yes	
row_79	CDC34	1315	1.6116358041763306	0.623689	Yes	
row_80	UTP6	1337	1.5914865732192993	0.626255	Yes	
row_81	RRP8	1348	1.587504506111145	0.6298734	Yes	
row_82	HSPH1	1376	1.559981346130371	0.631768	Yes	
row_83	WDR3	1403	1.5380481481552124	0.633696	Yes	
row_84	RBM15B	1407	1.5349653959274292	0.6378397	Yes	
row_85	SERPINB9	1446	1.4980210065841675	0.6384914	Yes	
row_86	SLC16A13	1520	1.439161777496338	0.6355879	Yes	
row_87	MAP2K3	1526	1.431778907775879	0.6392401	Yes	
row_88	CCDC137	1652	1.3338515758514404	0.63100284	No	
row_89	RAVER1	1653	1.3336869478225708	0.6348553	No	
row_90	LZTFL1	1840	1.1933987140655518	0.62031233	No	
row_91	OSGIN2	1851	1.1819243431091309	0.6227592	No	
row_92	ENTPD6	1855	1.180307149887085	0.62587845	No	
row_93	SLC25A22	1871	1.170497179031372	0.6278087	No	
row_94	U2SURP	1906	1.1472153663635254	0.62783396	No	
row_95	SF3B4	1909	1.1440941095352173	0.63094527	No	
row_96	ST6GALNAC4	1941	1.1202764511108398	0.6311829	No	
row_97	EYA3	1966	1.1034321784973145	0.63204896	No	
row_98	ORC2	2026	1.0583261251449585	0.6293994	No	
row_99	HCCS	2027	1.0571974515914917	0.6324532	No	
row_100	NOP9	2029	1.0562416315078735	0.6354075	No	
row_101	ANKRD13B	2047	1.0447243452072144	0.63678104	No	
row_102	NFX1	2170	0.9735136032104492	0.6277931	No	
row_103	DNAJA2	2181	0.9688131809234619	0.62962437	No	
row_104	MIOS	2202	0.9588814377784729	0.6304597	No	
row_105	AKAP1	2214	0.9472447037696838	0.632132	No	
row_106	YWHAG	2235	0.9311668276786804	0.6328873	No	
